task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
serial,default,1,immediate,0,YM,YM,1,1,0,0, YM
serial,default,1,immediate,1,TO,TO,1,1,0,0, TO
serial,default,1,immediate,2,WO,WO,1,1,0,0, WO
serial,default,1,immediate,3,WM,WM,1,1,0,0, WM
serial,default,1,immediate,4,SC,SC,1,1,0,0, SC
serial,default,1,immediate,5,LI,LI,1,1,0,0, LI
serial,default,1,immediate,6,GZ,GZ,1,1,0,0, GZ
serial,default,1,immediate,7,JY,JY,1,1,0,0, JY
serial,default,1,immediate,8,IK,IK,1,1,0,0, IK
serial,default,1,immediate,9,VS,VS,1,1,0,0, VS
serial,default,1,immediate,10,OI,OI,1,1,0,0, OI
serial,default,1,immediate,11,DD,DD,1,1,0,0, DD
serial,default,1,immediate,12,UD,UD,1,1,0,0, UD
serial,default,1,immediate,13,ZR,ZR,1,1,0,0, ZR
serial,default,1,immediate,14,LS,LS,1,1,0,0, LS
serial,default,1,immediate,15,WC,WC,1,1,0,0, WC
serial,default,1,immediate,16,QY,QY,1,1,0,0, QY
serial,default,1,immediate,17,CG,CG,1,1,0,0, CG
serial,default,1,immediate,18,OU,OU,1,1,0,0, OU
serial,default,1,immediate,19,OD,OD,1,1,0,0, OD
serial,default,1,immediate,20,CN,CN,1,1,0,0, CN
serial,default,1,immediate,21,AF,AF,1,1,0,0, AF
serial,default,1,immediate,22,SW,SW,1,1,0,0, SW
serial,default,1,immediate,23,VX,VX,1,1,0,0, VX
serial,default,1,immediate,24,BR,BR,1,1,0,0, BR
serial,default,1,immediate,25,AA,AA,1,1,0,0, AA
serial,default,1,immediate,26,TN,TN,1,1,0,0, TN
serial,default,1,immediate,27,KJ,KJ,1,1,0,0, KJ
serial,default,1,immediate,28,CE,CE,1,1,0,0, CE
serial,default,1,immediate,29,PB,PB,1,1,0,0, PB
serial,default,1,immediate,30,OM,OM,1,1,0,0, OM
serial,default,1,immediate,31,IN,IN,1,1,0,0, IN
serial,default,1,immediate,32,MX,MX,1,1,0,0, MX
serial,default,1,immediate,33,IS,IS,1,1,0,0, IS
serial,default,1,immediate,34,XE,XE,1,1,0,0, XE
serial,default,1,immediate,35,FG,FG,1,1,0,0, FG
serial,default,1,immediate,36,UU,UU,1,1,0,0, UU
serial,default,1,immediate,37,TC,TC,1,1,0,0, TC
serial,default,1,immediate,38,TH,TH,1,1,0,0, TH
serial,default,1,immediate,39,NT,NT,1,1,0,0, NT
serial,default,2,immediate,0,TA,QZ,0,4,0,0, QZ
serial,default,2,immediate,1,VG,QG,0,3,0,0, QG
serial,default,2,immediate,2,KB,KB,1,2,0,0, KB
serial,default,2,immediate,3,VT,RK,0,3,0,0, RK
serial,default,2,immediate,4,UR,UR,1,2,0,0, UR
serial,default,2,immediate,5,GR,FY,0,3,0,0, FY
serial,default,2,immediate,6,BN,BN,1,2,0,0, BN
serial,default,2,immediate,7,QF,WU,0,3,0,0, WU
serial,default,2,immediate,8,ZO,ZO,1,2,0,0, ZO
serial,default,2,immediate,9,CL,OY,0,3,0,0, OY
serial,default,2,immediate,10,ZX,HB,0,3,0,0, HB
serial,default,2,immediate,11,TW,PA,0,3,0,0, PA
serial,default,2,immediate,12,WS,LI,0,3,0,0, LI
serial,default,2,immediate,13,WY,VW,0,3,0,0, VW
serial,default,2,immediate,14,QQ,NP,0,3,0,0, NP
