task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion
parallel_count,default,8,immediate,0,4,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,1,4,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,2,3,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,3,3,5,0,-1,0,0,stop,4,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,4,3,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,5,5,5,1,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,6,4,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,7,2,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,8,5,5,1,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,9,4,4,1,-1,0,0,stop,2,0,qwen3.6-35b-a3b,4
parallel_count,default,8,immediate,10,6,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,11,3,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,12,4,4,1,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 4
parallel_count,default,8,immediate,13,4,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,14,2,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,15,3,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,16,4,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,17,7,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,18,3,5,0,-1,0,0,stop,2,0,qwen3.6-35b-a3b,5
parallel_count,default,8,immediate,19,4,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,20,4,5,0,-1,0,0,stop,2,0,qwen3.6-35b-a3b,5
parallel_count,default,8,immediate,21,5,5,1,-1,0,0,stop,2,0,qwen3.6-35b-a3b,5
parallel_count,default,8,immediate,22,5,5,1,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,23,2,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,24,5,5,1,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,25,3,5,0,-1,0,0,stop,2,0,qwen3.6-35b-a3b,5
parallel_count,default,8,immediate,26,5,5,1,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,27,2,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,28,3,5,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 5
parallel_count,default,8,immediate,29,5,5,1,-1,0,0,stop,2,0,qwen3.6-35b-a3b,5
parallel_count,default,16,immediate,0,6,9,0,-1,0,0,stop,2,0,qwen3.6-35b-a3b,9
parallel_count,default,16,immediate,1,9,9,1,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 9
parallel_count,default,16,immediate,2,7,10,0,-1,0,0,stop,6,0,qwen3.6-35b-a3b,Answer: 10
parallel_count,default,16,immediate,3,6,10,0,-1,0,0,stop,6,0,qwen3.6-35b-a3b,Answer: 10
parallel_count,default,16,immediate,4,10,9,0,-1,0,0,stop,2,0,qwen3.6-35b-a3b,9
parallel_count,default,16,immediate,5,12,8,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 8
parallel_count,default,16,immediate,6,10,9,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 9
parallel_count,default,16,immediate,7,10,10,1,-1,0,0,stop,6,0,qwen3.6-35b-a3b,Answer: 10
parallel_count,default,16,immediate,8,4,10,0,-1,0,0,stop,6,0,qwen3.6-35b-a3b,Answer: 10
parallel_count,default,16,immediate,9,9,10,0,-1,0,0,stop,6,0,qwen3.6-35b-a3b,Answer: 10
parallel_count,default,16,immediate,10,8,9,0,-1,0,0,stop,2,0,qwen3.6-35b-a3b,9
parallel_count,default,16,immediate,11,5,10,0,-1,0,0,stop,6,0,qwen3.6-35b-a3b,Answer: 10
parallel_count,default,16,immediate,12,10,8,0,-1,0,0,stop,2,0,qwen3.6-35b-a3b,8
parallel_count,default,16,immediate,13,8,10,0,-1,0,0,stop,6,0,qwen3.6-35b-a3b,Answer: 10
parallel_count,default,16,immediate,14,9,10,0,-1,0,0,stop,6,0,qwen3.6-35b-a3b,Answer: 10
parallel_count,default,16,immediate,15,5,10,0,-1,0,0,stop,6,0,qwen3.6-35b-a3b,Answer: 10
parallel_count,default,16,immediate,16,10,10,1,-1,0,0,stop,6,0,qwen3.6-35b-a3b,Answer: 10
parallel_count,default,16,immediate,17,9,7,0,-1,0,0,stop,5,0,qwen3.6-35b-a3b,Answer: 7
parallel_count,default,16,immediate,18,9,9,1,-1,0,0,stop,2,0,qwen3.6-35b-a3b,9
