k,condition,idx,gold,pred,correct,leak,eff_hops,chain,error,completion
1,immediate,0,EY,EY,1,0,1,GV EY,0, EY
1,immediate,1,PQ,PQ,1,0,1,WX PQ,0,Answer: PQ
1,immediate,2,CH,CH,1,0,1,BN CH,0,Answer: CH
1,immediate,3,AK,AK,1,0,1,FS AK,0, AK
1,immediate,4,QU,QU,1,0,1,MK QU,0,QU
1,immediate,5,KT,KT,1,0,1,KF KT,0, KT
1,immediate,6,QD,QD,1,0,1,HH QD,0, QD
1,immediate,7,BG,BG,1,0,1,BB BG,0, BG
1,immediate,8,LS,LS,1,0,1,HK LS,0, LS
1,immediate,9,EQ,EQ,1,0,1,YC EQ,0, EQ
1,immediate,10,ZE,ZE,1,0,1,WK ZE,0,Answer: ZE
1,immediate,11,ZT,ZT,1,0,1,FO ZT,0,ZT
1,immediate,12,LB,NJ,0,0,2,LR LB,0, NJ
1,immediate,13,OE,OE,1,0,1,BA OE,0, OE
1,immediate,14,WR,WR,1,0,1,UU WR,0, WR
1,immediate,15,LC,LC,1,0,1,QZ LC,0, LC
1,immediate,16,EA,EA,1,0,1,RR EA,0, EA
1,immediate,17,ZV,ZV,1,0,1,WJ ZV,0,Answer: ZV
1,immediate,18,WZ,WZ,1,0,1,MR WZ,0,Answer: WZ
1,immediate,19,MS,MS,1,0,1,JY MS,0, MS
1,immediate,20,HU,AO,0,0,2,UH HU,0, AO
1,immediate,21,MH,MH,1,0,1,EC MH,0, MH
1,immediate,22,UK,UK,1,0,1,LB UK,0,Answer: UK
1,immediate,23,HW,HW,1,0,1,WK HW,0, HW
1,immediate,24,VD,VD,1,0,1,GN VD,0,Answer: VD
1,immediate,25,HZ,HZ,1,0,1,QZ HZ,0,Answer: HZ
1,immediate,26,KU,KU,1,0,1,AS KU,0, KU
1,immediate,27,WN,WN,1,0,1,CU WN,0,Answer: WN
1,immediate,28,QQ,QQ,1,0,1,HW QQ,0,Answer: QQ
1,immediate,29,QI,QI,1,0,1,WE QI,0, QI
1,filler,0,EY,EY,1,0,1,GV EY,0, EY
1,filler,1,PQ,PQ,1,0,1,WX PQ,0, PQ
1,filler,2,CH,CH,1,0,1,BN CH,0, CH
1,filler,3,AK,AK,1,0,1,FS AK,0,AK
1,filler,4,QU,QU,1,0,1,MK QU,0,Answer: QU
1,filler,5,KT,KT,1,0,1,KF KT,0, KT
1,filler,6,QD,QD,1,0,1,HH QD,0,QD
1,filler,7,BG,BG,1,0,1,BB BG,0, BG
1,filler,8,LS,LS,1,0,1,HK LS,0, LS
1,filler,9,EQ,EQ,1,0,1,YC EQ,0, EQ
1,filler,10,ZE,ZE,1,0,1,WK ZE,0, ZE
1,filler,11,ZT,ZT,1,0,1,FO ZT,0,Answer: ZT
1,filler,12,LB,LB,1,0,1,LR LB,0, LB
1,filler,13,OE,OE,1,0,1,BA OE,0, OE
1,filler,14,WR,WR,1,0,1,UU WR,0, WR
1,filler,15,LC,LC,1,0,1,QZ LC,0, LC
1,filler,16,EA,EA,1,0,1,RR EA,0, EA
1,filler,17,ZV,ZV,1,0,1,WJ ZV,0,Answer: ZV
1,filler,18,WZ,WZ,1,0,1,MR WZ,0, WZ
1,filler,19,MS,MS,1,0,1,JY MS,0,Answer: MS
1,filler,20,HU,HU,1,0,1,UH HU,0, HU
1,filler,21,MH,MH,1,0,1,EC MH,0, MH
1,filler,22,UK,UK,1,0,1,LB UK,0,UK
1,filler,23,HW,HW,1,0,1,WK HW,0,Answer: HW
1,filler,24,VD,VD,1,0,1,GN VD,0,Answer: VD
1,filler,25,HZ,HZ,1,0,1,QZ HZ,0, HZ
1,filler,26,KU,KU,1,0,1,AS KU,0,Answer: KU
1,filler,27,WN,WN,1,0,1,CU WN,0, WN
1,filler,28,QQ,QQ,1,0,1,HW QQ,0, QQ
1,filler,29,QI,QI,1,0,1,WE QI,0, QI
1,cot,0,EY,EY,1,0,1,GV EY,0,"Following the chain: GV -> EY.
Answer: EY"
1,cot,1,PQ,PQ,1,0,1,WX PQ,0,"Following the chain: WX -> PQ.
Answer: PQ"
1,cot,2,CH,CH,1,0,1,BN CH,0,"Following the chain: BN -> CH.
Answer: CH"
1,cot,3,AK,AK,1,0,1,FS AK,0,"Following the chain: FS -> AK.
Answer: AK"
1,cot,4,QU,QU,1,0,1,MK QU,0,"Following the chain: MK -> QU.
Answer: QU"
1,cot,5,KT,KT,1,0,1,KF KT,0,"Following the chain: KF -> KT.
Answer: KT"
1,cot,6,QD,QD,1,0,1,HH QD,0,"Following the chain: HH -> QD.
Answer: QD"
1,cot,7,BG,BG,1,0,1,BB BG,0,"Following the chain: BB -> BG.
Answer: BG"
1,cot,8,LS,LS,1,0,1,HK LS,0,"Following the chain: HK -> LS.
Answer: LS"
1,cot,9,EQ,EQ,1,0,1,YC EQ,0,"Following the chain: YC -> EQ.
Answer: EQ"
1,cot,10,ZE,ZE,1,0,1,WK ZE,0,"Following the chain: WK -> ZE.
Answer: ZE"
1,cot,11,ZT,ZT,1,0,1,FO ZT,0,"Following the chain: FO -> ZT.
Answer: ZT"
1,cot,12,LB,LB,1,0,1,LR LB,0,"Following the chain: LR -> LB.
Answer: LB"
1,cot,13,OE,OE,1,0,1,BA OE,0,"Following the chain: BA -> OE.
Answer: OE"
1,cot,14,WR,WR,1,0,1,UU WR,0,"Following the chain: UU -> WR.
Answer: WR"
1,cot,15,LC,LC,1,0,1,QZ LC,0,"Following the chain: QZ -> LC.
Answer: LC"
1,cot,16,EA,EA,1,0,1,RR EA,0,"Following the chain: RR -> EA.
Answer: EA"
1,cot,17,ZV,ZV,1,0,1,WJ ZV,0,"Following the chain: WJ -> ZV.
Answer: ZV"
1,cot,18,WZ,WZ,1,0,1,MR WZ,0,"Following the chain: MR -> WZ.
Answer: WZ"
1,cot,19,MS,MS,1,0,1,JY MS,0,"Following the chain: JY -> MS.
Answer: MS"
1,cot,20,HU,HU,1,0,1,UH HU,0,"Following the chain: UH -> HU.
Answer: HU"
1,cot,21,MH,MH,1,0,1,EC MH,0,"Following the chain: EC -> MH.
Answer: MH"
1,cot,22,UK,UK,1,0,1,LB UK,0,"Following the chain: LB -> UK.
Answer: UK"
1,cot,23,HW,HW,1,0,1,WK HW,0,"Following the chain: WK -> HW.
Answer: HW"
1,cot,24,VD,VD,1,0,1,GN VD,0,"Following the chain: GN -> VD.
Answer: VD"
1,cot,25,HZ,HZ,1,0,1,QZ HZ,0,"Following the chain: QZ -> HZ.
Answer: HZ"
1,cot,26,KU,KU,1,0,1,AS KU,0,"Following the chain: AS -> KU.
Answer: KU"
1,cot,27,WN,WN,1,0,1,CU WN,0,"Following the chain: CU -> WN.
Answer: WN"
1,cot,28,QQ,QQ,1,0,1,HW QQ,0,"Following the chain: HW -> QQ.
Answer: QQ"
1,cot,29,QI,QI,1,0,1,WE QI,0,"Following the chain: WE -> QI.
Answer: QI"
2,immediate,0,BX,HU,0,0,3,DD CA BX,0,Answer: HU
2,immediate,1,UZ,QM,0,0,3,VN TZ UZ,0,Answer: QM
2,immediate,2,JS,MB,0,0,4,QE LD JS,0,Answer: MB
2,immediate,3,GQ,ZW,0,0,3,UH VR GQ,0, ZW
2,immediate,4,HF,HF,1,0,2,BF NJ HF,0,Answer: HF
2,immediate,5,JJ,VW,0,0,3,XR QR JJ,0,Answer: VW
2,immediate,6,HT,SZ,0,0,4,YP SH HT,0, SZ
2,immediate,7,XF,IF,0,0,3,NT FQ XF,0, IF
2,immediate,8,XU,XW,0,0,3,KB FH XU,0, XW
2,immediate,9,RJ,VA,0,0,3,HM EF RJ,0, VA
2,immediate,10,TC,OT,0,0,4,TF DI TC,0,Answer: OT
2,immediate,11,PU,VS,0,0,3,CY JD PU,0,Answer: VS
2,immediate,12,DK,DK,1,0,2,XO AJ DK,0, DK
2,immediate,13,IS,MO,0,0,3,FM BA IS,0, MO
2,immediate,14,IT,AX,0,0,3,UQ SX IT,0, AX
