task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion
arith,default,4,filler,0,34,44,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 44
arith,default,4,filler,1,50,64,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 64
arith,default,4,filler,2,46,42,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 42
arith,default,4,filler,3,21,77,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 77
arith,default,4,filler,4,41,46,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 46
arith,default,4,filler,5,51,100,0,-1,0,0,stop,7,0,qwen3.6-27b,Answer: 100
arith,default,4,filler,6,67,63,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 63
arith,default,4,filler,7,56,60,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 60
arith,default,4,filler,8,50,45,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 45
arith,default,4,filler,9,15,26,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 26
arith,default,4,filler,10,19,43,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 43
arith,default,4,filler,11,14,63,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 63
arith,default,4,filler,12,74,75,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 75
arith,default,4,filler,13,82,55,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 55
arith,default,4,filler,14,17,14,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 14
arith,default,4,filler,15,32,42,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 42
arith,default,4,filler,16,35,82,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 82
arith,default,4,filler,17,27,1,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1
arith,default,4,filler,18,23,39,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 39
arith,default,4,filler,19,27,33,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 33
arith,default,4,filler,20,63,59,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 59
arith,default,4,filler,21,73,53,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 53
arith,default,4,filler,22,60,41,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 41
arith,default,4,filler,23,50,38,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 38
arith,default,4,filler,24,60,68,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 68
arith,default,4,filler,25,47,67,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 67
arith,default,4,filler,26,70,62,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 62
arith,default,4,filler,27,86,48,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 48
arith,default,4,filler,28,17,40,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 40
arith,default,4,filler,29,48,42,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 42
