task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion
arith,default,4,immediate,0,85,104,0,-1,0,0,stop,7,0,qwen3.6-27b,Answer: 104
arith,default,4,immediate,1,65,55,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 55
arith,default,4,immediate,2,46,56,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 56
arith,default,4,immediate,3,88,42,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 42
arith,default,4,immediate,4,97,58,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 58
arith,default,4,immediate,5,96,61,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 61
arith,default,4,immediate,6,50,24,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 24
arith,default,4,immediate,7,53,46,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 46
arith,default,4,immediate,8,26,1,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1
arith,default,4,immediate,9,77,57,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 57
arith,default,4,immediate,10,44,40,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 40
arith,default,4,immediate,11,50,78,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 78
arith,default,4,immediate,12,87,83,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 83
arith,default,4,immediate,13,54,24,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 24
arith,default,4,immediate,14,89,103,0,-1,0,0,stop,7,0,qwen3.6-27b,Answer: 103
arith,default,4,immediate,15,46,63,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 63
arith,default,4,immediate,16,80,100,0,-1,0,0,stop,7,0,qwen3.6-27b,Answer: 100
arith,default,4,immediate,17,94,95,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 95
arith,default,4,immediate,18,55,42,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 42
arith,default,4,immediate,19,19,33,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 33
arith,default,4,immediate,20,56,104,0,-1,0,0,stop,7,0,qwen3.6-27b,Answer: 104
arith,default,4,immediate,21,31,3,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 3
arith,default,4,immediate,22,71,61,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 61
arith,default,4,immediate,23,24,4,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
arith,default,4,immediate,24,82,72,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 72
arith,default,4,immediate,25,76,30,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 30
arith,default,4,immediate,26,89,56,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 56
arith,default,4,immediate,27,36,38,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 38
arith,default,4,immediate,28,54,56,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 56
arith,default,4,immediate,29,35,41,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 41
