task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
parallel,default,2,immediate,0,DB,DB,1,-1,0,0,Answer: DB
parallel,default,2,immediate,1,SX,SX,1,-1,0,0, SX
parallel,default,2,immediate,2,DS,DS,1,-1,0,0,Answer: DS
parallel,default,2,immediate,3,RQ,RQ,1,-1,0,0, RQ
parallel,default,2,immediate,4,EO,EO,1,-1,0,0,Answer: EO
parallel,default,2,immediate,5,ZQ,QV,0,-1,0,0,QV
parallel,default,2,immediate,6,QA,QA,1,-1,0,0, QA
parallel,default,2,immediate,7,NE,NE,1,-1,0,0, NE
parallel,default,2,immediate,8,BP,BP,1,-1,0,0,Answer: BP
parallel,default,2,immediate,9,ZD,ZD,1,-1,0,0,Answer: ZD
parallel,default,2,immediate,10,DE,DE,1,-1,0,0,Answer: DE
parallel,default,2,immediate,11,YZ,YZ,1,-1,0,0,YZ
parallel,default,2,immediate,12,ZB,ZB,1,-1,0,0,ZB
parallel,default,2,immediate,13,KJ,KJ,1,-1,0,0, KJ
parallel,default,2,immediate,14,AK,AK,1,-1,0,0,AK
parallel,default,2,immediate,15,YW,YW,1,-1,0,0, YW
parallel,default,2,immediate,16,DT,DT,1,-1,0,0,DT
parallel,default,2,immediate,17,PF,PF,1,-1,0,0,PF
parallel,default,2,immediate,18,XJ,JH,0,-1,0,0,Answer: JH
parallel,default,2,immediate,19,YI,YI,1,-1,0,0,Answer: YI
parallel,default,2,immediate,20,YT,YT,1,-1,0,0, YT
parallel,default,2,immediate,21,MW,MW,1,-1,0,0,MW
parallel,default,2,immediate,22,HE,HE,1,-1,0,0,Answer: HE
parallel,default,2,immediate,23,WT,WT,1,-1,0,0, WT
parallel,default,2,immediate,24,QK,QK,1,-1,0,0,Answer: QK
parallel,default,2,immediate,25,WD,WD,1,-1,0,0,Answer: WD
parallel,default,2,immediate,26,UG,UG,1,-1,0,0,UG
parallel,default,2,immediate,27,HA,HA,1,-1,0,0,HA
parallel,default,2,immediate,28,FI,FI,1,-1,0,0, FI
parallel,default,2,immediate,29,XJ,XJ,1,-1,0,0,Answer: XJ
parallel,default,2,immediate,30,EA,EA,1,-1,0,0, EA
parallel,default,2,immediate,31,QQ,QQ,1,-1,0,0,Answer: QQ
parallel,default,2,immediate,32,QC,QC,1,-1,0,0, QC
parallel,default,2,immediate,33,TC,TC,1,-1,0,0,TC
parallel,default,2,immediate,34,KS,KS,1,-1,0,0,KS
parallel,default,2,immediate,35,IS,IS,1,-1,0,0,Answer: IS
parallel,default,2,immediate,36,TY,TY,1,-1,0,0,TY
parallel,default,2,immediate,37,LE,LE,1,-1,0,0,LE
parallel,default,2,immediate,38,QB,QB,1,-1,0,0,QB
parallel,default,2,immediate,39,UR,UR,1,-1,0,0,UR
parallel,default,4,immediate,0,VK,VK,1,-1,0,0, VK
parallel,default,4,immediate,1,DW,DW,1,-1,0,0, DW
parallel,default,4,immediate,2,LM,LM,1,-1,0,0,LM
parallel,default,4,immediate,3,AL,TG,0,-1,0,0, TG
parallel,default,4,immediate,4,YB,LS,0,-1,0,0, LS
parallel,default,4,immediate,5,HM,EA,0,-1,0,0, EA
parallel,default,4,immediate,6,SE,SE,1,-1,0,0, SE
parallel,default,4,immediate,7,JK,JK,1,-1,0,0,Answer: JK
parallel,default,4,immediate,8,KN,KN,1,-1,0,0, KN
parallel,default,4,immediate,9,NE,NE,1,-1,0,0, NE
parallel,default,4,immediate,10,DW,DW,1,-1,0,0, DW
parallel,default,4,immediate,11,ED,QL,0,-1,0,0, QL
parallel,default,4,immediate,12,MK,MK,1,-1,0,0, MK
parallel,default,4,immediate,13,RM,RM,1,-1,0,0, RM
parallel,default,4,immediate,14,QG,KB,0,-1,0,0, KB
parallel,default,4,immediate,15,TE,TE,1,-1,0,0, TE
parallel,default,4,immediate,16,JE,JE,1,-1,0,0, JE
parallel,default,4,immediate,17,TI,TI,1,-1,0,0, TI
parallel,default,4,immediate,18,ZW,ZW,1,-1,0,0, ZW
parallel,default,4,immediate,19,AM,AM,1,-1,0,0, AM
parallel,default,4,immediate,20,FM,FM,1,-1,0,0, FM
parallel,default,4,immediate,21,UU,UU,1,-1,0,0, UU
parallel,default,4,immediate,22,FM,QG,0,-1,0,0, QG
parallel,default,4,immediate,23,IZ,IZ,1,-1,0,0, IZ
parallel,default,4,immediate,24,KE,KE,1,-1,0,0, KE
parallel,default,4,immediate,25,JH,JH,1,-1,0,0, JH
parallel,default,4,immediate,26,VN,VN,1,-1,0,0, VN
parallel,default,4,immediate,27,JX,JX,1,-1,0,0, JX
parallel,default,4,immediate,28,VF,VF,1,-1,0,0, VF
parallel,default,4,immediate,29,NM,NM,1,-1,0,0, NM
parallel,default,4,immediate,30,CC,CC,1,-1,0,0, CC
parallel,default,4,immediate,31,ZH,ZH,1,-1,0,0, ZH
parallel,default,4,immediate,32,JA,JA,1,-1,0,0, JA
parallel,default,4,immediate,33,GH,GH,1,-1,0,0, GH
parallel,default,4,immediate,34,SW,SW,1,-1,0,0, SW
parallel,default,4,immediate,35,JI,JI,1,-1,0,0, JI
parallel,default,4,immediate,36,SR,SR,1,-1,0,0, SR
parallel,default,4,immediate,37,BF,BF,1,-1,0,0, BF
parallel,default,4,immediate,38,BU,BU,1,-1,0,0, BU
parallel,default,4,immediate,39,ME,ME,1,-1,0,0,ME
parallel,default,8,immediate,0,GB,GB,1,-1,0,0, GB
parallel,default,8,immediate,1,KG,KG,1,-1,0,0, KG
parallel,default,8,immediate,2,KW,FV,0,-1,0,0, FV
parallel,default,8,immediate,3,IC,IC,1,-1,0,0,IC
parallel,default,8,immediate,4,SW,SW,1,-1,0,0, SW
parallel,default,8,immediate,5,OR,OR,1,-1,0,0, OR
parallel,default,8,immediate,6,CD,CD,1,-1,0,0,Answer: CD
parallel,default,8,immediate,7,NO,IE,0,-1,0,0, IE
parallel,default,8,immediate,8,FO,FO,1,-1,0,0, FO
parallel,default,8,immediate,9,AA,AA,1,-1,0,0, AA
parallel,default,8,immediate,10,BM,BM,1,-1,0,0, BM
parallel,default,8,immediate,11,HT,HT,1,-1,0,0, HT
parallel,default,8,immediate,12,PD,PD,1,-1,0,0, PD
parallel,default,8,immediate,13,AC,AC,1,-1,0,0, AC
parallel,default,8,immediate,14,GB,GB,1,-1,0,0, GB
parallel,default,8,immediate,15,IN,IN,1,-1,0,0, IN
parallel,default,8,immediate,16,LO,LO,1,-1,0,0, LO
parallel,default,8,immediate,17,EH,EH,1,-1,0,0, EH
parallel,default,8,immediate,18,KJ,CE,0,-1,0,0, CE
parallel,default,8,immediate,19,VF,VF,1,-1,0,0, VF
parallel,default,8,immediate,20,ZP,VP,0,-1,0,0, VP
parallel,default,8,immediate,21,WW,OQ,0,-1,0,0, OQ
parallel,default,8,immediate,22,WR,VC,0,-1,0,0, VC
parallel,default,8,immediate,23,FV,FV,1,-1,0,0, FV
parallel,default,8,immediate,24,QC,QC,1,-1,0,0, QC
parallel,default,8,immediate,25,IK,AH,0,-1,0,0, AH
parallel,default,8,immediate,26,CN,CN,1,-1,0,0, CN
parallel,default,8,immediate,27,BK,BK,1,-1,0,0, BK
parallel,default,8,immediate,28,ZJ,ZJ,1,-1,0,0, ZJ
parallel,default,8,immediate,29,KF,KF,1,-1,0,0, KF
parallel,default,8,immediate,30,FO,FO,1,-1,0,0, FO
parallel,default,8,immediate,31,KR,KR,1,-1,0,0, KR
parallel,default,8,immediate,32,YQ,LU,0,-1,0,0, LU
parallel,default,8,immediate,33,LT,LT,1,-1,0,0, LT
parallel,default,8,immediate,34,SM,JA,0,-1,0,0, JA
parallel,default,8,immediate,35,II,II,1,-1,0,0, II
parallel,default,8,immediate,36,BT,BT,1,-1,0,0, BT
parallel,default,8,immediate,37,IV,EJ,0,-1,0,0, EJ
parallel,default,8,immediate,38,ZN,HI,0,-1,0,0, HI
parallel,default,8,immediate,39,SF,HT,0,-1,0,0, HT
parallel,default,12,immediate,0,CX,CX,1,-1,0,0, CX
parallel,default,12,immediate,1,BB,BB,1,-1,0,0, BB
parallel,default,12,immediate,2,LA,LA,1,-1,0,0, LA
parallel,default,12,immediate,3,LY,LY,1,-1,0,0, LY
parallel,default,12,immediate,4,IE,IE,1,-1,0,0, IE
parallel,default,12,immediate,5,HI,HI,1,-1,0,0, HI
parallel,default,12,immediate,6,XL,XL,1,-1,0,0, XL
parallel,default,12,immediate,7,GN,TN,0,-1,0,0, TN
parallel,default,12,immediate,8,KX,HT,0,-1,0,0, HT
parallel,default,12,immediate,9,FZ,SE,0,-1,0,0, SE
parallel,default,12,immediate,10,PG,PG,1,-1,0,0, PG
parallel,default,12,immediate,11,PN,PN,1,-1,0,0, PN
parallel,default,12,immediate,12,QS,ON,0,-1,0,0, ON
parallel,default,12,immediate,13,RM,BY,0,-1,0,0, BY
parallel,default,12,immediate,14,WN,WN,1,-1,0,0, WN
parallel,default,12,immediate,15,IW,IW,1,-1,0,0, IW
parallel,default,12,immediate,16,BR,BR,1,-1,0,0, BR
parallel,default,12,immediate,17,YU,BV,0,-1,0,0,Answer: BV
parallel,default,12,immediate,18,WC,WC,1,-1,0,0, WC
parallel,default,12,immediate,19,XX,WB,0,-1,0,0, WB
parallel,default,12,immediate,20,IU,IU,1,-1,0,0, IU
parallel,default,12,immediate,21,FP,FP,1,-1,0,0, FP
parallel,default,12,immediate,22,NR,NR,1,-1,0,0, NR
parallel,default,12,immediate,23,IK,IK,1,-1,0,0, IK
parallel,default,12,immediate,24,NO,NO,1,-1,0,0, NO
parallel,default,12,immediate,25,OY,OY,1,-1,0,0, OY
parallel,default,12,immediate,26,SR,SR,1,-1,0,0, SR
parallel,default,12,immediate,27,PJ,PJ,1,-1,0,0, PJ
parallel,default,12,immediate,28,YM,YM,1,-1,0,0, YM
parallel,default,12,immediate,29,HB,KC,0,-1,0,0, KC
parallel,default,12,immediate,30,WM,WM,1,-1,0,0, WM
parallel,default,12,immediate,31,MW,MW,1,-1,0,0, MW
parallel,default,12,immediate,32,LI,LI,1,-1,0,0, LI
parallel,default,12,immediate,33,WJ,WJ,1,-1,0,0, WJ
parallel,default,12,immediate,34,JS,SY,0,-1,0,0, SY
parallel,default,12,immediate,35,BN,BN,1,-1,0,0, BN
parallel,default,12,immediate,36,QZ,QZ,1,-1,0,0, QZ
parallel,default,12,immediate,37,VG,QV,0,-1,0,0, QV
parallel,default,12,immediate,38,RP,RP,1,-1,0,0, RP
parallel,default,12,immediate,39,JB,WF,0,-1,0,0, WF
parallel,default,16,immediate,0,BH,BH,1,-1,0,0, BH
parallel,default,16,immediate,1,SP,XS,0,-1,0,0, XS
parallel,default,16,immediate,2,LA,LA,1,-1,0,0, LA
parallel,default,16,immediate,3,IT,IT,1,-1,0,0, IT
parallel,default,16,immediate,4,SM,HG,0,-1,0,0, HG
parallel,default,16,immediate,5,LJ,XM,0,-1,0,0, XM
parallel,default,16,immediate,6,BH,BH,1,-1,0,0, BH
parallel,default,16,immediate,7,RY,RY,1,-1,0,0, RY
parallel,default,16,immediate,8,HD,OQ,0,-1,0,0, OQ
parallel,default,16,immediate,9,FR,IV,0,-1,0,0, IV
parallel,default,16,immediate,10,SI,RS,0,-1,0,0, RS
parallel,default,16,immediate,11,OR,CF,0,-1,0,0, CF
parallel,default,16,immediate,12,AU,FW,0,-1,0,0, FW
parallel,default,16,immediate,13,TF,TF,1,-1,0,0, TF
parallel,default,16,immediate,14,FK,FK,1,-1,0,0, FK
parallel,default,16,immediate,15,XF,ZQ,0,-1,0,0, ZQ
parallel,default,16,immediate,16,XM,XM,1,-1,0,0, XM
parallel,default,16,immediate,17,OX,OX,1,-1,0,0,Answer: OX
parallel,default,16,immediate,18,WB,FC,0,-1,0,0, FC
parallel,default,16,immediate,19,EZ,EZ,1,-1,0,0, EZ
parallel,default,16,immediate,20,EV,KY,0,-1,0,0, KY
parallel,default,16,immediate,21,EB,EB,1,-1,0,0, EB
parallel,default,16,immediate,22,CN,CN,1,-1,0,0, CN
parallel,default,16,immediate,23,AJ,AJ,1,-1,0,0, AJ
parallel,default,16,immediate,24,AC,IP,0,-1,0,0, IP
parallel,default,16,immediate,25,FK,FK,1,-1,0,0, FK
parallel,default,16,immediate,26,TS,TS,1,-1,0,0, TS
parallel,default,16,immediate,27,PT,PT,1,-1,0,0, PT
parallel,default,16,immediate,28,DV,PA,0,-1,0,0, PA
parallel,default,16,immediate,29,WK,UT,0,-1,0,0,UT
parallel,default,16,immediate,30,HH,BU,0,-1,0,0, BU
parallel,default,16,immediate,31,AI,AI,1,-1,0,0, AI
parallel,default,16,immediate,32,VQ,VQ,1,-1,0,0, VQ
parallel,default,16,immediate,33,JH,JH,1,-1,0,0, JH
parallel,default,16,immediate,34,CZ,BL,0,-1,0,0, BL
parallel,default,16,immediate,35,ZP,ZP,1,-1,0,0, ZP
parallel,default,16,immediate,36,HK,ZZ,0,-1,0,0, ZZ
parallel,default,16,immediate,37,UV,UV,1,-1,0,0, UV
parallel,default,16,immediate,38,VL,LL,0,-1,0,0, LL
parallel,default,16,immediate,39,NV,NV,1,-1,0,0, NV
parallel,default,20,immediate,0,RU,UE,0,-1,0,0, UE
parallel,default,20,immediate,1,OH,EM,0,-1,0,0, EM
parallel,default,20,immediate,2,NA,NA,1,-1,0,0, NA
parallel,default,20,immediate,3,JM,PU,0,-1,0,0,Answer: PU
parallel,default,20,immediate,4,OJ,ZZ,0,-1,0,0, ZZ
parallel,default,20,immediate,5,KD,KD,1,-1,0,0, KD
parallel,default,20,immediate,6,KU,RK,0,-1,0,0, RK
parallel,default,20,immediate,7,BP,BP,1,-1,0,0, BP
parallel,default,20,immediate,8,WF,BJ,0,-1,0,0, BJ
parallel,default,20,immediate,9,TP,TP,1,-1,0,0, TP
parallel,default,20,immediate,10,WB,WB,1,-1,0,0, WB
parallel,default,20,immediate,11,WG,PV,0,-1,0,0, PV
parallel,default,20,immediate,12,JJ,CL,0,-1,0,0, CL
parallel,default,20,immediate,13,YZ,YZ,1,-1,0,0, YZ
parallel,default,20,immediate,14,MF,MF,1,-1,0,0, MF
parallel,default,20,immediate,15,ZB,ZB,1,-1,0,0, ZB
parallel,default,20,immediate,16,MA,AG,0,-1,0,0, AG
parallel,default,20,immediate,17,AK,GF,0,-1,0,0, GF
parallel,default,20,immediate,18,QM,PQ,0,-1,0,0, PQ
parallel,default,20,immediate,19,KS,CY,0,-1,0,0, CY
parallel,default,20,immediate,20,AU,AU,1,-1,0,0, AU
parallel,default,20,immediate,21,CX,CX,1,-1,0,0, CX
parallel,default,20,immediate,22,VZ,VZ,1,-1,0,0, VZ
parallel,default,20,immediate,23,GP,GP,1,-1,0,0,Answer: GP
parallel,default,20,immediate,24,CQ,DU,0,-1,0,0, DU
parallel,default,20,immediate,25,RQ,WN,0,-1,0,0, WN
parallel,default,20,immediate,26,JK,SQ,0,-1,0,0, SQ
parallel,default,20,immediate,27,KM,PP,0,-1,0,0, PP
parallel,default,20,immediate,28,ZG,ZG,1,-1,0,0, ZG
parallel,default,20,immediate,29,RH,RH,1,-1,0,0, RH
parallel,default,20,immediate,30,OV,OV,1,-1,0,0, OV
parallel,default,20,immediate,31,PY,PY,1,-1,0,0, PY
parallel,default,20,immediate,32,RT,YN,0,-1,0,0,YN
parallel,default,20,immediate,33,WO,CB,0,-1,0,0, CB
parallel,default,20,immediate,34,RX,RX,1,-1,0,0, RX
parallel,default,20,immediate,35,UX,UX,1,-1,0,0, UX
parallel,default,20,immediate,36,CZ,CZ,1,-1,0,0,Answer: CZ
parallel,default,20,immediate,37,SX,SC,0,-1,0,0, SC
parallel,default,20,immediate,38,DE,DE,1,-1,0,0, DE
parallel,default,20,immediate,39,BH,BH,1,-1,0,0, BH
parallel,default,24,immediate,0,FG,OX,0,-1,0,0, OX
parallel,default,24,immediate,1,YP,YP,1,-1,0,0, YP
parallel,default,24,immediate,2,TF,TF,1,-1,0,0,TF
parallel,default,24,immediate,3,QH,GQ,0,-1,0,0, GQ
parallel,default,24,immediate,4,XV,BF,0,-1,0,0, BF
parallel,default,24,immediate,5,TL,FW,0,-1,0,0, FW
parallel,default,24,immediate,6,ID,UG,0,-1,0,0, UG
parallel,default,24,immediate,7,CN,CN,1,-1,0,0, CN
parallel,default,24,immediate,8,TJ,QP,0,-1,0,0, QP
parallel,default,24,immediate,9,OP,OP,1,-1,0,0, OP
parallel,default,24,immediate,10,FM,SQ,0,-1,0,0, SQ
parallel,default,24,immediate,11,SF,WH,0,-1,0,0, WH
parallel,default,24,immediate,12,OH,OH,1,-1,0,0, OH
parallel,default,24,immediate,13,DF,DF,1,-1,0,0, DF
parallel,default,24,immediate,14,AS,VB,0,-1,0,0, VB
parallel,default,24,immediate,15,PQ,PQ,1,-1,0,0, PQ
parallel,default,24,immediate,16,BM,NK,0,-1,0,0, NK
parallel,default,24,immediate,17,CC,GE,0,-1,0,0, GE
parallel,default,24,immediate,18,HA,HA,1,-1,0,0, HA
parallel,default,24,immediate,19,CJ,YU,0,-1,0,0, YU
parallel,default,24,immediate,20,DV,EV,0,-1,0,0, EV
