task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
parallel_count,default,2,immediate,0,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,1,1,2,0,-1,0,0, 2
parallel_count,default,2,immediate,2,1,2,0,-1,0,0, 2
parallel_count,default,2,immediate,3,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,4,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,5,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,6,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,7,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,8,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,9,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,10,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,11,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,12,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,13,1,2,0,-1,0,0, 2
parallel_count,default,2,immediate,14,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,15,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,16,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,17,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,18,1,2,0,-1,0,0, 2
parallel_count,default,2,immediate,19,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,20,1,2,0,-1,0,0, 2
parallel_count,default,2,immediate,21,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,22,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,23,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,24,1,2,0,-1,0,0, 2
parallel_count,default,2,immediate,25,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,26,1,2,0,-1,0,0, 2
parallel_count,default,2,immediate,27,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,28,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,29,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,30,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,31,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,32,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,33,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,34,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,35,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,36,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,37,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,38,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,39,1,0,0,-1,0,0, 0
parallel_count,default,4,immediate,0,2,2,1,-1,0,0, 2
