k,condition,idx,gold,pred,correct,leak,eff_hops,chain,error,completion
1,immediate,0,BY,BY,1,0,1,GV BY,0,BY
1,immediate,1,XF,XF,1,0,1,AV XF,0,Answer: XF
1,immediate,2,XN,XN,1,0,1,NO XN,0,Answer: XN
1,immediate,3,VC,VC,1,0,1,NJ VC,0,VC
1,immediate,4,IL,IL,1,0,1,ZP IL,0, IL
1,immediate,5,TP,TP,1,0,1,FB TP,0, TP
1,immediate,6,ZR,ZR,1,0,1,EV ZR,0,ZR
1,immediate,7,VM,VM,1,0,1,JD VM,0,Answer: VM
1,immediate,8,KS,KS,1,0,1,RH KS,0,KS
1,immediate,9,YC,YC,1,0,1,PY YC,0,YC
1,immediate,10,WK,WK,1,0,1,EG WK,0,Answer: WK
1,immediate,11,MJ,MJ,1,0,1,ZT MJ,0, MJ
1,immediate,12,RF,RF,1,0,1,SX RF,0,RF
1,immediate,13,NS,NS,1,0,1,CK NS,0, NS
1,immediate,14,EM,EM,1,0,1,WV EM,0,EM
1,immediate,15,VN,VN,1,0,1,QZ VN,0,Answer: VN
1,immediate,16,EA,EA,1,0,1,HH EA,0,EA
1,immediate,17,CE,CE,1,0,1,WV CE,0, CE
1,immediate,18,FE,FE,1,0,1,YY FE,0, FE
1,immediate,19,DS,DS,1,0,1,IN DS,0,Answer: DS
1,immediate,20,RU,RU,1,0,1,FW RU,0,RU
1,immediate,21,ZT,ZT,1,0,1,CI ZT,0,ZT
1,immediate,22,OU,OU,1,0,1,YK OU,0,Answer: OU
1,immediate,23,ZO,ZO,1,0,1,TD ZO,0,Answer: ZO
1,immediate,24,HD,HD,1,0,1,QX HD,0, HD
1,immediate,25,MO,MO,1,0,1,OD MO,0,Answer: MO
1,immediate,26,NC,NC,1,0,1,YM NC,0,Answer: NC
1,immediate,27,HR,HR,1,0,1,JG HR,0, HR
1,immediate,28,DP,DP,1,0,1,HW DP,0,Answer: DP
1,immediate,29,AM,AM,1,0,1,CA AM,0,AM
1,filler,0,BY,BY,1,0,1,GV BY,0,Answer: BY
1,filler,1,XF,XF,1,0,1,AV XF,0, XF
1,filler,2,XN,XN,1,0,1,NO XN,0,XN
1,filler,3,VC,VC,1,0,1,NJ VC,0,Answer: VC
1,filler,4,IL,IL,1,0,1,ZP IL,0, IL
1,filler,5,TP,TP,1,0,1,FB TP,0,Answer: TP
1,filler,6,ZR,ZR,1,0,1,EV ZR,0,Answer: ZR
1,filler,7,VM,VM,1,0,1,JD VM,0,Answer: VM
1,filler,8,KS,KS,1,0,1,RH KS,0,Answer: KS
1,filler,9,YC,YC,1,0,1,PY YC,0,Answer: YC
1,filler,10,WK,WK,1,0,1,EG WK,0, WK
1,filler,11,MJ,MJ,1,0,1,ZT MJ,0,Answer: MJ
1,filler,12,RF,RF,1,0,1,SX RF,0,Answer: RF
1,filler,13,NS,NS,1,0,1,CK NS,0,Answer: NS
1,filler,14,EM,EM,1,0,1,WV EM,0,Answer: EM
1,filler,15,VN,VN,1,0,1,QZ VN,0,Answer: VN
1,filler,16,EA,EA,1,0,1,HH EA,0,EA
1,filler,17,CE,CE,1,0,1,WV CE,0,Answer: CE
1,filler,18,FE,FE,1,0,1,YY FE,0,Answer: FE
1,filler,19,DS,DS,1,0,1,IN DS,0,Answer: DS
1,filler,20,RU,RU,1,0,1,FW RU,0,Answer: RU
1,filler,21,ZT,ZT,1,0,1,CI ZT,0,ZT
1,filler,22,OU,OU,1,0,1,YK OU,0,OU
1,filler,23,ZO,ZO,1,0,1,TD ZO,0,Answer: ZO
1,filler,24,HD,HD,1,0,1,QX HD,0,Answer: HD
1,filler,25,MO,MO,1,0,1,OD MO,0,Answer: MO
1,filler,26,NC,NC,1,0,1,YM NC,0,Answer: NC
1,filler,27,HR,HR,1,0,1,JG HR,0,Answer: HR
1,filler,28,DP,DP,1,0,1,HW DP,0,Answer: DP
1,filler,29,AM,AM,1,0,1,CA AM,0,Answer: AM
1,cot,0,BY,BY,1,0,1,GV BY,0,"Following the chain: GV -> BY.
Answer: BY"
1,cot,1,XF,XF,1,0,1,AV XF,0,"Following the chain: AV -> XF.
Answer: XF"
1,cot,2,XN,XN,1,0,1,NO XN,0,"Following the chain: NO -> XN.
Answer: XN"
1,cot,3,VC,VC,1,0,1,NJ VC,0,"Following the chain: NJ -> VC.
Answer: VC"
1,cot,4,IL,IL,1,0,1,ZP IL,0,"Following the chain: ZP -> IL.
Answer: IL"
1,cot,5,TP,TP,1,0,1,FB TP,0,"Following the chain: FB -> TP.
Answer: TP"
1,cot,6,ZR,ZR,1,0,1,EV ZR,0,"Following the chain: EV -> ZR.
Answer: ZR"
1,cot,7,VM,VM,1,0,1,JD VM,0,"Following the chain: JD -> VM.
Answer: VM"
1,cot,8,KS,KS,1,0,1,RH KS,0,"Following the chain: RH -> KS.
Answer: KS"
1,cot,9,YC,YC,1,0,1,PY YC,0,"Following the chain: PY -> YC.
Answer: YC"
1,cot,10,WK,WK,1,0,1,EG WK,0,"Following the chain: EG -> WK.
Answer: WK"
1,cot,11,MJ,MJ,1,0,1,ZT MJ,0,"Following the chain: ZT -> MJ.
Answer: MJ"
1,cot,12,RF,RF,1,0,1,SX RF,0,"Following the chain: SX -> RF.
Answer: RF"
1,cot,13,NS,NS,1,0,1,CK NS,0,"Following the chain: CK -> NS.
Answer: NS"
1,cot,14,EM,EM,1,0,1,WV EM,0,"Following the chain: WV -> EM.
Answer: EM"
1,cot,15,VN,VN,1,0,1,QZ VN,0,"Following the chain: QZ -> VN.
Answer: VN"
1,cot,16,EA,EA,1,0,1,HH EA,0,"Following the chain: HH -> EA.
Answer: EA"
1,cot,17,CE,CE,1,0,1,WV CE,0,"Following the chain: WV -> CE.
Answer: CE"
1,cot,18,FE,FE,1,0,1,YY FE,0,"Following the chain: YY -> FE.
Answer: FE"
1,cot,19,DS,DS,1,0,1,IN DS,0,"Following the chain: IN -> DS.
Answer: DS"
1,cot,20,RU,RU,1,0,1,FW RU,0,"Following the chain: FW -> RU.
Answer: RU"
1,cot,21,ZT,ZT,1,0,1,CI ZT,0,"Following the chain: CI -> ZT.
Answer: ZT"
1,cot,22,OU,OU,1,0,1,YK OU,0,"Following the chain: YK -> OU.
Answer: OU"
1,cot,23,ZO,ZO,1,0,1,TD ZO,0,"Following the chain: TD -> ZO.
Answer: ZO"
1,cot,24,HD,HD,1,0,1,QX HD,0,"Following the chain: QX -> HD.
Answer: HD"
1,cot,25,MO,MO,1,0,1,OD MO,0,"Following the chain: OD -> MO.
Answer: MO"
1,cot,26,NC,NC,1,0,1,YM NC,0,"Following the chain: YM -> NC.
Answer: NC"
1,cot,27,HR,HR,1,0,1,JG HR,0,"Following the chain: JG -> HR.
Answer: HR"
1,cot,28,DP,DP,1,0,1,HW DP,0,"Following the chain: HW -> DP.
Answer: DP"
1,cot,29,AM,AM,1,0,1,CA AM,0,"Following the chain: CA -> AM.
Answer: AM"
2,immediate,0,LC,HU,0,0,-1,FT DD LC,0,Answer: HU
2,immediate,1,RV,QM,0,0,-1,QV UE RV,0, QM
2,immediate,2,HF,IZ,0,0,-1,MB QE HF,0,Answer: IZ
2,immediate,3,HE,YY,0,0,-1,DL RN HE,0,Answer: YY
2,immediate,4,PX,HN,0,0,-1,SG BF PX,0,Answer: HN
2,immediate,5,PM,EG,0,0,-1,XH MG PM,0, EG
2,immediate,6,SH,WD,0,0,-1,ZQ HY SH,0,Answer: WD
2,immediate,7,FQ,FQ,1,0,2,WP MQ FQ,0,Answer: FQ
2,immediate,8,KL,KB,0,0,-1,FP SO KL,0,Answer: KB
2,immediate,9,XF,VA,0,0,-1,EF SH XF,0, VA
2,immediate,10,VR,TT,0,0,-1,OT QE VR,0,Answer: TT
2,immediate,11,OQ,JD,0,0,-1,BM KT OQ,0, JD
2,immediate,12,WW,WW,1,0,2,ZH LD WW,0,Answer: WW
2,immediate,13,EW,EW,1,0,2,JM UF EW,0, EW
2,immediate,14,SX,HS,0,0,-1,TE QV SX,0,HS
2,immediate,15,GB,QS,0,0,-1,OK TV GB,0, QS
2,immediate,16,UO,IA,0,0,-1,VU AV UO,0,Answer: IA
2,immediate,17,LV,WE,0,0,-1,VF RF LV,0,Answer: WE
2,immediate,18,KL,KL,1,0,2,RL KQ KL,0,Answer: KL
2,immediate,19,XP,XP,1,0,2,KI MB XP,0,Answer: XP
2,immediate,20,MH,AX,0,0,-1,BM TK MH,0, AX
2,immediate,21,SD,OW,0,0,-1,QH QX SD,0,Answer: OW
2,immediate,22,VR,VR,1,0,2,KP JN VR,0,VR
2,immediate,23,DX,XZ,0,0,-1,YC XE DX,0,Answer: XZ
2,immediate,24,KZ,YI,0,0,-1,KA XE KZ,0,Answer: YI
2,immediate,25,LJ,VF,0,0,-1,TV NO LJ,0,VF
2,immediate,26,MR,HN,0,0,-1,RV BL MR,0,Answer: HN
2,immediate,27,DP,DP,1,0,2,YN YB DP,0,DP
2,immediate,28,DP,BA,0,0,-1,BX TI DP,0,Answer: BA
2,immediate,29,PR,JB,0,0,-1,YR TE PR,0,Answer: JB
2,filler,0,LC,HU,0,0,-1,FT DD LC,0,Answer: HU
2,filler,1,RV,VN,0,0,-1,QV UE RV,0,Answer: VN
2,filler,2,HF,LV,0,0,-1,MB QE HF,0,Answer: LV
2,filler,3,HE,VS,0,0,-1,DL RN HE,0,Answer: VS
2,filler,4,PX,HN,0,0,-1,SG BF PX,0, HN
2,filler,5,PM,PM,1,0,2,XH MG PM,0,PM
2,filler,6,SH,WD,0,0,-1,ZQ HY SH,0, WD
2,filler,7,FQ,BS,0,0,-1,WP MQ FQ,0,Answer: BS
2,filler,8,KL,KB,0,0,-1,FP SO KL,0, KB
2,filler,9,XF,VA,0,0,-1,EF SH XF,0,Answer: VA
2,filler,10,VR,VR,1,0,2,OT QE VR,0,Answer: VR
2,filler,11,OQ,OQ,1,0,2,BM KT OQ,0,Answer: OQ
2,filler,12,WW,WW,1,0,2,ZH LD WW,0,WW
2,filler,13,EW,EW,1,0,2,JM UF EW,0,Answer: EW
2,filler,14,SX,HS,0,0,-1,TE QV SX,0,Answer: HS
2,filler,15,GB,GB,1,0,2,OK TV GB,0, GB
2,filler,16,UO,UO,1,0,2,VU AV UO,0,Answer: UO
2,filler,17,LV,LV,1,0,2,VF RF LV,0, LV
2,filler,18,KL,KL,1,0,2,RL KQ KL,0,Answer: KL
2,filler,19,XP,XP,1,0,2,KI MB XP,0,Answer: XP
2,filler,20,MH,AX,0,0,-1,BM TK MH,0, AX
2,filler,21,SD,OW,0,0,-1,QH QX SD,0,Answer: OW
2,filler,22,VR,VR,1,0,2,KP JN VR,0,Answer: VR
2,filler,23,DX,QR,0,0,-1,YC XE DX,0, QR
2,filler,24,KZ,MS,0,0,-1,KA XE KZ,0, MS
2,filler,25,LJ,VF,0,0,-1,TV NO LJ,0,VF
2,filler,26,MR,PN,0,0,-1,RV BL MR,0, PN
