task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion,run_id,prompt,seed
facts_parallel,default,2,immediate,0,Japan,Finland,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Finland,cdc6a76e-1788557742,"Consider these 2 countries: Finland, Japan.
Exactly one of them has a capital city beginning with the letter T. Which country is it? Answer with just the country name.",873036808
facts_parallel,default,2,immediate,1,Finland,Finland,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Finland,cdc6a76e-1788557742,"Consider these 2 countries: Finland, Bulgaria.
Exactly one of them has a capital city beginning with the letter H. Which country is it? Answer with just the country name.",1125010590
facts_parallel,default,2,immediate,2,Thailand,Egypt,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Egypt,cdc6a76e-1788557742,"Consider these 2 countries: Egypt, Thailand.
Exactly one of them has a capital city beginning with the letter B. Which country is it? Answer with just the country name.",3657899300
facts_parallel,default,2,immediate,3,Greece,Greece,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Greece,cdc6a76e-1788557742,"Consider these 2 countries: Greece, Bulgaria.
Exactly one of them has a capital city beginning with the letter A. Which country is it? Answer with just the country name.",2902470066
facts_parallel,default,2,immediate,4,Ireland,Ireland,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Ireland,cdc6a76e-1788557742,"Consider these 2 countries: Ireland, Japan.
Exactly one of them has a capital city beginning with the letter D. Which country is it? Answer with just the country name.",862238737
facts_parallel,default,2,immediate,5,Finland,Finland,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Finland,cdc6a76e-1788557742,"Consider these 2 countries: Peru, Finland.
Exactly one of them has a capital city beginning with the letter H. Which country is it? Answer with just the country name.",1147373703
facts_parallel,default,2,immediate,6,Russia,Russia,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Russia,cdc6a76e-1788557742,"Consider these 2 countries: Russia, China.
Exactly one of them has a capital city beginning with the letter M. Which country is it? Answer with just the country name.",3714767165
facts_parallel,default,2,immediate,7,Bulgaria,Bulgaria,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Bulgaria,cdc6a76e-1788557742,"Consider these 2 countries: Norway, Bulgaria.
Exactly one of them has a capital city beginning with the letter S. Which country is it? Answer with just the country name.",2859329963
facts_parallel,default,2,immediate,8,Austria,Austria,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Austria,cdc6a76e-1788557742,"Consider these 2 countries: Czechia, Austria.
Exactly one of them has a capital city beginning with the letter V. Which country is it? Answer with just the country name.",986903610
facts_parallel,default,2,immediate,9,Sweden,Sweden,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Sweden,cdc6a76e-1788557742,"Consider these 2 countries: Hungary, Sweden.
Exactly one of them has a capital city beginning with the letter S. Which country is it? Answer with just the country name.",1305855148
facts_parallel,default,2,immediate,10,Egypt,Austria,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Austria,cdc6a76e-1788557742,"Consider these 2 countries: Egypt, Austria.
Exactly one of them has a capital city beginning with the letter C. Which country is it? Answer with just the country name.",3811536686
facts_parallel,default,2,immediate,11,Thailand,Cuba,0,-1,0,0,stop,3,0,qwen3.6-27b,Answer: Cuba,cdc6a76e-1788557742,"Consider these 2 countries: Cuba, Thailand.
Exactly one of them has a capital city beginning with the letter B. Which country is it? Answer with just the country name.",2485673912
facts_parallel,default,2,immediate,12,Denmark,Denmark,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Denmark,cdc6a76e-1788557742,"Consider these 2 countries: Denmark, Finland.
Exactly one of them has a capital city beginning with the letter C. Which country is it? Answer with just the country name.",220270082
facts_parallel,default,2,immediate,13,Bulgaria,Kenya,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Kenya,cdc6a76e-1788557742,"Consider these 2 countries: Kenya, Bulgaria.
Exactly one of them has a capital city beginning with the letter S. Which country is it? Answer with just the country name.",2049326740
facts_parallel,default,2,immediate,14,Bulgaria,Bulgaria,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Bulgaria,cdc6a76e-1788557742,"Consider these 2 countries: Bulgaria, Germany.
Exactly one of them has a capital city beginning with the letter S. Which country is it? Answer with just the country name.",3829574455
facts_parallel,default,2,immediate,15,Russia,Russia,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Russia,cdc6a76e-1788557742,"Consider these 2 countries: Kenya, Russia.
Exactly one of them has a capital city beginning with the letter M. Which country is it? Answer with just the country name.",2470812577
facts_parallel,default,2,immediate,16,Kenya,Kenya,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Kenya,cdc6a76e-1788557742,"Consider these 2 countries: Denmark, Kenya.
Exactly one of them has a capital city beginning with the letter N. Which country is it? Answer with just the country name.",172804635
facts_parallel,default,2,immediate,17,Russia,Portugal,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Portugal,cdc6a76e-1788557742,"Consider these 2 countries: Russia, Portugal.
Exactly one of them has a capital city beginning with the letter M. Which country is it? Answer with just the country name.",2102131341
facts_parallel,default,2,immediate,18,Germany,Norway,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Norway,cdc6a76e-1788557742,"Consider these 2 countries: Germany, Norway.
Exactly one of them has a capital city beginning with the letter B. Which country is it? Answer with just the country name.",3992250140
facts_parallel,default,2,immediate,19,Israel,Israel,1,-1,0,0,stop,3,0,qwen3.6-27b,Answer: Israel,cdc6a76e-1788557742,"Consider these 2 countries: Germany, Israel.
Exactly one of them has a capital city beginning with the letter J. Which country is it? Answer with just the country name.",2599671690
facts_parallel,default,2,immediate,20,Thailand,Cuba,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Cuba,cdc6a76e-1788557742,"Consider these 2 countries: Thailand, Cuba.
Exactly one of them has a capital city beginning with the letter B. Which country is it? Answer with just the country name.",3355589869
facts_parallel,default,2,immediate,21,Morocco,Morocco,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Morocco,cdc6a76e-1788557742,"Consider these 2 countries: Morocco, Israel.
Exactly one of them has a capital city beginning with the letter R. Which country is it? Answer with just the country name.",3204779131
facts_parallel,default,2,immediate,22,Japan,Japan,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Japan,cdc6a76e-1788557742,"Consider these 2 countries: Morocco, Japan.
Exactly one of them has a capital city beginning with the letter T. Which country is it? Answer with just the country name.",638344641
facts_parallel,default,2,immediate,23,Austria,Austria,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Austria,cdc6a76e-1788557742,"Consider these 2 countries: Austria, Cuba.
Exactly one of them has a capital city beginning with the letter V. Which country is it? Answer with just the country name.",1359703383
facts_parallel,default,2,immediate,24,Russia,Ireland,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Ireland,cdc6a76e-1788557742,"Consider these 2 countries: Russia, Ireland.
Exactly one of them has a capital city beginning with the letter M. Which country is it? Answer with just the country name.",3480221940
facts_parallel,default,2,immediate,25,Peru,Morocco,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Morocco,cdc6a76e-1788557742,"Consider these 2 countries: Morocco, Peru.
Exactly one of them has a capital city beginning with the letter L. Which country is it? Answer with just the country name.",3093874786
facts_parallel,default,2,immediate,26,Germany,Germany,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Germany,cdc6a76e-1788557742,"Consider these 2 countries: Morocco, Germany.
Exactly one of them has a capital city beginning with the letter B. Which country is it? Answer with just the country name.",560044504
facts_parallel,default,2,immediate,27,Sweden,Sweden,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Sweden,cdc6a76e-1788557742,"Consider these 2 countries: Sweden, Germany.
Exactly one of them has a capital city beginning with the letter S. Which country is it? Answer with just the country name.",1449568590
facts_parallel,default,2,immediate,28,Israel,Israel,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Israel,cdc6a76e-1788557742,"Consider these 2 countries: Sweden, Israel.
Exactly one of them has a capital city beginning with the letter J. Which country is it? Answer with just the country name.",3336156383
