task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion
parallel_count,default,8,immediate,0,3,4,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,1,3,4,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,2,4,4,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,3,4,4,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,4,3,4,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,5,3,4,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,6,5,4,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,7,6,5,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: 5
parallel_count,default,8,immediate,8,4,4,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,9,4,4,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,10,4,4,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,11,6,4,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,12,6,4,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,13,4,4,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,14,5,4,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,15,7,4,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,16,5,4,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,17,1,5,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 5
parallel_count,default,8,immediate,18,5,5,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 5
parallel_count,default,8,immediate,19,5,5,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 5
parallel_count,default,8,immediate,20,4,5,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 5
parallel_count,default,8,immediate,21,2,4,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,22,4,4,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,23,6,5,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: 5
parallel_count,default,8,immediate,24,5,5,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 5
parallel_count,default,8,immediate,25,3,4,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,26,3,5,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 5
parallel_count,default,8,immediate,27,4,4,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,28,3,4,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 4
parallel_count,default,8,immediate,29,3,5,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 5
parallel_count,default,16,immediate,0,6,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,1,10,10,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,2,9,10,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,3,9,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,4,6,8,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8
parallel_count,default,16,immediate,5,9,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,6,8,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,7,10,10,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,8,7,8,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8
parallel_count,default,16,immediate,9,13,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,10,7,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,11,7,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,12,8,8,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8
parallel_count,default,16,immediate,13,10,9,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 9
parallel_count,default,16,immediate,14,10,7,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 7
parallel_count,default,16,immediate,15,7,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,16,5,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,17,13,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,18,9,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,19,8,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,20,7,9,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 9
parallel_count,default,16,immediate,21,7,8,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8
parallel_count,default,16,immediate,22,11,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,23,9,9,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 9
parallel_count,default,16,immediate,24,8,10,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 10
parallel_count,default,16,immediate,25,6,9,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 9
parallel_count,default,16,immediate,26,6,8,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8
parallel_count,default,16,immediate,27,7,9,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 9
parallel_count,default,16,immediate,28,5,8,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: 8
parallel_count,default,16,immediate,29,10,8,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8
parallel_count,default,24,immediate,0,8,13,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 13
parallel_count,default,24,immediate,1,12,13,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 13
parallel_count,default,24,immediate,2,14,13,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 13
parallel_count,default,24,immediate,3,13,13,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 13
parallel_count,default,24,immediate,4,13,13,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 13
parallel_count,default,24,immediate,5,6,13,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 13
parallel_count,default,24,immediate,6,13,13,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 13
parallel_count,default,24,immediate,7,7,13,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 13
parallel_count,default,24,immediate,8,15,13,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 13
parallel_count,default,24,immediate,9,10,13,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 13
parallel_count,default,24,immediate,10,15,13,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 13
parallel_count,default,24,immediate,11,11,12,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 12
parallel_count,default,24,immediate,12,11,13,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 13
parallel_count,default,24,immediate,13,14,13,0,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 13
