task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion
parallel,default,8,immediate,0,UO,QZ,0,-1,0,0,stop,3,0,gemma-3-27b-it,QZ
parallel,default,8,immediate,1,SN,DK,0,-1,0,0,stop,2,0,gemma-3-27b-it, DK
parallel,default,8,immediate,2,GO,DV,0,-1,0,0,stop,2,0,gemma-3-27b-it, DV
parallel,default,8,immediate,3,ES,ES,1,-1,0,0,stop,2,0,gemma-3-27b-it, ES
parallel,default,8,immediate,4,RX,QU,0,-1,0,0,stop,2,0,gemma-3-27b-it, QU
parallel,default,8,immediate,5,VS,VS,1,-1,0,0,stop,2,0,gemma-3-27b-it, VS
parallel,default,8,immediate,6,AL,AL,1,-1,0,0,stop,2,0,gemma-3-27b-it, AL
parallel,default,8,immediate,7,AO,AO,1,-1,0,0,stop,2,0,gemma-3-27b-it,AO
parallel,default,8,immediate,8,NC,WX,0,-1,0,0,stop,3,0,gemma-3-27b-it, WX
parallel,default,8,immediate,9,FY,MU,0,-1,0,0,stop,2,0,gemma-3-27b-it, MU
parallel,default,8,immediate,10,NS,NS,1,-1,0,0,stop,2,0,gemma-3-27b-it, NS
parallel,default,8,immediate,11,XM,XM,1,-1,0,0,stop,2,0,gemma-3-27b-it, XM
parallel,default,8,immediate,12,UW,UW,1,-1,0,0,stop,2,0,gemma-3-27b-it,UW
parallel,default,8,immediate,13,DR,DR,1,-1,0,0,stop,2,0,gemma-3-27b-it, DR
parallel,default,8,immediate,14,UL,JG,0,-1,0,0,stop,2,0,gemma-3-27b-it, JG
parallel,default,8,immediate,15,AI,AI,1,-1,0,0,stop,2,0,gemma-3-27b-it, AI
parallel,default,8,immediate,16,WH,QW,0,-1,0,0,stop,3,0,gemma-3-27b-it,QW
parallel,default,8,immediate,17,HQ,HQ,1,-1,0,0,stop,2,0,gemma-3-27b-it, HQ
parallel,default,8,immediate,18,TH,TH,1,-1,0,0,stop,2,0,gemma-3-27b-it,TH
parallel,default,8,immediate,19,TI,TI,1,-1,0,0,stop,2,0,gemma-3-27b-it, TI
parallel,default,8,immediate,20,JT,MQ,0,-1,0,0,stop,2,0,gemma-3-27b-it, MQ
parallel,default,8,immediate,21,XR,YR,0,-1,0,0,stop,3,0,gemma-3-27b-it, YR
parallel,default,8,immediate,22,LQ,LQ,1,-1,0,0,stop,2,0,gemma-3-27b-it,LQ
parallel,default,8,immediate,23,TX,ZX,0,-1,0,0,stop,2,0,gemma-3-27b-it, ZX
parallel,default,8,immediate,24,MY,EN,0,-1,0,0,stop,2,0,gemma-3-27b-it, EN
parallel,default,8,immediate,25,HN,UT,0,-1,0,0,stop,2,0,gemma-3-27b-it, UT
