k,condition,idx,gold,pred,correct,leak,eff_hops,chain,error,completion
1,immediate,0,YQ,YQ,1,0,1,GV YQ,0, YQ
1,immediate,1,VF,VF,1,0,1,XP VF,0, VF
1,immediate,2,CH,CH,1,0,1,JL CH,0, CH
1,immediate,3,ZY,ZY,1,0,1,HA ZY,0, ZY
1,immediate,4,DX,DX,1,0,1,MK DX,0, DX
1,immediate,5,BH,BH,1,0,1,OD BH,0, BH
1,immediate,6,HH,HH,1,0,1,EV HH,0, HH
1,immediate,7,BB,BB,1,0,1,CA BB,0, BB
1,immediate,8,DS,DS,1,0,1,LS DS,0, DS
1,immediate,9,GV,GV,1,0,1,EQ GV,0, GV
1,immediate,10,KW,KW,1,0,1,WK KW,0, KW
1,immediate,11,FO,FO,1,0,1,YL FO,0, FO
1,immediate,12,LR,LR,1,0,1,EA LR,0, LR
1,immediate,13,MG,MG,1,0,1,YP MG,0, MG
1,immediate,14,ZP,ZP,1,0,1,RS ZP,0, ZP
1,immediate,15,QZ,QZ,1,0,1,LC QZ,0, QZ
1,immediate,16,GJ,GJ,1,0,1,HH GJ,0, GJ
1,immediate,17,WJ,WJ,1,0,1,YM WJ,0, WJ
1,immediate,18,LH,LH,1,0,1,DN LH,0, LH
1,immediate,19,IN,IN,1,0,1,LD IN,0, IN
1,immediate,20,TE,TE,1,0,1,LZ TE,0, TE
1,immediate,21,ZT,ZT,1,0,1,VP ZT,0, ZT
1,immediate,22,QI,QI,1,0,1,UK QI,0, QI
1,immediate,23,HC,HC,1,0,1,WK HC,0, HC
1,immediate,24,JX,JX,1,0,1,BC JX,0, JX
1,immediate,25,MO,MO,1,0,1,CK MO,0, MO
1,immediate,26,TL,TL,1,0,1,IU TL,0, TL
1,immediate,27,RL,RL,1,0,1,PN RL,0, RL
1,immediate,28,UC,UC,1,0,1,EG UC,0, UC
1,immediate,29,RB,RB,1,0,1,BZ RB,0, RB
1,filler,0,YQ,YQ,1,0,1,GV YQ,0, YQ
1,filler,1,VF,VF,1,0,1,XP VF,0, VF
1,filler,2,CH,CH,1,0,1,JL CH,0, CH
1,filler,3,ZY,ZY,1,0,1,HA ZY,0, ZY
1,filler,4,DX,DX,1,0,1,MK DX,0, DX
1,filler,5,BH,BH,1,0,1,OD BH,0, BH
1,filler,6,HH,HH,1,0,1,EV HH,0, HH
1,filler,7,BB,BB,1,0,1,CA BB,0, BB
1,filler,8,DS,DS,1,0,1,LS DS,0, DS
1,filler,9,GV,GV,1,0,1,EQ GV,0, GV
1,filler,10,KW,KW,1,0,1,WK KW,0, KW
1,filler,11,FO,FO,1,0,1,YL FO,0, FO
1,filler,12,LR,LR,1,0,1,EA LR,0, LR
1,filler,13,MG,MG,1,0,1,YP MG,0, MG
1,filler,14,ZP,ZP,1,0,1,RS ZP,0, ZP
1,filler,15,QZ,QZ,1,0,1,LC QZ,0, QZ
1,filler,16,GJ,GJ,1,0,1,HH GJ,0, GJ
1,filler,17,WJ,WJ,1,0,1,YM WJ,0, WJ
1,filler,18,LH,LH,1,0,1,DN LH,0, LH
1,filler,19,IN,IN,1,0,1,LD IN,0, IN
1,filler,20,TE,TE,1,0,1,LZ TE,0, TE
1,filler,21,ZT,ZT,1,0,1,VP ZT,0, ZT
1,filler,22,QI,QI,1,0,1,UK QI,0, QI
1,filler,23,HC,HC,1,0,1,WK HC,0, HC
1,filler,24,JX,JX,1,0,1,BC JX,0, JX
1,filler,25,MO,MO,1,0,1,CK MO,0, MO
1,filler,26,TL,TL,1,0,1,IU TL,0, TL
1,filler,27,RL,RL,1,0,1,PN RL,0, RL
1,filler,28,UC,UC,1,0,1,EG UC,0, UC
1,filler,29,RB,RB,1,0,1,BZ RB,0, RB
1,cot,0,YQ,YQ,1,0,1,GV YQ,0,"I need to find what GV maps to in the mapping table.

Looking at the mapping table:
GV -> YQ

Following the mapping once from GV, I land on YQ.

Answer: YQ"
