task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
serial,default,1,immediate,0,VW,VW,1,1,0,0, VW
serial,default,1,immediate,1,CB,CB,1,1,0,0, CB
serial,default,1,immediate,2,CN,CN,1,1,0,0, CN
serial,default,1,immediate,3,NN,NN,1,1,0,0, NN
serial,default,1,immediate,4,UQ,UQ,1,1,0,0, UQ
serial,default,1,immediate,5,ZW,ZW,1,1,0,0, ZW
serial,default,1,immediate,6,EV,EV,1,1,0,0, EV
serial,default,1,immediate,7,UW,UW,1,1,0,0, UW
serial,default,1,immediate,8,DN,DN,1,1,0,0, DN
serial,default,1,immediate,9,FW,FW,1,1,0,0, FW
serial,default,1,immediate,10,SG,SG,1,1,0,0, SG
serial,default,1,immediate,11,UE,UE,1,1,0,0, UE
serial,default,1,immediate,12,WZ,WZ,1,1,0,0, WZ
serial,default,1,immediate,13,BU,BU,1,1,0,0, BU
serial,default,1,immediate,14,BB,BB,1,1,0,0, BB
serial,default,1,immediate,15,HQ,HQ,1,1,0,0, HQ
serial,default,1,immediate,16,ZB,ZB,1,1,0,0, ZB
serial,default,1,immediate,17,KV,KV,1,1,0,0, KV
serial,default,1,immediate,18,IU,IU,1,1,0,0, IU
serial,default,1,immediate,19,CD,CD,1,1,0,0, CD
serial,default,1,immediate,20,HV,HV,1,1,0,0, HV
serial,default,1,immediate,21,AL,AL,1,1,0,0, AL
serial,default,1,immediate,22,QN,QN,1,1,0,0, QN
serial,default,1,immediate,23,RF,RF,1,1,0,0, RF
serial,default,1,immediate,24,SI,SI,1,1,0,0, SI
serial,default,1,immediate,25,FX,FX,1,1,0,0, FX
serial,default,1,immediate,26,IC,IC,1,1,0,0, IC
serial,default,1,immediate,27,WI,WI,1,1,0,0, WI
serial,default,1,immediate,28,ZD,ZD,1,1,0,0, ZD
serial,default,1,immediate,29,MD,MD,1,1,0,0, MD
serial,default,1,immediate,30,XV,XV,1,1,0,0, XV
serial,default,1,immediate,31,XZ,XZ,1,1,0,0, XZ
serial,default,1,immediate,32,LH,LH,1,1,0,0, LH
serial,default,1,immediate,33,ZJ,ZJ,1,1,0,0, ZJ
serial,default,1,immediate,34,VD,VD,1,1,0,0, VD
serial,default,1,immediate,35,GI,GI,1,1,0,0, GI
serial,default,1,immediate,36,CG,CG,1,1,0,0, CG
serial,default,1,immediate,37,YF,YF,1,1,0,0, YF
serial,default,1,immediate,38,ER,ER,1,1,0,0, ER
serial,default,1,immediate,39,NN,NN,1,1,0,0, NN
serial,default,2,immediate,0,SF,SF,1,2,0,0, SF
serial,default,2,immediate,1,CF,CF,1,2,0,0, CF
serial,default,2,immediate,2,EW,YP,0,4,0,0, YP
serial,default,2,immediate,3,GK,GK,1,2,0,0, GK
serial,default,2,immediate,4,WK,WK,1,2,0,0, WK
serial,default,2,immediate,5,EQ,EQ,1,2,0,0, EQ
serial,default,2,immediate,6,SZ,SZ,1,2,0,0, SZ
serial,default,2,immediate,7,KT,PE,0,3,0,0, PE
serial,default,2,immediate,8,NN,FY,0,4,0,0, FY
serial,default,2,immediate,9,CD,EF,0,3,0,0, EF
serial,default,2,immediate,10,CO,DG,0,3,0,0, DG
serial,default,2,immediate,11,XK,NP,0,3,0,0, NP
serial,default,2,immediate,12,ZA,ZA,1,2,0,0, ZA
serial,default,2,immediate,13,OS,OS,1,2,0,0, OS
serial,default,2,immediate,14,HZ,NH,0,3,0,0, NH
serial,default,2,immediate,15,YD,YD,1,2,0,0, YD
serial,default,2,immediate,16,RN,HD,0,1,0,0, HD
serial,default,2,immediate,17,SV,SV,1,2,0,0, SV
serial,default,2,immediate,18,AV,AV,1,2,0,0, AV
serial,default,2,immediate,19,WR,US,0,3,0,0, US
serial,default,2,immediate,20,YX,OT,0,3,0,0, OT
serial,default,2,immediate,21,ZP,YV,0,3,0,0, YV
serial,default,2,immediate,22,GA,GA,1,2,0,0, GA
serial,default,2,immediate,23,MD,OA,0,3,0,0, OA
serial,default,2,immediate,24,ZB,ZB,1,2,0,0, ZB
serial,default,2,immediate,25,PQ,HW,0,3,0,0, HW
serial,default,2,immediate,26,RI,RI,1,2,0,0, RI
serial,default,2,immediate,27,UG,UG,1,2,0,0, UG
serial,default,2,immediate,28,LC,BR,0,3,0,0, BR
serial,default,2,immediate,29,JU,XG,0,3,0,0, XG
serial,default,2,immediate,30,GK,PC,0,3,0,0, PC
serial,default,2,immediate,31,WG,UU,0,3,0,0, UU
