task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion,prompt,seed
facts,default,1,immediate,0,Hanoi,Answer,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Hanoi,What is the capital city of Vietnam?,2838286984
facts,default,1,immediate,1,Jakarta,Answer,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Jakarta,What is the capital city of Indonesia?,3727417886
facts,default,1,immediate,2,Kyiv,Answer,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Kyiv,What is the capital city of Ukraine?,1193456548
facts,default,1,immediate,3,Astana,Answer,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Astana,What is the capital city of Kazakhstan?,807764786
facts,default,1,immediate,4,Dhaka,Answer,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Dhaka,What is the capital city of Bangladesh?,2923501201
facts,default,1,immediate,5,Budapest,Answer,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Budapest,What is the capital city of Hungary?,3645253127
facts,default,1,immediate,6,Astana,Answer,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Astana,What is the capital city of Kazakhstan?,1078949821
facts,default,1,immediate,7,Pretoria,Answer,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Pretoria,What is the capital city of South Africa?,927483691
facts,default,1,immediate,8,Baku,Answer,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Baku,What is the capital city of Azerbaijan?,2818005690
facts,default,1,immediate,9,Warsaw,Answer,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Warsaw,What is the capital city of Poland?,3505416748
facts,default,1,immediate,10,Sofia,Answer,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Sofia,What is the capital city of Bulgaria?,235588000
facts,default,1,immediate,11,Sofia,Answer,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Sofia,What is the capital city of Bulgaria?,2030958902
facts,default,1,immediate,12,Sofia,Answer,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Sofia,What is the capital city of Bulgaria?,3758401676
facts,default,1,immediate,13,Sofia,Answer,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Sofia,What is the capital city of Bulgaria?,2533595162
facts,default,1,immediate,14,Abuja,Answer,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Abuja,What is the capital city of Nigeria?,157748665
facts,default,1,immediate,15,Sofia,Answer,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Sofia,What is the capital city of Bulgaria?,2120236335
facts,default,1,immediate,16,Tokyo,Answer,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Tokyo,What is the capital city of Japan?,3882445973
facts,default,1,immediate,17,Seoul,Answer,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Seoul,What is the capital city of South Korea?,2423151619
facts,default,1,immediate,18,Jakarta,Answer,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Jakarta,What is the capital city of Indonesia?,13713810
facts,default,1,immediate,19,Seoul,Answer,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Seoul,What is the capital city of South Korea?,2010542340
facts,default,1,immediate,20,Accra,Answer,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Accra,What is the capital city of Ghana?,623352419
facts,default,1,immediate,21,Astana,Answer,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Astana,What is the capital city of Kazakhstan?,1377872629
facts,default,1,immediate,22,Phnom Penh,Answer,0,-1,0,0,stop,7,0,qwen3.6-27b,Answer: Phnom Penh,What is the capital city of Cambodia?,3408526159
