task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion
serial,default,2,immediate,0,VH,XE,0,9,0,0,stop,2,0,gemma-3-27b-it, XE
serial,default,2,immediate,1,XK,XK,1,2,0,0,stop,2,0,gemma-3-27b-it,XK
serial,default,2,immediate,2,QV,QV,1,2,0,0,stop,2,0,gemma-3-27b-it, QV
serial,default,2,immediate,3,HU,HU,1,2,0,0,stop,2,0,gemma-3-27b-it, HU
serial,default,2,immediate,4,UZ,CZ,0,4,0,0,stop,2,0,gemma-3-27b-it, CZ
serial,default,2,immediate,5,MJ,LN,0,11,0,0,stop,2,0,gemma-3-27b-it, LN
serial,default,2,immediate,6,JR,NA,0,3,0,0,stop,2,0,gemma-3-27b-it, NA
serial,default,2,immediate,7,SV,OB,0,8,0,0,stop,2,0,gemma-3-27b-it, OB
serial,default,2,immediate,8,KT,EO,0,3,0,0,stop,2,0,gemma-3-27b-it, EO
serial,default,2,immediate,9,TK,TK,1,2,0,0,stop,2,0,gemma-3-27b-it, TK
serial,default,2,immediate,10,DS,DS,1,2,0,0,stop,2,0,gemma-3-27b-it, DS
serial,default,2,immediate,11,PV,PV,1,2,0,0,stop,2,0,gemma-3-27b-it, PV
serial,default,2,immediate,12,IQ,IQ,1,2,0,0,stop,2,0,gemma-3-27b-it, IQ
serial,default,2,immediate,13,PI,UO,0,10,0,0,stop,3,0,gemma-3-27b-it, UO
serial,default,2,immediate,14,CH,ZT,0,4,0,0,stop,3,0,gemma-3-27b-it, ZT
serial,default,2,immediate,15,VO,HP,0,8,0,0,stop,2,0,gemma-3-27b-it, HP
serial,default,2,immediate,16,QT,AO,0,4,0,0,stop,2,0,gemma-3-27b-it, AO
serial,default,2,immediate,17,NN,NN,1,2,0,0,stop,2,0,gemma-3-27b-it, NN
serial,default,2,immediate,18,KF,YJ,0,3,0,0,stop,3,0,gemma-3-27b-it,YJ
serial,default,2,immediate,19,FV,RZ,0,7,0,0,stop,2,0,gemma-3-27b-it,RZ
serial,default,2,immediate,20,XW,XW,1,2,0,0,stop,3,0,gemma-3-27b-it, XW
serial,default,2,immediate,21,OE,QV,0,3,0,0,stop,2,0,gemma-3-27b-it, QV
serial,default,2,immediate,22,IH,IH,1,2,0,0,stop,2,0,gemma-3-27b-it, IH
serial,default,2,immediate,23,DD,QN,0,4,0,0,stop,3,0,gemma-3-27b-it, QN
serial,default,2,immediate,24,AA,DF,0,3,0,0,stop,2,0,gemma-3-27b-it, DF
serial,default,2,immediate,25,UB,IU,0,9,0,0,stop,2,0,gemma-3-27b-it, IU
serial,default,2,immediate,26,PA,PA,1,2,0,0,stop,2,0,gemma-3-27b-it, PA
serial,default,2,immediate,27,AW,AF,0,3,0,0,stop,2,0,gemma-3-27b-it, AF
serial,default,2,immediate,28,EE,EE,1,2,0,0,stop,2,0,gemma-3-27b-it, EE
serial,default,2,immediate,29,MW,VD,0,3,0,0,stop,2,0,gemma-3-27b-it, VD
serial,default,2,immediate,30,GT,LD,0,7,0,0,stop,2,0,gemma-3-27b-it, LD
serial,default,2,immediate,31,DC,NT,0,6,0,0,stop,2,0,gemma-3-27b-it, NT
serial,default,2,immediate,32,NS,NS,1,2,0,0,stop,2,0,gemma-3-27b-it, NS
serial,default,2,immediate,33,CJ,CS,0,3,0,0,stop,2,0,gemma-3-27b-it, CS
serial,default,2,immediate,34,XH,MZ,0,3,0,0,stop,2,0,gemma-3-27b-it, MZ
serial,default,2,immediate,35,KT,PW,0,8,0,0,stop,2,0,gemma-3-27b-it, PW
serial,default,2,immediate,36,JS,FE,0,3,0,0,stop,2,0,gemma-3-27b-it, FE
serial,default,2,immediate,37,KD,KD,1,2,0,0,stop,2,0,gemma-3-27b-it, KD
serial,default,2,immediate,38,XW,XW,1,2,0,0,stop,3,0,gemma-3-27b-it, XW
serial,default,2,immediate,39,WY,HK,0,3,0,0,stop,2,0,gemma-3-27b-it, HK
serial,default,2,immediate,40,VQ,OS,0,0,0,0,stop,2,0,gemma-3-27b-it, OS
serial,default,2,immediate,41,NN,PS,0,5,0,0,stop,2,0,gemma-3-27b-it, PS
serial,default,2,immediate,42,RA,GB,0,3,0,0,stop,2,0,gemma-3-27b-it, GB
serial,default,2,immediate,43,VH,VH,1,2,0,0,stop,2,0,gemma-3-27b-it, VH
serial,default,2,immediate,44,PC,RK,0,4,0,0,stop,2,0,gemma-3-27b-it, RK
serial,default,2,immediate,45,NO,GE,0,3,0,0,stop,2,0,gemma-3-27b-it, GE
serial,default,2,immediate,46,GT,KX,0,3,0,0,stop,2,0,gemma-3-27b-it, KX
serial,default,2,immediate,47,DF,DF,1,2,0,0,stop,2,0,gemma-3-27b-it, DF
serial,default,2,immediate,48,VY,PB,0,4,0,0,stop,2,0,gemma-3-27b-it, PB
serial,default,2,immediate,49,IB,FI,0,3,0,0,stop,2,0,gemma-3-27b-it, FI
serial,default,2,immediate,50,YV,NG,0,3,0,0,stop,2,0,gemma-3-27b-it, NG
serial,default,2,immediate,51,FM,GH,0,4,0,0,stop,2,0,gemma-3-27b-it, GH
serial,default,2,immediate,52,OT,XU,0,3,0,0,stop,3,0,gemma-3-27b-it, XU
serial,default,2,immediate,53,PT,PT,1,2,0,0,stop,2,0,gemma-3-27b-it, PT
serial,default,2,immediate,54,ZN,FH,0,3,0,0,stop,2,0,gemma-3-27b-it, FH
serial,default,2,immediate,55,MU,GK,0,4,0,0,stop,2,0,gemma-3-27b-it, GK
serial,default,2,immediate,56,ZX,OY,0,3,0,0,stop,3,0,gemma-3-27b-it, OY
