task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
parallel,default,2,immediate,0,JN,JN,1,-1,0,0, JN
parallel,default,2,immediate,1,CQ,CQ,1,-1,0,0, CQ
parallel,default,2,immediate,2,SQ,SQ,1,-1,0,0, SQ
parallel,default,2,immediate,3,JL,JL,1,-1,0,0, JL
parallel,default,2,immediate,4,YE,YE,1,-1,0,0, YE
parallel,default,2,immediate,5,HZ,HZ,1,-1,0,0, HZ
parallel,default,2,immediate,6,RV,RV,1,-1,0,0, RV
parallel,default,2,immediate,7,OW,AS,0,-1,0,0, AS
parallel,default,2,immediate,8,RW,RW,1,-1,0,0, RW
parallel,default,2,immediate,9,GM,GM,1,-1,0,0, GM
parallel,default,2,immediate,10,KL,KL,1,-1,0,0, KL
parallel,default,2,immediate,11,PK,PK,1,-1,0,0, PK
parallel,default,2,immediate,12,DF,DF,1,-1,0,0, DF
parallel,default,2,immediate,13,BA,BA,1,-1,0,0, BA
parallel,default,2,immediate,14,BH,BH,1,-1,0,0, BH
parallel,default,2,immediate,15,WA,WA,1,-1,0,0, WA
parallel,default,2,immediate,16,DX,DX,1,-1,0,0, DX
parallel,default,2,immediate,17,ZT,ZT,1,-1,0,0, ZT
parallel,default,2,immediate,18,LW,LW,1,-1,0,0, LW
parallel,default,2,immediate,19,US,US,1,-1,0,0, US
parallel,default,2,immediate,20,ES,ES,1,-1,0,0, ES
parallel,default,2,immediate,21,GP,GP,1,-1,0,0, GP
parallel,default,2,immediate,22,NL,NL,1,-1,0,0, NL
parallel,default,2,immediate,23,UC,UC,1,-1,0,0, UC
parallel,default,2,immediate,24,DF,DF,1,-1,0,0, DF
parallel,default,2,immediate,25,UB,UB,1,-1,0,0, UB
parallel,default,2,immediate,26,WU,WU,1,-1,0,0, WU
parallel,default,2,immediate,27,JV,JV,1,-1,0,0, JV
parallel,default,2,immediate,28,LS,LS,1,-1,0,0, LS
parallel,default,2,immediate,29,VD,VD,1,-1,0,0, VD
parallel,default,2,immediate,30,UP,UP,1,-1,0,0, UP
parallel,default,2,immediate,31,SK,SK,1,-1,0,0, SK
parallel,default,2,immediate,32,UP,UP,1,-1,0,0, UP
parallel,default,2,immediate,33,DK,DK,1,-1,0,0, DK
parallel,default,2,immediate,34,FW,FW,1,-1,0,0, FW
parallel,default,2,immediate,35,GY,GY,1,-1,0,0, GY
parallel,default,2,immediate,36,YW,YW,1,-1,0,0, YW
parallel,default,2,immediate,37,BS,BS,1,-1,0,0, BS
parallel,default,2,immediate,38,MC,MC,1,-1,0,0, MC
parallel,default,2,immediate,39,VP,VP,1,-1,0,0, VP
parallel,default,2,filler,0,JN,JN,1,-1,0,0, JN
parallel,default,2,filler,1,CQ,CQ,1,-1,0,0, CQ
parallel,default,2,filler,2,SQ,SQ,1,-1,0,0, SQ
parallel,default,2,filler,3,JL,JL,1,-1,0,0, JL
parallel,default,2,filler,4,YE,YE,1,-1,0,0, YE
parallel,default,2,filler,5,HZ,HZ,1,-1,0,0, HZ
parallel,default,2,filler,6,RV,RV,1,-1,0,0, RV
parallel,default,2,filler,7,OW,AS,0,-1,0,0, AS
parallel,default,2,filler,8,RW,RW,1,-1,0,0, RW
parallel,default,2,filler,9,GM,GM,1,-1,0,0, GM
parallel,default,2,filler,10,KL,KL,1,-1,0,0, KL
parallel,default,2,filler,11,PK,PK,1,-1,0,0, PK
parallel,default,2,filler,12,DF,DF,1,-1,0,0, DF
parallel,default,2,filler,13,BA,BA,1,-1,0,0, BA
parallel,default,2,filler,14,BH,BH,1,-1,0,0, BH
parallel,default,2,filler,15,WA,WA,1,-1,0,0, WA
parallel,default,2,filler,16,DX,DX,1,-1,0,0, DX
parallel,default,2,filler,17,ZT,ZT,1,-1,0,0, ZT
parallel,default,2,filler,18,LW,LW,1,-1,0,0, LW
parallel,default,2,filler,19,US,US,1,-1,0,0, US
parallel,default,2,filler,20,ES,ES,1,-1,0,0, ES
parallel,default,2,filler,21,GP,GP,1,-1,0,0, GP
parallel,default,2,filler,22,NL,NL,1,-1,0,0, NL
parallel,default,2,filler,23,UC,UC,1,-1,0,0, UC
parallel,default,2,filler,24,DF,DF,1,-1,0,0, DF
parallel,default,2,filler,25,UB,UB,1,-1,0,0, UB
parallel,default,2,filler,26,WU,WU,1,-1,0,0, WU
parallel,default,2,filler,27,JV,JV,1,-1,0,0, JV
parallel,default,2,filler,28,LS,LS,1,-1,0,0, LS
parallel,default,2,filler,29,VD,VD,1,-1,0,0, VD
parallel,default,2,filler,30,UP,UP,1,-1,0,0, UP
parallel,default,2,filler,31,SK,SK,1,-1,0,0, SK
parallel,default,2,filler,32,UP,UP,1,-1,0,0, UP
parallel,default,2,filler,33,DK,DK,1,-1,0,0, DK
parallel,default,2,filler,34,FW,FW,1,-1,0,0, FW
parallel,default,2,filler,35,GY,GY,1,-1,0,0, GY
parallel,default,2,filler,36,YW,YW,1,-1,0,0, YW
parallel,default,2,filler,37,BS,BS,1,-1,0,0, BS
parallel,default,2,filler,38,MC,MC,1,-1,0,0, MC
parallel,default,2,filler,39,VP,VP,1,-1,0,0, VP
parallel,default,3,immediate,0,JA,JA,1,-1,0,0, JA
parallel,default,3,immediate,1,WM,WM,1,-1,0,0, WM
parallel,default,3,immediate,2,KA,KA,1,-1,0,0, KA
parallel,default,3,immediate,3,GS,GS,1,-1,0,0, GS
parallel,default,3,immediate,4,HI,HI,1,-1,0,0, HI
parallel,default,3,immediate,5,CQ,CQ,1,-1,0,0, CQ
parallel,default,3,immediate,6,EW,EW,1,-1,0,0, EW
parallel,default,3,immediate,7,CV,CV,1,-1,0,0, CV
parallel,default,3,immediate,8,LL,LL,1,-1,0,0, LL
parallel,default,3,immediate,9,GA,GA,1,-1,0,0, GA
parallel,default,3,immediate,10,FW,FW,1,-1,0,0, FW
parallel,default,3,immediate,11,OM,OM,1,-1,0,0, OM
parallel,default,3,immediate,12,AM,AM,1,-1,0,0, AM
parallel,default,3,immediate,13,CZ,CZ,1,-1,0,0, CZ
parallel,default,3,immediate,14,NU,NU,1,-1,0,0, NU
parallel,default,3,immediate,15,GF,GF,1,-1,0,0, GF
parallel,default,3,immediate,16,BI,BI,1,-1,0,0, BI
parallel,default,3,immediate,17,FF,FF,1,-1,0,0, FF
parallel,default,3,immediate,18,YC,YC,1,-1,0,0, YC
parallel,default,3,immediate,19,ZP,SP,0,-1,0,0, SP
parallel,default,3,immediate,20,OY,OY,1,-1,0,0, OY
parallel,default,3,immediate,21,OR,OR,1,-1,0,0, OR
parallel,default,3,immediate,22,LC,LC,1,-1,0,0, LC
parallel,default,3,immediate,23,AK,AK,1,-1,0,0, AK
parallel,default,3,immediate,24,HO,HO,1,-1,0,0, HO
parallel,default,3,immediate,25,PC,PC,1,-1,0,0, PC
parallel,default,3,immediate,26,GW,GW,1,-1,0,0, GW
parallel,default,3,immediate,27,KD,KD,1,-1,0,0, KD
parallel,default,3,immediate,28,JI,JI,1,-1,0,0, JI
parallel,default,3,immediate,29,HW,HW,1,-1,0,0, HW
parallel,default,3,immediate,30,NB,NB,1,-1,0,0, NB
parallel,default,3,immediate,31,MD,SC,0,-1,0,0, SC
parallel,default,3,immediate,32,AF,AF,1,-1,0,0, AF
parallel,default,3,immediate,33,UK,UK,1,-1,0,0, UK
parallel,default,3,immediate,34,EM,EM,1,-1,0,0, EM
parallel,default,3,immediate,35,LX,LX,1,-1,0,0, LX
parallel,default,3,immediate,36,UA,UA,1,-1,0,0, UA
parallel,default,3,immediate,37,YV,YV,1,-1,0,0, YV
parallel,default,3,immediate,38,TB,TB,1,-1,0,0, TB
parallel,default,3,immediate,39,EB,EB,1,-1,0,0, EB
parallel,default,3,filler,0,JA,JA,1,-1,0,0, JA
parallel,default,3,filler,1,WM,WM,1,-1,0,0, WM
parallel,default,3,filler,2,KA,KA,1,-1,0,0, KA
parallel,default,3,filler,3,GS,GS,1,-1,0,0, GS
parallel,default,3,filler,4,HI,HI,1,-1,0,0, HI
parallel,default,3,filler,5,CQ,CQ,1,-1,0,0, CQ
parallel,default,3,filler,6,EW,EW,1,-1,0,0, EW
parallel,default,3,filler,7,CV,CV,1,-1,0,0, CV
parallel,default,3,filler,8,LL,LL,1,-1,0,0, LL
parallel,default,3,filler,9,GA,GA,1,-1,0,0, GA
parallel,default,3,filler,10,FW,FW,1,-1,0,0, FW
parallel,default,3,filler,11,OM,OM,1,-1,0,0, OM
parallel,default,3,filler,12,AM,AM,1,-1,0,0, AM
parallel,default,3,filler,13,CZ,CZ,1,-1,0,0, CZ
parallel,default,3,filler,14,NU,NU,1,-1,0,0, NU
parallel,default,3,filler,15,GF,GF,1,-1,0,0, GF
parallel,default,3,filler,16,BI,BI,1,-1,0,0, BI
parallel,default,3,filler,17,FF,FF,1,-1,0,0, FF
parallel,default,3,filler,18,YC,YC,1,-1,0,0, YC
parallel,default,3,filler,19,ZP,ZP,1,-1,0,0, ZP
parallel,default,3,filler,20,OY,OY,1,-1,0,0, OY
parallel,default,3,filler,21,OR,OR,1,-1,0,0, OR
parallel,default,3,filler,22,LC,LC,1,-1,0,0, LC
parallel,default,3,filler,23,AK,AK,1,-1,0,0, AK
parallel,default,3,filler,24,HO,HO,1,-1,0,0, HO
parallel,default,3,filler,25,PC,PC,1,-1,0,0, PC
parallel,default,3,filler,26,GW,GW,1,-1,0,0, GW
parallel,default,3,filler,27,KD,KD,1,-1,0,0, KD
parallel,default,3,filler,28,JI,JI,1,-1,0,0, JI
parallel,default,3,filler,29,HW,HW,1,-1,0,0, HW
parallel,default,3,filler,30,NB,NB,1,-1,0,0, NB
