task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
serial,default,2,immediate,0,RZ,EV,0,3,0,0, EV
serial,default,2,immediate,1,SR,SR,1,2,0,0, SR
serial,default,2,immediate,2,GH,GH,1,2,0,0, GH
serial,default,2,immediate,3,CN,GH,0,3,0,0, GH
serial,default,2,immediate,4,SF,FU,0,3,0,0, FU
serial,default,2,immediate,5,UK,AI,0,3,0,0, AI
serial,default,2,immediate,6,VU,XP,0,3,0,0, XP
serial,default,2,immediate,7,WI,MY,0,3,0,0, MY
serial,default,2,immediate,8,IL,GE,0,3,0,0, GE
serial,default,2,immediate,9,VA,VA,1,2,0,0, VA
serial,default,2,immediate,10,MR,MR,1,2,0,0, MR
serial,default,2,immediate,11,OG,XA,0,3,0,0, XA
serial,default,2,immediate,12,FB,ZT,0,3,0,0, ZT
serial,default,2,immediate,13,CF,BZ,0,3,0,0, BZ
serial,default,2,immediate,14,NG,IJ,0,3,0,0, IJ
serial,default,2,immediate,15,NV,VQ,0,3,0,0, VQ
serial,default,2,immediate,16,KT,RR,0,3,0,0, RR
serial,default,2,immediate,17,WY,BF,0,3,0,0, BF
serial,default,2,immediate,18,OQ,OQ,1,2,0,0, OQ
serial,default,2,immediate,19,PQ,NH,0,3,0,0, NH
serial,default,2,immediate,20,DK,BC,0,3,0,0, BC
serial,default,2,immediate,21,GF,GX,0,3,0,0, GX
serial,default,2,immediate,22,LW,LW,1,2,0,0, LW
serial,default,2,immediate,23,QU,VV,0,3,0,0, VV
serial,default,2,immediate,24,CO,LB,0,3,0,0, LB
serial,default,2,immediate,25,XE,FE,0,3,0,0, FE
serial,default,2,immediate,26,IF,DQ,0,3,0,0, DQ
serial,default,2,immediate,27,IJ,IJ,1,2,0,0, IJ
serial,default,2,immediate,28,EF,EF,1,2,0,0, EF
serial,default,2,immediate,29,CR,PZ,0,3,0,0, PZ
serial,default,2,immediate,30,IG,IG,1,2,0,0, IG
serial,default,2,immediate,31,QJ,HI,0,3,0,0, HI
serial,default,2,immediate,32,JP,JP,1,2,0,0, JP
serial,default,2,immediate,33,YW,YW,1,2,0,0, YW
serial,default,2,immediate,34,TO,SD,0,3,0,0, SD
serial,default,2,immediate,35,UJ,TF,0,3,0,0, TF
serial,default,2,immediate,36,MC,BR,0,3,0,0, BR
serial,default,2,immediate,37,YO,FS,0,3,0,0, FS
serial,default,2,immediate,38,NB,NB,1,2,0,0, NB
serial,default,2,immediate,39,TZ,SH,0,3,0,0, SH
serial,default,4,immediate,0,HY,EO,0,5,0,0, EO
serial,default,4,immediate,1,QI,BA,0,6,0,0, BA
serial,default,4,immediate,2,FC,FC,1,4,0,0, FC
serial,default,4,immediate,3,IL,DE,0,6,0,0, DE
serial,default,4,immediate,4,QW,UY,0,5,0,0, UY
serial,default,4,immediate,5,RK,JR,0,5,0,0, JR
serial,default,4,immediate,6,YW,CP,0,5,0,0, CP
