task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
parallel,default,2,immediate,0,PT,PT,1,-1,0,0, PT
parallel,default,2,immediate,1,PA,PA,1,-1,0,0, PA
parallel,default,2,immediate,2,RP,RP,1,-1,0,0, RP
parallel,default,2,immediate,3,BW,BW,1,-1,0,0, BW
parallel,default,2,immediate,4,QF,QF,1,-1,0,0, QF
parallel,default,2,immediate,5,XX,CD,0,-1,0,0, CD
parallel,default,2,immediate,6,KA,GB,0,-1,0,0, GB
parallel,default,2,immediate,7,TG,TG,1,-1,0,0, TG
parallel,default,2,immediate,8,WF,WF,1,-1,0,0, WF
parallel,default,2,immediate,9,IM,IM,1,-1,0,0, IM
parallel,default,2,immediate,10,ZU,ZU,1,-1,0,0, ZU
parallel,default,2,immediate,11,IC,IC,1,-1,0,0, IC
parallel,default,2,immediate,12,CU,CU,1,-1,0,0, CU
parallel,default,2,immediate,13,XF,XF,1,-1,0,0, XF
parallel,default,2,immediate,14,BD,BD,1,-1,0,0, BD
parallel,default,2,immediate,15,TU,TU,1,-1,0,0, TU
parallel,default,2,immediate,16,ZL,ZL,1,-1,0,0, ZL
parallel,default,2,immediate,17,GS,GS,1,-1,0,0, GS
parallel,default,2,immediate,18,AE,AE,1,-1,0,0, AE
parallel,default,2,immediate,19,OU,OU,1,-1,0,0, OU
parallel,default,2,immediate,20,KP,KP,1,-1,0,0,Answer: KP
parallel,default,2,immediate,21,QM,QM,1,-1,0,0,QM
parallel,default,2,immediate,22,MP,MP,1,-1,0,0,Answer: MP
parallel,default,2,immediate,23,FB,FB,1,-1,0,0,Answer: FB
parallel,default,2,immediate,24,RV,RV,1,-1,0,0,Answer: RV
parallel,default,2,immediate,25,XI,XI,1,-1,0,0,XI
parallel,default,2,immediate,26,IS,IS,1,-1,0,0, IS
parallel,default,2,immediate,27,MI,MI,1,-1,0,0,Answer: MI
parallel,default,2,immediate,28,GA,GA,1,-1,0,0,GA
