task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
parallel,default,2,immediate,0,HV,HV,1,-1,0,0, HV
parallel,default,2,immediate,1,UP,UP,1,-1,0,0, UP
parallel,default,2,immediate,2,GP,GP,1,-1,0,0, GP
parallel,default,2,immediate,3,MF,MF,1,-1,0,0, MF
parallel,default,2,immediate,4,RI,RI,1,-1,0,0, RI
parallel,default,2,immediate,5,HV,HV,1,-1,0,0, HV
parallel,default,2,immediate,6,KE,KE,1,-1,0,0, KE
parallel,default,2,immediate,7,IV,IV,1,-1,0,0, IV
parallel,default,2,immediate,8,AI,AI,1,-1,0,0, AI
parallel,default,2,immediate,9,UD,UD,1,-1,0,0, UD
parallel,default,2,immediate,10,RQ,RQ,1,-1,0,0, RQ
parallel,default,2,immediate,11,QK,QK,1,-1,0,0, QK
parallel,default,2,immediate,12,SY,SY,1,-1,0,0, SY
parallel,default,2,immediate,13,AJ,AJ,1,-1,0,0, AJ
parallel,default,2,immediate,14,YY,YY,1,-1,0,0, YY
parallel,default,2,immediate,15,JG,JG,1,-1,0,0, JG
parallel,default,2,immediate,16,JK,JK,1,-1,0,0, JK
parallel,default,2,immediate,17,HF,HF,1,-1,0,0, HF
parallel,default,2,immediate,18,DG,DG,1,-1,0,0, DG
parallel,default,2,immediate,19,OE,JZ,0,-1,0,0, JZ
parallel,default,2,immediate,20,FH,FH,1,-1,0,0, FH
parallel,default,2,immediate,21,NE,NE,1,-1,0,0, NE
parallel,default,2,immediate,22,XB,XB,1,-1,0,0, XB
parallel,default,2,immediate,23,UC,UC,1,-1,0,0, UC
parallel,default,2,immediate,24,XP,XP,1,-1,0,0, XP
parallel,default,2,immediate,25,QK,QK,1,-1,0,0, QK
parallel,default,2,immediate,26,ZS,ZS,1,-1,0,0, ZS
parallel,default,2,immediate,27,IF,IF,1,-1,0,0, IF
parallel,default,2,immediate,28,NG,NG,1,-1,0,0, NG
parallel,default,2,immediate,29,HV,HV,1,-1,0,0, HV
parallel,default,2,immediate,30,MU,MU,1,-1,0,0, MU
parallel,default,2,immediate,31,EM,EM,1,-1,0,0, EM
parallel,default,2,immediate,32,LJ,LJ,1,-1,0,0, LJ
parallel,default,2,immediate,33,DR,DR,1,-1,0,0, DR
parallel,default,2,immediate,34,IW,IW,1,-1,0,0, IW
parallel,default,2,immediate,35,UF,UF,1,-1,0,0, UF
parallel,default,2,immediate,36,VX,VX,1,-1,0,0, VX
parallel,default,2,immediate,37,HS,HS,1,-1,0,0, HS
parallel,default,2,immediate,38,DD,AP,0,-1,0,0, AP
parallel,default,2,immediate,39,HE,HE,1,-1,0,0, HE
parallel,default,2,filler,0,HV,HV,1,-1,0,0, HV
parallel,default,2,filler,1,UP,UP,1,-1,0,0, UP
parallel,default,2,filler,2,GP,GP,1,-1,0,0, GP
parallel,default,2,filler,3,MF,MF,1,-1,0,0, MF
parallel,default,2,filler,4,RI,RI,1,-1,0,0, RI
parallel,default,2,filler,5,HV,AP,0,-1,0,0, AP
parallel,default,2,filler,6,KE,KE,1,-1,0,0, KE
parallel,default,2,filler,7,IV,IV,1,-1,0,0, IV
parallel,default,2,filler,8,AI,AI,1,-1,0,0, AI
parallel,default,2,filler,9,UD,UD,1,-1,0,0, UD
parallel,default,2,filler,10,RQ,RQ,1,-1,0,0, RQ
parallel,default,2,filler,11,QK,QK,1,-1,0,0, QK
parallel,default,2,filler,12,SY,SY,1,-1,0,0, SY
parallel,default,2,filler,13,AJ,AJ,1,-1,0,0, AJ
parallel,default,2,filler,14,YY,YY,1,-1,0,0, YY
parallel,default,2,filler,15,JG,JG,1,-1,0,0, JG
parallel,default,2,filler,16,JK,JK,1,-1,0,0, JK
parallel,default,2,filler,17,HF,HF,1,-1,0,0, HF
parallel,default,2,filler,18,DG,DG,1,-1,0,0, DG
parallel,default,2,filler,19,OE,OE,1,-1,0,0, OE
parallel,default,2,filler,20,FH,FH,1,-1,0,0, FH
parallel,default,2,filler,21,NE,NE,1,-1,0,0, NE
parallel,default,2,filler,22,XB,XB,1,-1,0,0, XB
parallel,default,2,filler,23,UC,UC,1,-1,0,0, UC
parallel,default,2,filler,24,XP,XP,1,-1,0,0, XP
parallel,default,2,filler,25,QK,QK,1,-1,0,0, QK
parallel,default,2,filler,26,ZS,ZS,1,-1,0,0, ZS
parallel,default,2,filler,27,IF,IF,1,-1,0,0, IF
parallel,default,2,filler,28,NG,NG,1,-1,0,0, NG
parallel,default,2,filler,29,HV,HV,1,-1,0,0, HV
parallel,default,2,filler,30,MU,MU,1,-1,0,0, MU
parallel,default,2,filler,31,EM,EM,1,-1,0,0, EM
parallel,default,2,filler,32,LJ,LJ,1,-1,0,0, LJ
parallel,default,2,filler,33,DR,DR,1,-1,0,0, DR
parallel,default,2,filler,34,IW,IW,1,-1,0,0, IW
parallel,default,2,filler,35,UF,UF,1,-1,0,0, UF
parallel,default,2,filler,36,VX,VX,1,-1,0,0, VX
parallel,default,2,filler,37,HS,HS,1,-1,0,0, HS
parallel,default,2,filler,38,DD,DD,1,-1,0,0, DD
parallel,default,2,filler,39,HE,HE,1,-1,0,0, HE
parallel,default,3,immediate,0,GW,GW,1,-1,0,0, GW
parallel,default,3,immediate,1,VU,VU,1,-1,0,0, VU
parallel,default,3,immediate,2,LA,LA,1,-1,0,0, LA
parallel,default,3,immediate,3,GE,GE,1,-1,0,0, GE
parallel,default,3,immediate,4,NP,NP,1,-1,0,0, NP
parallel,default,3,immediate,5,JI,LA,0,-1,0,0, LA
parallel,default,3,immediate,6,SM,SM,1,-1,0,0, SM
parallel,default,3,immediate,7,VR,VR,1,-1,0,0, VR
parallel,default,3,immediate,8,TN,TN,1,-1,0,0, TN
parallel,default,3,immediate,9,PY,PY,1,-1,0,0, PY
parallel,default,3,immediate,10,AS,AS,1,-1,0,0, AS
parallel,default,3,immediate,11,KS,KS,1,-1,0,0, KS
parallel,default,3,immediate,12,OE,OE,1,-1,0,0, OE
parallel,default,3,immediate,13,NX,NX,1,-1,0,0, NX
parallel,default,3,immediate,14,BR,BR,1,-1,0,0, BR
parallel,default,3,immediate,15,RP,RP,1,-1,0,0, RP
parallel,default,3,immediate,16,EC,EC,1,-1,0,0, EC
parallel,default,3,immediate,17,GV,GV,1,-1,0,0, GV
parallel,default,3,immediate,18,KD,KD,1,-1,0,0, KD
parallel,default,3,immediate,19,CH,CH,1,-1,0,0, CH
parallel,default,3,immediate,20,LK,LK,1,-1,0,0, LK
parallel,default,3,immediate,21,MB,MB,1,-1,0,0, MB
parallel,default,3,immediate,22,UF,UF,1,-1,0,0, UF
parallel,default,3,immediate,23,IA,IA,1,-1,0,0, IA
parallel,default,3,immediate,24,LJ,LJ,1,-1,0,0, LJ
parallel,default,3,immediate,25,SA,SA,1,-1,0,0, SA
parallel,default,3,immediate,26,YQ,YQ,1,-1,0,0, YQ
parallel,default,3,immediate,27,AF,AF,1,-1,0,0, AF
parallel,default,3,immediate,28,WH,WH,1,-1,0,0, WH
parallel,default,3,immediate,29,YY,WX,0,-1,0,0, WX
parallel,default,3,immediate,30,UP,UP,1,-1,0,0, UP
parallel,default,3,immediate,31,QN,QN,1,-1,0,0, QN
parallel,default,3,immediate,32,FA,FA,1,-1,0,0, FA
parallel,default,3,immediate,33,CU,CU,1,-1,0,0, CU
parallel,default,3,immediate,34,JQ,JQ,1,-1,0,0, JQ
parallel,default,3,immediate,35,TS,TS,1,-1,0,0, TS
parallel,default,3,immediate,36,QT,QT,1,-1,0,0, QT
parallel,default,3,immediate,37,YQ,YQ,1,-1,0,0, YQ
parallel,default,3,immediate,38,UQ,UQ,1,-1,0,0, UQ
parallel,default,3,immediate,39,SJ,SJ,1,-1,0,0, SJ
parallel,default,3,filler,0,GW,GW,1,-1,0,0, GW
parallel,default,3,filler,1,VU,OM,0,-1,0,0, OM
parallel,default,3,filler,2,LA,LA,1,-1,0,0, LA
parallel,default,3,filler,3,GE,GE,1,-1,0,0, GE
parallel,default,3,filler,4,NP,NP,1,-1,0,0, NP
parallel,default,3,filler,5,JI,QQ,0,-1,0,0, QQ
parallel,default,3,filler,6,SM,SM,1,-1,0,0, SM
parallel,default,3,filler,7,VR,VR,1,-1,0,0, VR
parallel,default,3,filler,8,TN,TN,1,-1,0,0, TN
parallel,default,3,filler,9,PY,PY,1,-1,0,0, PY
parallel,default,3,filler,10,AS,AS,1,-1,0,0, AS
parallel,default,3,filler,11,KS,KS,1,-1,0,0, KS
parallel,default,3,filler,12,OE,OE,1,-1,0,0, OE
parallel,default,3,filler,13,NX,NX,1,-1,0,0, NX
parallel,default,3,filler,14,BR,BR,1,-1,0,0, BR
parallel,default,3,filler,15,RP,RP,1,-1,0,0, RP
parallel,default,3,filler,16,EC,EC,1,-1,0,0, EC
parallel,default,3,filler,17,GV,GV,1,-1,0,0, GV
parallel,default,3,filler,18,KD,KD,1,-1,0,0, KD
parallel,default,3,filler,19,CH,CH,1,-1,0,0, CH
parallel,default,3,filler,20,LK,LK,1,-1,0,0, LK
parallel,default,3,filler,21,MB,MB,1,-1,0,0, MB
parallel,default,3,filler,22,UF,UF,1,-1,0,0, UF
parallel,default,3,filler,23,IA,IA,1,-1,0,0, IA
parallel,default,3,filler,24,LJ,LJ,1,-1,0,0, LJ
parallel,default,3,filler,25,SA,SA,1,-1,0,0, SA
parallel,default,3,filler,26,YQ,YQ,1,-1,0,0, YQ
parallel,default,3,filler,27,AF,AF,1,-1,0,0, AF
parallel,default,3,filler,28,WH,WH,1,-1,0,0, WH
parallel,default,3,filler,29,YY,YY,1,-1,0,0, YY
parallel,default,3,filler,30,UP,UP,1,-1,0,0, UP
parallel,default,3,filler,31,QN,QN,1,-1,0,0, QN
parallel,default,3,filler,32,FA,FA,1,-1,0,0, FA
parallel,default,3,filler,33,CU,CU,1,-1,0,0, CU
parallel,default,3,filler,34,JQ,JQ,1,-1,0,0, JQ
parallel,default,3,filler,35,TS,TS,1,-1,0,0, TS
parallel,default,3,filler,36,QT,QT,1,-1,0,0, QT
parallel,default,3,filler,37,YQ,YQ,1,-1,0,0, YQ
parallel,default,3,filler,38,UQ,UQ,1,-1,0,0, UQ
parallel,default,3,filler,39,SJ,SJ,1,-1,0,0, SJ
parallel,default,4,immediate,0,WL,WL,1,-1,0,0, WL
parallel,default,4,immediate,1,WP,WP,1,-1,0,0, WP
parallel,default,4,immediate,2,FG,FG,1,-1,0,0, FG
parallel,default,4,immediate,3,XC,XC,1,-1,0,0, XC
parallel,default,4,immediate,4,PO,PO,1,-1,0,0, PO
parallel,default,4,immediate,5,RV,RV,1,-1,0,0, RV
parallel,default,4,immediate,6,HR,MX,0,-1,0,0, MX
parallel,default,4,immediate,7,AP,AP,1,-1,0,0, AP
parallel,default,4,immediate,8,IO,IO,1,-1,0,0, IO
parallel,default,4,immediate,9,SO,SN,0,-1,0,0, SN
parallel,default,4,immediate,10,XB,XB,1,-1,0,0, XB
parallel,default,4,immediate,11,IV,IV,1,-1,0,0, IV
parallel,default,4,immediate,12,HK,HK,1,-1,0,0, HK
parallel,default,4,immediate,13,PY,PY,1,-1,0,0, PY
parallel,default,4,immediate,14,AG,AG,1,-1,0,0, AG
parallel,default,4,immediate,15,GV,GV,1,-1,0,0, GV
parallel,default,4,immediate,16,PF,PF,1,-1,0,0, PF
parallel,default,4,immediate,17,UJ,UJ,1,-1,0,0, UJ
parallel,default,4,immediate,18,WS,WS,1,-1,0,0, WS
parallel,default,4,immediate,19,AN,AN,1,-1,0,0, AN
parallel,default,4,immediate,20,JI,JI,1,-1,0,0, JI
parallel,default,4,immediate,21,RD,RD,1,-1,0,0, RD
parallel,default,4,immediate,22,EA,EA,1,-1,0,0, EA
parallel,default,4,immediate,23,YR,XG,0,-1,0,0, XG
parallel,default,4,immediate,24,FD,FD,1,-1,0,0, FD
parallel,default,4,immediate,25,MD,MD,1,-1,0,0, MD
parallel,default,4,immediate,26,JW,JW,1,-1,0,0, JW
parallel,default,4,immediate,27,CF,CF,1,-1,0,0, CF
parallel,default,4,immediate,28,MF,MF,1,-1,0,0, MF
parallel,default,4,immediate,29,OX,OX,1,-1,0,0, OX
parallel,default,4,immediate,30,KZ,KZ,1,-1,0,0, KZ
parallel,default,4,immediate,31,KS,KS,1,-1,0,0, KS
parallel,default,4,immediate,32,EH,EH,1,-1,0,0, EH
parallel,default,4,immediate,33,AR,AR,1,-1,0,0, AR
parallel,default,4,immediate,34,WQ,WQ,1,-1,0,0, WQ
parallel,default,4,immediate,35,YR,YR,1,-1,0,0, YR
parallel,default,4,immediate,36,FR,TS,0,-1,0,0, TS
parallel,default,4,immediate,37,IQ,AC,0,-1,0,0, AC
parallel,default,4,immediate,38,NV,NV,1,-1,0,0, NV
parallel,default,4,immediate,39,GS,GS,1,-1,0,0, GS
parallel,default,4,filler,0,WL,WL,1,-1,0,0, WL
parallel,default,4,filler,1,WP,WP,1,-1,0,0, WP
parallel,default,4,filler,2,FG,FG,1,-1,0,0, FG
parallel,default,4,filler,3,XC,XC,1,-1,0,0, XC
parallel,default,4,filler,4,PO,PO,1,-1,0,0, PO
parallel,default,4,filler,5,RV,RV,1,-1,0,0, RV
parallel,default,4,filler,6,HR,MX,0,-1,0,0, MX
parallel,default,4,filler,7,AP,AP,1,-1,0,0, AP
parallel,default,4,filler,8,IO,IO,1,-1,0,0, IO
parallel,default,4,filler,9,SO,SO,1,-1,0,0, SO
parallel,default,4,filler,10,XB,XB,1,-1,0,0, XB
parallel,default,4,filler,11,IV,IV,1,-1,0,0, IV
parallel,default,4,filler,12,HK,HK,1,-1,0,0, HK
parallel,default,4,filler,13,PY,PY,1,-1,0,0, PY
parallel,default,4,filler,14,AG,AG,1,-1,0,0, AG
parallel,default,4,filler,15,GV,GV,1,-1,0,0, GV
parallel,default,4,filler,16,PF,PF,1,-1,0,0, PF
parallel,default,4,filler,17,UJ,UJ,1,-1,0,0, UJ
parallel,default,4,filler,18,WS,WS,1,-1,0,0, WS
parallel,default,4,filler,19,AN,AN,1,-1,0,0, AN
parallel,default,4,filler,20,JI,JI,1,-1,0,0, JI
parallel,default,4,filler,21,RD,RD,1,-1,0,0, RD
parallel,default,4,filler,22,EA,EA,1,-1,0,0, EA
parallel,default,4,filler,23,YR,YR,1,-1,0,0, YR
parallel,default,4,filler,24,FD,FD,1,-1,0,0, FD
parallel,default,4,filler,25,MD,MD,1,-1,0,0, MD
parallel,default,4,filler,26,JW,JW,1,-1,0,0, JW
parallel,default,4,filler,27,CF,CF,1,-1,0,0, CF
parallel,default,4,filler,28,MF,MF,1,-1,0,0, MF
parallel,default,4,filler,29,OX,OX,1,-1,0,0, OX
parallel,default,4,filler,30,KZ,KZ,1,-1,0,0, KZ
parallel,default,4,filler,31,KS,KS,1,-1,0,0, KS
parallel,default,4,filler,32,EH,EH,1,-1,0,0, EH
parallel,default,4,filler,33,AR,AR,1,-1,0,0, AR
parallel,default,4,filler,34,WQ,UV,0,-1,0,0, UV
parallel,default,4,filler,35,YR,YR,1,-1,0,0, YR
parallel,default,4,filler,36,FR,TS,0,-1,0,0, TS
parallel,default,4,filler,37,IQ,AC,0,-1,0,0, AC
parallel,default,4,filler,38,NV,NV,1,-1,0,0, NV
parallel,default,4,filler,39,GS,NM,0,-1,0,0, NM
parallel,default,6,immediate,0,CQ,CQ,1,-1,0,0, CQ
parallel,default,6,immediate,1,LS,LS,1,-1,0,0, LS
parallel,default,6,immediate,2,XG,ZT,0,-1,0,0, ZT
parallel,default,6,immediate,3,UL,UL,1,-1,0,0, UL
parallel,default,6,immediate,4,BP,BP,1,-1,0,0, BP
parallel,default,6,immediate,5,VI,TD,0,-1,0,0, TD
parallel,default,6,immediate,6,RU,RU,1,-1,0,0, RU
parallel,default,6,immediate,7,QI,QI,1,-1,0,0, QI
parallel,default,6,immediate,8,YK,AN,0,-1,0,0, AN
parallel,default,6,immediate,9,WS,XJ,0,-1,0,0, XJ
parallel,default,6,immediate,10,GR,GR,1,-1,0,0, GR
parallel,default,6,immediate,11,RM,MP,0,-1,0,0, MP
parallel,default,6,immediate,12,CA,CA,1,-1,0,0, CA
parallel,default,6,immediate,13,IC,IC,1,-1,0,0, IC
parallel,default,6,immediate,14,UW,CG,0,-1,0,0, CG
parallel,default,6,immediate,15,NW,NW,1,-1,0,0, NW
parallel,default,6,immediate,16,JA,JA,1,-1,0,0, JA
parallel,default,6,immediate,17,UE,UE,1,-1,0,0, UE
