task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
serial,explicit,1,immediate,0,CB,CB,1,1,0,0, CB
serial,explicit,1,immediate,1,XG,XG,1,1,0,0, XG
serial,explicit,1,immediate,2,UN,UN,1,1,0,0, UN
serial,explicit,1,immediate,3,EY,EY,1,1,0,0, EY
serial,explicit,1,immediate,4,EE,EE,1,1,0,0, EE
serial,explicit,1,immediate,5,AX,AX,1,1,0,0, AX
serial,explicit,1,immediate,6,KU,KU,1,1,0,0, KU
serial,explicit,1,immediate,7,ZT,ZT,1,1,0,0, ZT
serial,explicit,1,immediate,8,JQ,JQ,1,1,0,0, JQ
serial,explicit,1,immediate,9,AS,AS,1,1,0,0, AS
serial,explicit,1,immediate,10,WZ,WZ,1,1,0,0, WZ
serial,explicit,1,immediate,11,HO,HO,1,1,0,0, HO
serial,explicit,1,immediate,12,UI,UI,1,1,0,0, UI
serial,explicit,1,immediate,13,IR,IR,1,1,0,0, IR
serial,explicit,1,immediate,14,TD,TD,1,1,0,0, TD
serial,explicit,1,immediate,15,TP,TP,1,1,0,0, TP
serial,explicit,1,immediate,16,BE,BE,1,1,0,0, BE
serial,explicit,1,immediate,17,UO,UO,1,1,0,0, UO
serial,explicit,1,immediate,18,ZO,ZO,1,1,0,0, ZO
serial,explicit,1,immediate,19,EK,EK,1,1,0,0, EK
serial,explicit,1,immediate,20,NW,NW,1,1,0,0, NW
serial,explicit,1,immediate,21,HW,HW,1,1,0,0, HW
serial,explicit,1,immediate,22,PF,PF,1,1,0,0, PF
serial,explicit,1,immediate,23,KI,KI,1,1,0,0, KI
serial,explicit,1,immediate,24,KK,KK,1,1,0,0, KK
serial,explicit,1,immediate,25,JW,JW,1,1,0,0, JW
serial,explicit,1,immediate,26,JK,JK,1,1,0,0, JK
serial,explicit,1,immediate,27,HZ,HZ,1,1,0,0, HZ
serial,explicit,1,immediate,28,GJ,GJ,1,1,0,0, GJ
serial,explicit,1,immediate,29,VM,VM,1,1,0,0, VM
serial,explicit,1,immediate,30,VD,VD,1,1,0,0, VD
serial,explicit,1,immediate,31,IQ,IQ,1,1,0,0, IQ
serial,explicit,1,immediate,32,EX,EX,1,1,0,0, EX
serial,explicit,1,immediate,33,PU,PU,1,1,0,0, PU
serial,explicit,1,immediate,34,ZT,ZT,1,1,0,0, ZT
serial,explicit,1,immediate,35,CK,CK,1,1,0,0, CK
serial,explicit,1,immediate,36,SI,SI,1,1,0,0, SI
serial,explicit,1,immediate,37,IA,IA,1,1,0,0, IA
serial,explicit,1,immediate,38,GT,GT,1,1,0,0, GT
serial,explicit,1,immediate,39,XB,XB,1,1,0,0, XB
serial,explicit,2,immediate,0,ZJ,PQ,0,3,0,0, PQ
serial,explicit,2,immediate,1,MA,XW,0,3,0,0, XW
serial,explicit,2,immediate,2,GC,OY,0,3,0,0, OY
serial,explicit,2,immediate,3,ET,OJ,0,3,0,0, OJ
serial,explicit,2,immediate,4,VF,YS,0,3,0,0, YS
serial,explicit,2,immediate,5,TU,BE,0,3,0,0, BE
serial,explicit,2,immediate,6,TI,YA,0,3,0,0, YA
serial,explicit,2,immediate,7,IT,QN,0,3,0,0, QN
serial,explicit,2,immediate,8,NP,NP,1,2,0,0, NP
serial,explicit,2,immediate,9,BR,ES,0,3,0,0, ES
serial,explicit,2,immediate,10,NO,NT,0,3,0,0, NT
serial,explicit,2,immediate,11,CC,CC,1,2,0,0, CC
serial,explicit,2,immediate,12,AF,JM,0,3,0,0, JM
serial,explicit,2,immediate,13,IL,FW,0,3,0,0, FW
serial,explicit,2,immediate,14,AI,AI,1,2,0,0, AI
serial,explicit,2,immediate,15,QP,AH,0,3,0,0, AH
serial,explicit,2,immediate,16,QE,QX,0,3,0,0, QX
serial,explicit,2,immediate,17,EC,EC,1,2,0,0, EC
serial,explicit,2,immediate,18,ET,ET,1,2,0,0, ET
serial,explicit,2,immediate,19,AL,AL,1,2,0,0, AL
serial,explicit,2,immediate,20,IC,JL,0,3,0,0, JL
serial,explicit,2,immediate,21,PQ,TL,0,3,0,0, TL
serial,explicit,2,immediate,22,XK,GN,0,3,0,0, GN
serial,explicit,2,immediate,23,PR,AP,0,3,0,0, AP
serial,explicit,2,immediate,24,SR,SR,1,2,0,0, SR
serial,explicit,2,immediate,25,UV,XQ,0,3,0,0, XQ
serial,explicit,2,immediate,26,EJ,EJ,1,2,0,0, EJ
serial,explicit,2,immediate,27,QB,NG,0,3,0,0, NG
serial,explicit,2,immediate,28,RE,WC,0,3,0,0, WC
serial,explicit,2,immediate,29,ZU,ZU,1,2,0,0, ZU
serial,explicit,2,immediate,30,CR,CR,1,2,0,0, CR
serial,explicit,2,immediate,31,IB,IB,1,2,0,0, IB
serial,explicit,2,immediate,32,AI,JJ,0,3,0,0, JJ
serial,explicit,2,immediate,33,HN,HN,1,2,0,0, HN
serial,explicit,2,immediate,34,AB,DQ,0,3,0,0, DQ
