task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
parallel_count,default,2,immediate,0,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,1,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,2,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,3,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,4,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,5,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,6,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,7,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,8,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,9,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,10,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,11,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,12,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,13,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,14,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,15,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,16,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,17,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,18,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,19,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,20,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,21,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,22,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,23,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,24,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,25,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,26,1,2,0,-1,0,0, 2
parallel_count,default,2,immediate,27,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,28,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,29,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,30,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,31,1,2,0,-1,0,0, 2
parallel_count,default,2,immediate,32,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,33,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,34,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,35,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,36,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,37,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,38,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,39,1,1,1,-1,0,0, 1
parallel_count,default,4,immediate,0,3,2,0,-1,0,0,Answer: 2
parallel_count,default,4,immediate,1,2,2,1,-1,0,0,Answer: 2
parallel_count,default,4,immediate,2,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,3,1,2,0,-1,0,0, 2
parallel_count,default,4,immediate,4,2,1,0,-1,0,0, 1
parallel_count,default,4,immediate,5,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,6,3,2,0,-1,0,0, 2
parallel_count,default,4,immediate,7,2,3,0,-1,0,0, 3
parallel_count,default,4,immediate,8,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,9,3,2,0,-1,0,0, 2
parallel_count,default,4,immediate,10,3,2,0,-1,0,0,2
parallel_count,default,4,immediate,11,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,12,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,13,2,1,0,-1,0,0, 1
parallel_count,default,4,immediate,14,2,2,1,-1,0,0,Answer: 2
parallel_count,default,4,immediate,15,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,16,1,2,0,-1,0,0, 2
parallel_count,default,4,immediate,17,1,2,0,-1,0,0, 2
parallel_count,default,4,immediate,18,1,2,0,-1,0,0,Answer: 2
parallel_count,default,4,immediate,19,1,1,1,-1,0,0, 1
parallel_count,default,4,immediate,20,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,21,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,22,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,23,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,24,3,2,0,-1,0,0,Answer: 2
parallel_count,default,4,immediate,25,1,1,1,-1,0,0, 1
parallel_count,default,4,immediate,26,2,1,0,-1,0,0, 1
parallel_count,default,4,immediate,27,3,2,0,-1,0,0, 2
parallel_count,default,4,immediate,28,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,29,1,2,0,-1,0,0, 2
parallel_count,default,4,immediate,30,1,1,1,-1,0,0, 1
parallel_count,default,4,immediate,31,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,32,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,33,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,34,1,2,0,-1,0,0, 2
parallel_count,default,4,immediate,35,1,2,0,-1,0,0, 2
parallel_count,default,4,immediate,36,2,3,0,-1,0,0, 3
parallel_count,default,4,immediate,37,2,2,1,-1,0,0, 2
parallel_count,default,4,immediate,38,2,1,0,-1,0,0, 1
parallel_count,default,4,immediate,39,2,2,1,-1,0,0, 2
parallel_count,default,8,immediate,0,6,4,0,-1,0,0, 4
parallel_count,default,8,immediate,1,1,3,0,-1,0,0, 3
parallel_count,default,8,immediate,2,2,3,0,-1,0,0, 3
parallel_count,default,8,immediate,3,5,4,0,-1,0,0,Answer: 4
parallel_count,default,8,immediate,4,3,3,1,-1,0,0, 3
parallel_count,default,8,immediate,5,4,4,1,-1,0,0, 4
parallel_count,default,8,immediate,6,5,3,0,-1,0,0, 3
parallel_count,default,8,immediate,7,2,5,0,-1,0,0, 5
parallel_count,default,8,immediate,8,5,4,0,-1,0,0, 4
parallel_count,default,8,immediate,9,5,3,0,-1,0,0, 3
parallel_count,default,8,immediate,10,4,5,0,-1,0,0, 5
parallel_count,default,8,immediate,11,3,3,1,-1,0,0, 3
parallel_count,default,8,immediate,12,4,5,0,-1,0,0, 5
parallel_count,default,8,immediate,13,3,3,1,-1,0,0, 3
parallel_count,default,8,immediate,14,5,4,0,-1,0,0, 4
parallel_count,default,8,immediate,15,6,4,0,-1,0,0, 4
parallel_count,default,8,immediate,16,3,3,1,-1,0,0, 3
parallel_count,default,8,immediate,17,5,3,0,-1,0,0, 3
parallel_count,default,8,immediate,18,2,3,0,-1,0,0, 3
parallel_count,default,8,immediate,19,5,3,0,-1,0,0, 3
parallel_count,default,8,immediate,20,6,3,0,-1,0,0, 3
parallel_count,default,8,immediate,21,2,3,0,-1,0,0, 3
parallel_count,default,8,immediate,22,3,4,0,-1,0,0, 4
parallel_count,default,8,immediate,23,4,3,0,-1,0,0, 3
parallel_count,default,8,immediate,24,3,4,0,-1,0,0, 4
parallel_count,default,8,immediate,25,3,3,1,-1,0,0, 3
parallel_count,default,8,immediate,26,3,3,1,-1,0,0, 3
parallel_count,default,8,immediate,27,6,4,0,-1,0,0, 4
parallel_count,default,8,immediate,28,2,6,0,-1,0,0, 6
parallel_count,default,8,immediate,29,6,5,0,-1,0,0, 5
parallel_count,default,8,immediate,30,2,3,0,-1,0,0, 3
parallel_count,default,8,immediate,31,4,3,0,-1,0,0, 3
parallel_count,default,8,immediate,32,4,5,0,-1,0,0, 5
parallel_count,default,8,immediate,33,4,3,0,-1,0,0, 3
parallel_count,default,8,immediate,34,6,3,0,-1,0,0, 3
parallel_count,default,8,immediate,35,5,4,0,-1,0,0, 4
parallel_count,default,8,immediate,36,3,3,1,-1,0,0, 3
parallel_count,default,8,immediate,37,7,5,0,-1,0,0, 5
parallel_count,default,8,immediate,38,5,4,0,-1,0,0, 4
parallel_count,default,8,immediate,39,4,3,0,-1,0,0, 3
parallel_count,default,12,immediate,0,6,6,1,-1,0,0, 6
