task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion,prompt,seed
facts,default,1,immediate,0,23,23,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 23,What is the atomic number of the element Vanadium?,2838286984
facts,default,1,immediate,1,23,23,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 23,What is the atomic number of the element Vanadium?,3727417886
facts,default,1,immediate,2,23,23,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 23,What is the atomic number of the element Vanadium?,1193456548
facts,default,1,immediate,3,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,807764786
facts,default,1,immediate,4,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,2923501201
facts,default,1,immediate,5,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,3645253127
facts,default,1,immediate,6,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,1078949821
facts,default,1,immediate,7,74,74,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,927483691
facts,default,1,immediate,8,15,15,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 15,What is the atomic number of the element Phosphorus?,2818005690
facts,default,1,immediate,9,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,3505416748
facts,default,1,immediate,10,15,15,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 15,What is the atomic number of the element Phosphorus?,235588000
facts,default,1,immediate,11,23,23,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 23,What is the atomic number of the element Vanadium?,2030958902
facts,default,1,immediate,12,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,3758401676
facts,default,1,immediate,13,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,2533595162
facts,default,1,immediate,14,8,8,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: 8,What is the atomic number of the element Oxygen?,157748665
facts,default,1,immediate,15,6,6,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,2120236335
facts,default,1,immediate,16,8,8,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8,What is the atomic number of the element Oxygen?,3882445973
facts,default,1,immediate,17,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,2423151619
facts,default,1,immediate,18,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,13713810
facts,default,1,immediate,19,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,2010542340
facts,default,1,immediate,20,15,15,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 15,What is the atomic number of the element Phosphorus?,623352419
facts,default,1,immediate,21,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,1377872629
facts,default,1,immediate,22,8,8,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8,What is the atomic number of the element Oxygen?,3408526159
facts,default,1,immediate,23,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,3157183449
facts,default,1,immediate,24,15,15,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 15,What is the atomic number of the element Phosphorus?,575299194
facts,default,1,immediate,25,23,23,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 23,What is the atomic number of the element Vanadium?,1431138028
facts,default,1,immediate,26,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,3427024726
facts,default,1,immediate,27,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,3141734336
facts,default,1,immediate,28,8,8,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8,What is the atomic number of the element Oxygen?,737940049
facts,default,1,immediate,29,23,23,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 23,What is the atomic number of the element Vanadium?,1559962311
facts,default,1,immediate,30,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,1010608930
facts,default,1,immediate,31,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,1262197684
facts,default,1,immediate,32,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,3526543886
facts,default,1,immediate,33,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,2771778200
facts,default,1,immediate,34,8,8,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8,What is the atomic number of the element Oxygen?,995192635
facts,default,1,immediate,35,23,23,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 23,What is the atomic number of the element Vanadium?,1280729005
facts,default,1,immediate,36,15,15,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 15,What is the atomic number of the element Phosphorus?,3579776535
facts,default,1,immediate,37,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,2723692161
facts,default,1,immediate,38,15,15,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 15,What is the atomic number of the element Phosphorus?,854008592
facts,default,1,immediate,39,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,1172312966
facts,default,1,immediate,40,15,15,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 15,What is the atomic number of the element Phosphorus?,1937587685
facts,default,1,immediate,41,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,75107699
facts,default,1,immediate,42,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,2641583305
facts,default,1,immediate,43,15,15,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 15,What is the atomic number of the element Phosphorus?,3933498463
facts,default,1,immediate,44,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,1947269628
facts,default,1,immediate,45,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,51890538
facts,default,1,immediate,46,23,23,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 23,What is the atomic number of the element Vanadium?,2585696464
facts,default,1,immediate,47,23,23,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 23,What is the atomic number of the element Vanadium?,3977881670
facts,default,1,immediate,48,15,15,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 15,What is the atomic number of the element Phosphorus?,2108077527
facts,default,1,immediate,49,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,178357569
facts,default,1,immediate,50,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,1785072804
facts,default,1,immediate,51,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,492911666
facts,default,1,immediate,52,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,2221436296
facts,default,1,immediate,53,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,4084161822
facts,default,1,immediate,54,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,1829488829
facts,default,1,immediate,55,23,23,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 23,What is the atomic number of the element Vanadium?,437057579
facts,default,1,immediate,56,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,2198186385
facts,default,1,immediate,57,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,4093810951
facts,default,1,immediate,58,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,1690141846
facts,default,1,immediate,59,8,8,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8,What is the atomic number of the element Oxygen?,331002880
facts,default,1,immediate,60,23,23,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 23,What is the atomic number of the element Vanadium?,1095458663
facts,default,1,immediate,61,15,15,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 15,What is the atomic number of the element Phosphorus?,910979057
facts,default,1,immediate,62,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,2940550731
facts,default,1,immediate,63,23,23,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 23,What is the atomic number of the element Vanadium?,3628207837
facts,default,1,immediate,64,8,8,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8,What is the atomic number of the element Oxygen?,1176935294
facts,default,1,immediate,65,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,824290280
facts,default,1,immediate,66,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,2821257810
facts,default,1,immediate,67,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,3744451268
facts,default,1,immediate,68,6,6,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,1334892373
facts,default,1,immediate,69,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,949479363
facts,default,1,immediate,70,15,15,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 15,What is the atomic number of the element Phosphorus?,1481666086
facts,default,1,immediate,71,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,794255024
facts,default,1,immediate,72,8,8,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8,What is the atomic number of the element Oxygen?,3059617546
facts,default,1,immediate,73,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,3243851676
facts,default,1,immediate,74,6,6,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: 6,What is the atomic number of the element Carbon?,1597876799
facts,default,1,immediate,75,1,1,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,674929321
facts,default,1,immediate,76,1,1,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 1,What is the atomic number of the element Hydrogen?,2972961555
facts,default,1,immediate,77,8,8,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8,What is the atomic number of the element Oxygen?,3325361029
facts,default,1,immediate,78,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,1452008980
facts,default,1,immediate,79,74,74,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 74,What is the atomic number of the element Tungsten?,562878082
facts,default,1,immediate,80,8,8,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: 8,What is the atomic number of the element Oxygen?,3754455785
facts,default,1,immediate,81,23,23,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: 23,What is the atomic number of the element Vanadium?,2832155263
