task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
parallel,default,2,immediate,0,JJ,JJ,1,-1,0,0, JJ
parallel,default,2,immediate,1,IB,IB,1,-1,0,0, IB
parallel,default,2,immediate,2,GT,GT,1,-1,0,0, GT
parallel,default,2,immediate,3,KY,KY,1,-1,0,0, KY
parallel,default,2,immediate,4,IS,IS,1,-1,0,0, IS
parallel,default,2,immediate,5,QJ,QJ,1,-1,0,0, QJ
parallel,default,2,immediate,6,LV,LV,1,-1,0,0, LV
parallel,default,2,immediate,7,HY,HY,1,-1,0,0, HY
parallel,default,2,immediate,8,QU,QU,1,-1,0,0, QU
parallel,default,2,immediate,9,BO,BO,1,-1,0,0, BO
parallel,default,2,immediate,10,CJ,CJ,1,-1,0,0, CJ
parallel,default,2,immediate,11,SI,SI,1,-1,0,0, SI
parallel,default,2,immediate,12,DT,DT,1,-1,0,0, DT
parallel,default,2,immediate,13,MA,MA,1,-1,0,0, MA
parallel,default,2,immediate,14,TZ,TZ,1,-1,0,0, TZ
parallel,default,2,immediate,15,CH,CH,1,-1,0,0, CH
parallel,default,2,immediate,16,JV,JV,1,-1,0,0, JV
parallel,default,2,immediate,17,RJ,RJ,1,-1,0,0, RJ
parallel,default,2,immediate,18,UF,UF,1,-1,0,0, UF
parallel,default,2,immediate,19,OT,OT,1,-1,0,0, OT
parallel,default,2,immediate,20,KX,KX,1,-1,0,0, KX
parallel,default,2,immediate,21,CW,CW,1,-1,0,0, CW
parallel,default,2,immediate,22,YD,YD,1,-1,0,0, YD
parallel,default,2,immediate,23,RP,RP,1,-1,0,0, RP
parallel,default,2,immediate,24,BG,BG,1,-1,0,0, BG
parallel,default,2,immediate,25,EJ,EJ,1,-1,0,0, EJ
parallel,default,2,immediate,26,AF,AF,1,-1,0,0, AF
parallel,default,2,immediate,27,DJ,DJ,1,-1,0,0, DJ
parallel,default,2,immediate,28,DE,DE,1,-1,0,0, DE
parallel,default,2,immediate,29,FF,FF,1,-1,0,0, FF
parallel,default,2,immediate,30,YJ,YJ,1,-1,0,0, YJ
parallel,default,2,immediate,31,BB,BB,1,-1,0,0, BB
parallel,default,2,immediate,32,OK,OK,1,-1,0,0, OK
parallel,default,2,immediate,33,VY,VY,1,-1,0,0, VY
parallel,default,2,immediate,34,BK,BK,1,-1,0,0, BK
parallel,default,2,immediate,35,RQ,RQ,1,-1,0,0, RQ
parallel,default,2,immediate,36,JL,JL,1,-1,0,0, JL
parallel,default,2,immediate,37,OF,OF,1,-1,0,0, OF
parallel,default,2,immediate,38,TS,TS,1,-1,0,0, TS
parallel,default,2,immediate,39,TI,TI,1,-1,0,0, TI
parallel,default,4,immediate,0,LD,LD,1,-1,0,0, LD
parallel,default,4,immediate,1,JE,JE,1,-1,0,0, JE
parallel,default,4,immediate,2,ED,ED,1,-1,0,0, ED
parallel,default,4,immediate,3,IK,IK,1,-1,0,0, IK
parallel,default,4,immediate,4,HV,HV,1,-1,0,0, HV
parallel,default,4,immediate,5,HZ,HZ,1,-1,0,0, HZ
parallel,default,4,immediate,6,IT,IT,1,-1,0,0, IT
parallel,default,4,immediate,7,SU,SU,1,-1,0,0, SU
