task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
serial,explicit,1,immediate,0,RA,RA,1,1,0,0, RA
serial,explicit,1,immediate,1,OG,OG,1,1,0,0, OG
serial,explicit,1,immediate,2,BZ,BZ,1,1,0,0, BZ
serial,explicit,1,immediate,3,GP,GP,1,1,0,0, GP
serial,explicit,1,immediate,4,MW,MW,1,1,0,0, MW
serial,explicit,1,immediate,5,HT,HT,1,1,0,0, HT
serial,explicit,1,immediate,6,OZ,OZ,1,1,0,0, OZ
serial,explicit,1,immediate,7,ZB,ZB,1,1,0,0, ZB
serial,explicit,1,immediate,8,YY,YY,1,1,0,0, YY
serial,explicit,1,immediate,9,LM,LM,1,1,0,0, LM
serial,explicit,1,immediate,10,CX,CX,1,1,0,0, CX
serial,explicit,1,immediate,11,XS,XS,1,1,0,0, XS
serial,explicit,1,immediate,12,AM,AM,1,1,0,0, AM
serial,explicit,1,immediate,13,PS,PS,1,1,0,0, PS
serial,explicit,1,immediate,14,EV,EV,1,1,0,0, EV
serial,explicit,1,immediate,15,FY,FY,1,1,0,0, FY
serial,explicit,1,immediate,16,IY,IY,1,1,0,0, IY
serial,explicit,1,immediate,17,SE,SE,1,1,0,0, SE
serial,explicit,1,immediate,18,NY,NY,1,1,0,0, NY
serial,explicit,1,immediate,19,SP,SP,1,1,0,0, SP
serial,explicit,1,immediate,20,YB,YB,1,1,0,0, YB
serial,explicit,1,immediate,21,FN,FN,1,1,0,0, FN
serial,explicit,1,immediate,22,TU,TU,1,1,0,0, TU
serial,explicit,1,immediate,23,YE,YE,1,1,0,0, YE
serial,explicit,1,immediate,24,KY,KY,1,1,0,0, KY
serial,explicit,1,immediate,25,FQ,FQ,1,1,0,0, FQ
serial,explicit,1,immediate,26,GU,GU,1,1,0,0, GU
serial,explicit,1,immediate,27,XE,XE,1,1,0,0, XE
serial,explicit,1,immediate,28,CP,CP,1,1,0,0, CP
serial,explicit,1,immediate,29,NC,NC,1,1,0,0, NC
serial,explicit,1,immediate,30,MC,MC,1,1,0,0, MC
serial,explicit,1,immediate,31,TM,TM,1,1,0,0, TM
serial,explicit,1,immediate,32,TI,TI,1,1,0,0, TI
serial,explicit,1,immediate,33,TB,TB,1,1,0,0, TB
serial,explicit,1,immediate,34,XN,XN,1,1,0,0, XN
serial,explicit,1,immediate,35,UX,UX,1,1,0,0, UX
serial,explicit,1,immediate,36,FA,FA,1,1,0,0, FA
serial,explicit,1,immediate,37,TP,TP,1,1,0,0, TP
serial,explicit,1,immediate,38,FR,FR,1,1,0,0, FR
serial,explicit,1,immediate,39,BB,BB,1,1,0,0, BB
serial,explicit,2,immediate,0,VX,OO,0,3,0,0, OO
serial,explicit,2,immediate,1,PK,PK,1,2,0,0, PK
serial,explicit,2,immediate,2,PK,IC,0,3,0,0, IC
serial,explicit,2,immediate,3,DB,FI,0,3,0,0, FI
serial,explicit,2,immediate,4,TM,AM,0,3,0,0, AM
serial,explicit,2,immediate,5,VP,ZD,0,3,0,0, ZD
serial,explicit,2,immediate,6,FJ,FJ,1,2,0,0, FJ
serial,explicit,2,immediate,7,MR,NW,0,5,0,0, NW
serial,explicit,2,immediate,8,JH,LM,0,3,0,0, LM
serial,explicit,2,immediate,9,LD,LD,1,2,0,0, LD
serial,explicit,2,immediate,10,JA,JA,1,2,0,0, JA
serial,explicit,2,immediate,11,MO,DG,0,3,0,0, DG
serial,explicit,2,immediate,12,CA,CA,1,2,0,0, CA
serial,explicit,2,immediate,13,OY,XG,0,3,0,0, XG
serial,explicit,2,immediate,14,LN,LN,1,2,0,0, LN
serial,explicit,2,immediate,15,RC,RC,1,2,0,0, RC
serial,explicit,2,immediate,16,GL,GL,1,2,0,0, GL
serial,explicit,2,immediate,17,JM,JM,1,2,0,0, JM
serial,explicit,2,immediate,18,FM,FM,1,2,0,0, FM
serial,explicit,2,immediate,19,HY,FS,0,3,0,0, FS
serial,explicit,2,immediate,20,QC,KD,0,3,0,0, KD
serial,explicit,2,immediate,21,DW,WD,0,4,0,0, WD
serial,explicit,2,immediate,22,NA,NA,1,2,0,0, NA
serial,explicit,2,immediate,23,MH,MH,1,2,0,0, MH
serial,explicit,2,immediate,24,YO,AJ,0,3,0,0, AJ
serial,explicit,2,immediate,25,CV,CV,1,2,0,0, CV
serial,explicit,2,immediate,26,WZ,DK,0,4,0,0, DK
serial,explicit,2,immediate,27,WI,WI,1,2,0,0, WI
serial,explicit,2,immediate,28,JJ,JJ,1,2,0,0, JJ
serial,explicit,2,immediate,29,CY,EI,0,4,0,0, EI
serial,explicit,2,immediate,30,BW,ZF,0,3,0,0, ZF
serial,explicit,2,immediate,31,OT,SZ,0,4,0,0, SZ
serial,explicit,2,immediate,32,AU,HI,0,3,0,0, HI
serial,explicit,2,immediate,33,NA,OT,0,4,0,0, OT
serial,explicit,2,immediate,34,BB,BB,1,2,0,0, BB
serial,explicit,2,immediate,35,FZ,BW,0,3,0,0, BW
serial,explicit,2,immediate,36,AL,VA,0,4,0,0, VA
serial,explicit,2,immediate,37,LO,VD,0,4,0,0, VD
serial,explicit,2,immediate,38,HZ,HZ,1,2,0,0, HZ
serial,explicit,2,immediate,39,NR,CP,0,4,0,0, CP
serial,explicit,3,immediate,0,QP,QP,1,3,0,0, QP
serial,explicit,3,immediate,1,IN,TU,0,7,0,0, TU
serial,explicit,3,immediate,2,OE,JK,0,9,0,0, JK
serial,explicit,3,immediate,3,VE,VE,1,3,0,0, VE
serial,explicit,3,immediate,4,LS,CY,0,5,0,0, CY
serial,explicit,3,immediate,5,IH,GG,0,6,0,0, GG
