task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion,prompt,seed
facts,default,1,immediate,0,Hanoi,Hanoi,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Hanoi,What is the capital city of Vietnam?,2838286984
facts,default,1,immediate,1,Jakarta,Jakarta,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Jakarta,What is the capital city of Indonesia?,3727417886
facts,default,1,immediate,2,Kyiv,Kyiv,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Kyiv,What is the capital city of Ukraine?,1193456548
facts,default,1,immediate,3,Astana,Astana,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Astana,What is the capital city of Kazakhstan?,807764786
facts,default,1,immediate,4,Dhaka,Dhaka,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Dhaka,What is the capital city of Bangladesh?,2923501201
facts,default,1,immediate,5,Budapest,Budapest,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Budapest,What is the capital city of Hungary?,3645253127
facts,default,1,immediate,6,Astana,Astana,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Astana,What is the capital city of Kazakhstan?,1078949821
facts,default,1,immediate,7,Pretoria,Pretoria,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Pretoria,What is the capital city of South Africa?,927483691
facts,default,1,immediate,8,Baku,Baku,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Baku,What is the capital city of Azerbaijan?,2818005690
facts,default,1,immediate,9,Warsaw,Warsaw,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Warsaw,What is the capital city of Poland?,3505416748
facts,default,1,immediate,10,Sofia,Sofia,1,-1,0,0,stop,3,0,qwen3.6-27b,Answer: Sofia,What is the capital city of Bulgaria?,235588000
facts,default,1,immediate,11,Sofia,Sofia,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Sofia,What is the capital city of Bulgaria?,2030958902
facts,default,1,immediate,12,Sofia,Sofia,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Sofia,What is the capital city of Bulgaria?,3758401676
facts,default,1,immediate,13,Sofia,Sofia,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Sofia,What is the capital city of Bulgaria?,2533595162
facts,default,1,immediate,14,Abuja,Abuja,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Abuja,What is the capital city of Nigeria?,157748665
facts,default,1,immediate,15,Sofia,Sofia,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Sofia,What is the capital city of Bulgaria?,2120236335
facts,default,1,immediate,16,Tokyo,Tokyo,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Tokyo,What is the capital city of Japan?,3882445973
facts,default,1,immediate,17,Seoul,Seoul,1,-1,0,0,stop,3,0,qwen3.6-27b,Answer: Seoul,What is the capital city of South Korea?,2423151619
facts,default,1,immediate,18,Jakarta,Jakarta,1,-1,0,0,stop,3,0,qwen3.6-27b,Answer: Jakarta,What is the capital city of Indonesia?,13713810
facts,default,1,immediate,19,Seoul,Seoul,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Seoul,What is the capital city of South Korea?,2010542340
facts,default,1,immediate,20,Accra,Accra,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Accra,What is the capital city of Ghana?,623352419
facts,default,1,immediate,21,Astana,Astana,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Astana,What is the capital city of Kazakhstan?,1377872629
facts,default,1,immediate,22,Phnom Penh,Phnom,0,-1,0,0,stop,7,0,qwen3.6-27b,Answer: Phnom Penh,What is the capital city of Cambodia?,3408526159
facts,default,1,immediate,23,Seoul,Seoul,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Seoul,What is the capital city of South Korea?,3157183449
facts,default,1,immediate,24,Bucharest,Bucharest,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Bucharest,What is the capital city of Romania?,575299194
facts,default,1,immediate,25,Accra,Accra,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Accra,What is the capital city of Ghana?,1431138028
facts,default,1,immediate,26,Tbilisi,Tbilisi,1,-1,0,0,stop,6,0,qwen3.6-27b,Answer: Tbilisi,What is the capital city of Georgia?,3427024726
facts,default,1,immediate,27,Abuja,Abuja,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Abuja,What is the capital city of Nigeria?,3141734336
facts,default,1,immediate,28,Jerusalem,Jerusalem,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Jerusalem,What is the capital city of Israel?,737940049
facts,default,1,immediate,29,Yangon,Naypyidaw,0,-1,0,0,stop,7,0,qwen3.6-27b,Answer: Naypyidaw,What is the capital city of Myanmar?,1559962311
facts,default,1,immediate,30,Lima,Lima,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Lima,What is the capital city of Peru?,1010608930
facts,default,1,immediate,31,Prague,Prague,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Prague,What is the capital city of Czechia?,1262197684
facts,default,1,immediate,32,Prague,Prague,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Prague,What is the capital city of Czechia?,3526543886
facts,default,1,immediate,33,Jerusalem,Jerusalem,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Jerusalem,What is the capital city of Israel?,2771778200
facts,default,1,immediate,34,Abuja,Abuja,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Abuja,What is the capital city of Nigeria?,995192635
facts,default,1,immediate,35,Baku,Baku,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: Baku,What is the capital city of Azerbaijan?,1280729005
