task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion
parallel,default,8,immediate,0,AZ,AZ,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: AZ
parallel,default,8,immediate,1,UP,PB,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: PB
parallel,default,8,immediate,2,IM,IM,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: IM
parallel,default,8,immediate,3,YW,OI,0,-1,0,0,stop,5,0,qwen3.6-27b,Answer: OI
parallel,default,8,immediate,4,DG,KD,0,-1,0,0,stop,3,0,qwen3.6-27b,Answer: KD
parallel,default,8,immediate,5,LO,LO,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: LO
parallel,default,8,immediate,6,RJ,NK,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: NK
parallel,default,8,immediate,7,EH,EH,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: EH
parallel,default,8,immediate,8,ZY,ZY,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: ZY
parallel,default,8,immediate,9,DB,DB,1,-1,0,0,stop,3,0,qwen3.6-27b,Answer: DB
parallel,default,8,immediate,10,PK,PK,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: PK
parallel,default,8,immediate,11,RQ,RQ,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: RQ
parallel,default,8,immediate,12,RF,RF,1,-1,0,0,stop,3,0,qwen3.6-27b,Answer: RF
parallel,default,8,immediate,13,QC,QC,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: QC
parallel,default,8,immediate,14,YA,PE,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: PE
parallel,default,8,immediate,15,YC,YC,1,-1,0,0,stop,5,0,qwen3.6-27b,Answer: YC
parallel,default,8,immediate,16,LT,JF,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: JF
parallel,default,8,immediate,17,BJ,BJ,1,-1,0,0,stop,3,0,qwen3.6-27b,Answer: BJ
parallel,default,8,immediate,18,SV,SV,1,-1,0,0,stop,3,0,qwen3.6-27b,Answer: SV
parallel,default,8,immediate,19,HP,AX,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: AX
parallel,default,8,immediate,20,VV,GK,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: GK
parallel,default,8,immediate,21,XV,XV,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: XV
parallel,default,8,immediate,22,HT,HT,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: HT
parallel,default,8,immediate,23,EX,EX,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: EX
parallel,default,8,immediate,24,FQ,EG,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: EG
parallel,default,8,immediate,25,ST,ST,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: ST
