k,condition,idx,gold,pred,correct,leak,eff_hops,chain,error,completion
1,immediate,0,EY,EY,1,0,1,NN EY,0,Answer: EY
1,immediate,1,PQ,PQ,1,0,1,LG PQ,0,Answer: PQ
1,immediate,2,HD,HD,1,0,1,XN HD,0,Answer: HD
1,immediate,3,ZY,ZY,1,0,1,AK ZY,0,Answer: ZY
1,immediate,4,BC,BC,1,0,1,YV BC,0,Answer: BC
1,immediate,5,BH,BH,1,0,1,VZ BH,0,Answer: BH
1,immediate,6,HW,HW,1,0,1,JI HW,0,Answer: HW
1,immediate,7,NW,NW,1,0,1,YN NW,0,Answer: NW
1,immediate,8,DS,DS,1,0,1,KS DS,0,Answer: DS
1,immediate,9,OY,OY,1,0,1,RZ OY,0,Answer: OY
1,immediate,10,VH,VH,1,0,1,VB VH,0,Answer: VH
1,immediate,11,FN,FN,1,0,1,BK FN,0,Answer: FN
1,immediate,12,NJ,NJ,1,0,1,ZL NJ,0,Answer: NJ
1,immediate,13,OL,OL,1,0,1,DL OL,0,Answer: OL
1,immediate,14,RS,RS,1,0,1,ZP RS,0,Answer: RS
1,immediate,15,FO,FO,1,0,1,CY FO,0,Answer: FO
1,immediate,16,GJ,GJ,1,0,1,BF GJ,0,Answer: GJ
1,immediate,17,YM,YM,1,0,1,UL YM,0,Answer: YM
1,immediate,18,QY,QY,1,0,1,LH QY,0,Answer: QY
1,immediate,19,VX,VX,1,0,1,LD VX,0,Answer: VX
1,immediate,20,HU,HU,1,0,1,RU HU,0,Answer: HU
1,immediate,21,QU,QU,1,0,1,CI QU,0,Answer: QU
1,immediate,22,GD,GD,1,0,1,LB GD,0,Answer: GD
1,immediate,23,XQ,XQ,1,0,1,HC XQ,0,Answer: XQ
1,immediate,24,GN,GN,1,0,1,PN GN,0,Answer: GN
1,immediate,25,US,US,1,0,1,MO US,0,Answer: US
1,immediate,26,PE,PE,1,0,1,IS PE,0,Answer: PE
1,immediate,27,LK,LK,1,0,1,HR LK,0,Answer: LK
1,immediate,28,DI,DI,1,0,1,EO DI,0,Answer: DI
1,immediate,29,BZ,BZ,1,0,1,QI BZ,0,Answer: BZ
1,filler,0,EY,EY,1,0,1,NN EY,0,Answer: EY
1,filler,1,PQ,PQ,1,0,1,LG PQ,0,Answer: PQ
1,filler,2,HD,HD,1,0,1,XN HD,0,Answer: HD
1,filler,3,ZY,ZY,1,0,1,AK ZY,0,Answer: ZY
1,filler,4,BC,BC,1,0,1,YV BC,0,Answer: BC
1,filler,5,BH,BH,1,0,1,VZ BH,0,Answer: BH
1,filler,6,HW,HW,1,0,1,JI HW,0,Answer: HW
1,filler,7,NW,NW,1,0,1,YN NW,0,Answer: NW
1,filler,8,DS,DS,1,0,1,KS DS,0,Answer: DS
1,filler,9,OY,OY,1,0,1,RZ OY,0,Answer: OY
1,filler,10,VH,VH,1,0,1,VB VH,0,Answer: VH
1,filler,11,FN,FN,1,0,1,BK FN,0,Answer: FN
1,filler,12,NJ,NJ,1,0,1,ZL NJ,0,Answer: NJ
1,filler,13,OL,OL,1,0,1,DL OL,0,Answer: OL
1,filler,14,RS,RS,1,0,1,ZP RS,0,Answer: RS
1,filler,15,FO,FO,1,0,1,CY FO,0,Answer: FO
1,filler,16,GJ,GJ,1,0,1,BF GJ,0,Answer: GJ
1,filler,17,YM,YM,1,0,1,UL YM,0,Answer: YM
1,filler,18,QY,QY,1,0,1,LH QY,0,Answer: QY
1,filler,19,VX,VX,1,0,1,LD VX,0,Answer: VX
