k,condition,idx,gold,pred,correct,leak,eff_hops,chain,error,completion
1,immediate,0,YQ,YQ,1,0,1,GC YQ,0,Answer: YQ
1,immediate,1,CD,CD,1,0,1,PQ CD,0,Answer: CD
1,immediate,2,NO,NO,1,0,1,MW NO,0,Answer: NO
1,immediate,3,VC,VC,1,0,1,IS VC,0,Answer: VC
1,immediate,4,TX,TX,1,0,1,YV TX,0,Answer: TX
1,immediate,5,TP,TP,1,0,1,FB TP,0,Answer: TP
1,immediate,6,UP,UP,1,0,1,XN UP,0,Answer: UP
1,immediate,7,BB,BB,1,0,1,NW BB,0,Answer: BB
1,immediate,8,RX,RX,1,0,1,RL RX,0,Answer: RX
1,immediate,9,FS,FS,1,0,1,MC FS,0,Answer: FS
1,immediate,10,RU,RU,1,0,1,HR RU,0,Answer: RU
1,immediate,11,BK,BK,1,0,1,GP BK,0,Answer: BK
1,immediate,12,SX,SX,1,0,1,AP SX,0,Answer: SX
1,immediate,13,YP,YP,1,0,1,MG YP,0,Answer: YP
1,immediate,14,UU,UU,1,0,1,WV UU,0,Answer: UU
1,immediate,15,AO,AO,1,0,1,LC AO,0,Answer: AO
1,immediate,16,DF,DF,1,0,1,UO DF,0,Answer: DF
1,immediate,17,KA,KA,1,0,1,JO KA,0,Answer: KA
1,immediate,18,YY,YY,1,0,1,EL YY,0,Answer: YY
1,immediate,19,IN,IN,1,0,1,BR IN,0,Answer: IN
1,immediate,20,ZH,ZH,1,0,1,XA ZH,0,Answer: ZH
1,immediate,21,OA,OA,1,0,1,AH OA,0,Answer: OA
1,immediate,22,NB,NB,1,0,1,BJ NB,0,Answer: NB
1,immediate,23,ZO,ZO,1,0,1,TD ZO,0,Answer: ZO
1,immediate,24,GN,GN,1,0,1,VA GN,0,Answer: GN
1,immediate,25,HZ,HZ,1,0,1,WU HZ,0,Answer: HZ
1,immediate,26,AS,AS,1,0,1,NC AS,0,Answer: AS
1,immediate,27,PN,PN,1,0,1,HR PN,0,Answer: PN
1,immediate,28,MB,MB,1,0,1,DI MB,0,Answer: MB
1,immediate,29,DT,DT,1,0,1,CA DT,0,Answer: DT
1,filler,0,YQ,YQ,1,0,1,GC YQ,0,Answer: YQ
1,filler,1,CD,CD,1,0,1,PQ CD,0,Answer: CD
1,filler,2,NO,NO,1,0,1,MW NO,0,Answer: NO
1,filler,3,VC,VC,1,0,1,IS VC,0,Answer: VC
1,filler,4,TX,TX,1,0,1,YV TX,0,Answer: TX
1,filler,5,TP,TP,1,0,1,FB TP,0,Answer: TP
1,filler,6,UP,UP,1,0,1,XN UP,0,Answer: UP
1,filler,7,BB,BB,1,0,1,NW BB,0,Answer: BB
1,filler,8,RX,RX,1,0,1,RL RX,0,Answer: RX
1,filler,9,FS,FS,1,0,1,MC FS,0,Answer: FS
1,filler,10,RU,RU,1,0,1,HR RU,0,Answer: RU
1,filler,11,BK,BK,1,0,1,GP BK,0,Answer: BK
1,filler,12,SX,SX,1,0,1,AP SX,0,Answer: SX
1,filler,13,YP,YP,1,0,1,MG YP,0,Answer: YP
1,filler,14,UU,UU,1,0,1,WV UU,0,Answer: UU
1,filler,15,AO,AO,1,0,1,LC AO,0,Answer: AO
1,filler,16,DF,DF,1,0,1,UO DF,0,Answer: DF
1,filler,17,KA,KA,1,0,1,JO KA,0,Answer: KA
1,filler,18,YY,YY,1,0,1,EL YY,0,Answer: YY
1,filler,19,IN,IN,1,0,1,BR IN,0,Answer: IN
1,filler,20,ZH,ZH,1,0,1,XA ZH,0,Answer: ZH
1,filler,21,OA,OA,1,0,1,AH OA,0,Answer: OA
1,filler,22,NB,NB,1,0,1,BJ NB,0,Answer: NB
1,filler,23,ZO,ZO,1,0,1,TD ZO,0,Answer: ZO
1,filler,24,GN,GN,1,0,1,VA GN,0,Answer: GN
1,filler,25,HZ,HZ,1,0,1,WU HZ,0,Answer: HZ
1,filler,26,AS,AS,1,0,1,NC AS,0,Answer: AS
1,filler,27,PN,PN,1,0,1,HR PN,0,Answer: PN
1,filler,28,MB,MB,1,0,1,DI MB,0,Answer: MB
1,filler,29,DT,DT,1,0,1,CA DT,0,Answer: DT
1,cot,0,YQ,YQ,1,0,1,GC YQ,0,Answer: YQ
1,cot,1,CD,CD,1,0,1,PQ CD,0,Answer: CD
1,cot,2,NO,NO,1,0,1,MW NO,0,Answer: NO
1,cot,3,VC,VC,1,0,1,IS VC,0,Answer: VC
1,cot,4,TX,TX,1,0,1,YV TX,0,Answer: TX
1,cot,5,TP,TP,1,0,1,FB TP,0,Answer: TP
1,cot,6,UP,UP,1,0,1,XN UP,0,Answer: UP
1,cot,7,BB,BB,1,0,1,NW BB,0,Answer: BB
1,cot,8,RX,RX,1,0,1,RL RX,0,Answer: RX
1,cot,9,FS,FS,1,0,1,MC FS,0,Answer: FS
1,cot,10,RU,RU,1,0,1,HR RU,0,Answer: RU
1,cot,11,BK,BK,1,0,1,GP BK,0,Answer: BK
1,cot,12,SX,SX,1,0,1,AP SX,0,Answer: SX
1,cot,13,YP,YP,1,0,1,MG YP,0,Answer: YP
1,cot,14,UU,UU,1,0,1,WV UU,0,"WV maps to UU.

Answer: UU"
1,cot,15,AO,AO,1,0,1,LC AO,0,"LC maps to AO.

Answer: AO"
1,cot,16,DF,DF,1,0,1,UO DF,0,Answer: DF
1,cot,17,KA,KA,1,0,1,JO KA,0,Answer: KA
1,cot,18,YY,YY,1,0,1,EL YY,0,Answer: YY
1,cot,19,IN,IN,1,0,1,BR IN,0,Answer: IN
1,cot,20,ZH,ZH,1,0,1,XA ZH,0,Answer: ZH
1,cot,21,OA,OA,1,0,1,AH OA,0,Answer: OA
1,cot,22,NB,NB,1,0,1,BJ NB,0,Answer: NB
1,cot,23,ZO,ZO,1,0,1,TD ZO,0,Answer: ZO
1,cot,24,GN,GN,1,0,1,VA GN,0,Answer: GN
1,cot,25,HZ,HZ,1,0,1,WU HZ,0,Answer: HZ
1,cot,26,AS,AS,1,0,1,NC AS,0,Answer: AS
1,cot,27,PN,PN,1,0,1,HR PN,0,Answer: PN
1,cot,28,MB,MB,1,0,1,DI MB,0,Answer: MB
1,cot,29,DT,DT,1,0,1,CA DT,0,Answer: DT
2,immediate,0,XX,XX,1,0,2,HU GS XX,0,Answer: XX
2,immediate,1,UZ,UZ,1,0,2,ES QJ UZ,0,Answer: UZ
2,immediate,2,DT,DT,1,0,2,LV SO DT,0,Answer: DT
2,immediate,3,YY,YY,1,0,2,DL VS YY,0,Answer: YY
2,immediate,4,YN,PW,0,0,1,NJ PW YN,0,Answer: PW
2,immediate,5,PM,TS,0,0,-1,XF JJ PM,0,Answer: TS
2,immediate,6,SC,SC,1,0,2,OR HT SC,0,Answer: SC
2,immediate,7,BS,BS,1,0,2,YI KC BS,0,Answer: BS
2,immediate,8,XW,TH,0,0,-1,XT KB XW,0,Answer: TH
2,immediate,9,GI,GI,1,0,2,XF RJ GI,0,Answer: GI
2,immediate,10,TC,OT,0,0,1,SO OT TC,0,Answer: OT
2,immediate,11,UC,UC,1,0,2,OW SZ UC,0,Answer: UC
