task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
serial,default,2,immediate,0,GX,GX,1,2,0,0, GX
serial,default,2,immediate,1,BT,BT,1,2,0,0, BT
serial,default,2,immediate,2,AT,NR,0,3,0,0, NR
serial,default,2,immediate,3,TD,FM,0,3,0,0, FM
serial,default,2,immediate,4,DI,MU,0,3,0,0, MU
serial,default,2,immediate,5,PL,UP,0,3,0,0, UP
serial,default,2,immediate,6,RG,RG,1,2,0,0, RG
serial,default,2,immediate,7,OC,MX,0,3,0,0, MX
serial,default,2,immediate,8,WX,JN,0,3,0,0, JN
serial,default,2,immediate,9,PU,PU,1,2,0,0, PU
serial,default,2,immediate,10,XG,XG,1,2,0,0, XG
serial,default,2,immediate,11,MN,CE,0,3,0,0, CE
serial,default,2,immediate,12,JY,LJ,0,3,0,0, LJ
serial,default,2,immediate,13,QW,ND,0,4,0,0, ND
serial,default,2,immediate,14,YF,PI,0,3,0,0, PI
serial,default,2,immediate,15,VC,VC,1,2,0,0, VC
serial,default,2,immediate,16,ZM,ZM,1,2,0,0, ZM
serial,default,2,immediate,17,ZU,RT,0,3,0,0, RT
serial,default,2,immediate,18,RC,RT,0,3,0,0, RT
serial,default,2,immediate,19,CS,CR,0,3,0,0, CR
serial,default,2,immediate,20,JQ,RF,0,3,0,0, RF
serial,default,2,immediate,21,FK,VS,0,3,0,0, VS
serial,default,2,immediate,22,NM,YJ,0,3,0,0, YJ
serial,default,2,immediate,23,IU,NM,0,3,0,0, NM
serial,default,2,immediate,24,VB,IC,0,3,0,0, IC
serial,default,2,immediate,25,KT,KT,1,2,0,0, KT
serial,default,2,immediate,26,XE,RP,0,3,0,0, RP
serial,default,2,immediate,27,LA,LA,1,2,0,0, LA
serial,default,2,immediate,28,ND,CA,0,3,0,0, CA
serial,default,2,immediate,29,AK,AK,1,2,0,0, AK
serial,default,2,immediate,30,SS,SS,1,2,0,0, SS
serial,default,2,immediate,31,BB,DY,0,3,0,0, DY
serial,default,2,immediate,32,FO,GC,0,3,0,0, GC
serial,default,2,immediate,33,HS,HS,1,2,0,0, HS
serial,default,2,immediate,34,GL,GL,1,2,0,0, GL
serial,default,2,immediate,35,GF,AG,0,3,0,0, AG
serial,default,2,immediate,36,WN,WN,1,2,0,0, WN
serial,default,2,immediate,37,JQ,JQ,1,2,0,0, JQ
