task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion,run_id,prompt,seed
facts_parallel,default,2,immediate,0,Finland,Finland,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Finland,78f1a5c1-1788557231,"Consider these 2 countries: Finland, Japan.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",873036808
facts_parallel,default,2,immediate,1,Finland,Finland,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Finland,78f1a5c1-1788557231,"Consider these 2 countries: Finland, Bulgaria.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",1125010590
facts_parallel,default,2,immediate,2,Thailand,Egypt,0,-1,0,0,stop,3,0,qwen3.6-27b,Answer: Egypt,78f1a5c1-1788557231,"Consider these 2 countries: Egypt, Thailand.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",3657899300
facts_parallel,default,2,immediate,3,Greece,Bulgaria,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Bulgaria,78f1a5c1-1788557231,"Consider these 2 countries: Greece, Bulgaria.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",2902470066
facts_parallel,default,2,immediate,4,Ireland,Japan,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Japan,78f1a5c1-1788557231,"Consider these 2 countries: Ireland, Japan.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",862238737
facts_parallel,default,2,immediate,5,Finland,Finland,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Finland,78f1a5c1-1788557231,"Consider these 2 countries: Peru, Finland.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",1147373703
facts_parallel,default,2,immediate,6,China,Russia,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Russia,78f1a5c1-1788557231,"Consider these 2 countries: Russia, China.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",3714767165
facts_parallel,default,2,immediate,7,Norway,Bulgaria,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Bulgaria,78f1a5c1-1788557231,"Consider these 2 countries: Norway, Bulgaria.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",2859329963
facts_parallel,default,2,immediate,8,Czechia,Austria,0,-1,0,0,stop,3,0,qwen3.6-27b,Answer: Austria,78f1a5c1-1788557231,"Consider these 2 countries: Czechia, Austria.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",986903610
facts_parallel,default,2,immediate,9,Hungary,Hungary,1,-1,0,0,stop,3,0,qwen3.6-27b,Answer: Hungary,78f1a5c1-1788557231,"Consider these 2 countries: Hungary, Sweden.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",1305855148
facts_parallel,default,2,immediate,10,Egypt,Austria,0,-1,0,0,stop,3,0,qwen3.6-27b,Answer: Austria,78f1a5c1-1788557231,"Consider these 2 countries: Egypt, Austria.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",3811536686
facts_parallel,default,2,immediate,11,Thailand,Cuba,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Cuba,78f1a5c1-1788557231,"Consider these 2 countries: Cuba, Thailand.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",2485673912
facts_parallel,default,2,immediate,12,Denmark,Finland,0,-1,0,0,stop,3,0,qwen3.6-27b,Answer: Finland,78f1a5c1-1788557231,"Consider these 2 countries: Denmark, Finland.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",220270082
facts_parallel,default,2,immediate,13,Kenya,Bulgaria,0,-1,0,0,stop,3,0,qwen3.6-27b,Answer: Bulgaria,78f1a5c1-1788557231,"Consider these 2 countries: Kenya, Bulgaria.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",2049326740
facts_parallel,default,2,immediate,14,Germany,Bulgaria,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Bulgaria,78f1a5c1-1788557231,"Consider these 2 countries: Bulgaria, Germany.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",3829574455
facts_parallel,default,2,immediate,15,Russia,Kenya,0,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Kenya,78f1a5c1-1788557231,"Consider these 2 countries: Kenya, Russia.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",2470812577
facts_parallel,default,2,immediate,16,Denmark,Denmark,1,-1,0,0,stop,3,0,qwen3.6-27b,Answer: Denmark,78f1a5c1-1788557231,"Consider these 2 countries: Denmark, Kenya.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",172804635
facts_parallel,default,2,immediate,17,Portugal,Portugal,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Portugal,78f1a5c1-1788557231,"Consider these 2 countries: Russia, Portugal.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",2102131341
facts_parallel,default,2,immediate,18,Germany,Germany,1,-1,0,0,stop,4,0,qwen3.6-27b,Answer: Germany,78f1a5c1-1788557231,"Consider these 2 countries: Germany, Norway.
Which one has the capital city whose name comes first alphabetically? Answer with just the country name.",3992250140
