task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion,prompt,seed
serial,default,2,immediate,0,BX,MO,0,9,0,0,stop,4,0,gemma-3-27b-it,Answer: MO,"Mapping table:
DH -> BX
BX -> CX
VM -> UI
CX -> SC
TM -> VM
QB -> DI
SC -> TM
TE -> QB
RT -> MO
MO -> TE
DI -> DH
UI -> RT

Start at DI and follow the mapping 2 times. What code do you land on?",1546271691
serial,default,2,immediate,1,OV,OC,0,3,0,0,stop,2,0,gemma-3-27b-it,OC,"Mapping table:
FH -> AW
RF -> BG
MX -> RF
CC -> OV
OC -> MI
LW -> WN
OV -> OC
AW -> CC
MI -> MX
BG -> NM
WN -> FH
NM -> LW

Start at AW and follow the mapping 2 times. What code do you land on?",724372317
serial,default,2,immediate,2,RI,GY,0,11,0,0,stop,2,0,gemma-3-27b-it, GY,"Mapping table:
NL -> TR
HQ -> JO
WR -> RI
RI -> KE
IG -> WR
TR -> GY
VC -> NL
BE -> VC
JO -> BP
GY -> IG
KE -> HQ
BP -> BE

Start at IG and follow the mapping 2 times. What code do you land on?",2988727015
serial,default,2,immediate,3,OR,OR,1,2,0,0,stop,2,0,gemma-3-27b-it, OR,"Mapping table:
MF -> AE
AE -> OR
SY -> UV
QN -> SY
OR -> AR
OZ -> WU
LP -> MF
WU -> QN
AR -> OZ
UV -> EI
WN -> LP
EI -> WN

Start at MF and follow the mapping 2 times. What code do you land on?",3307432561
serial,default,2,immediate,4,HJ,HJ,1,2,0,0,stop,2,0,gemma-3-27b-it, HJ,"Mapping table:
JD -> VM
OF -> NO
KG -> IY
IZ -> CN
XM -> AX
MS -> HJ
AX -> OF
CN -> MS
VM -> IZ
IY -> JD
HJ -> XM
NO -> KG

Start at CN and follow the mapping 2 times. What code do you land on?",1531445202
serial,default,2,immediate,5,GV,GV,1,2,0,0,stop,2,0,gemma-3-27b-it,GV,"Mapping table:
PT -> EW
WN -> OO
OO -> GV
PU -> OZ
LA -> VK
TE -> VZ
NX -> LA
EW -> PU
VK -> WN
VZ -> PT
GV -> TE
OZ -> NX

Start at WN and follow the mapping 2 times. What code do you land on?",742444868
serial,default,2,immediate,6,AZ,AZ,1,2,0,0,stop,2,0,gemma-3-27b-it,AZ,"Mapping table:
GP -> CO
DV -> WU
OT -> CL
CL -> QT
AZ -> GP
TA -> AF
AF -> AZ
CO -> DS
WU -> OF
QT -> TA
DS -> DV
OF -> OT

Start at TA and follow the mapping 2 times. What code do you land on?",3041500926
serial,default,2,immediate,7,CP,CP,1,2,0,0,stop,2,0,gemma-3-27b-it, CP,"Mapping table:
RE -> HM
CP -> EJ
IT -> RC
RC -> OO
TS -> BK
TO -> TS
PS -> CP
BK -> RE
HM -> IT
OO -> PS
EJ -> ES
ES -> TO

Start at OO and follow the mapping 2 times. What code do you land on?",3259936360
serial,default,2,immediate,8,OP,HR,0,11,0,0,stop,4,0,gemma-3-27b-it,Answer: HR,"Mapping table:
LI -> OX
SV -> OK
IQ -> VL
FK -> LI
PK -> SV
KR -> PK
UA -> HR
HR -> IQ
OX -> KR
OP -> FK
VL -> OP
OK -> UA

Start at IQ and follow the mapping 2 times. What code do you land on?",1391571961
serial,default,2,immediate,9,LB,LB,1,2,0,0,stop,2,0,gemma-3-27b-it, LB,"Mapping table:
BK -> GR
RS -> UX
GR -> MB
MB -> XF
XF -> XU
LB -> RS
NB -> SO
XU -> LB
UX -> ZR
SO -> BK
ZR -> EC
EC -> NB

Start at XF and follow the mapping 2 times. What code do you land on?",636912495
serial,default,2,immediate,10,HL,RP,0,3,0,0,stop,2,0,gemma-3-27b-it, RP,"Mapping table:
IT -> GB
HL -> RP
XV -> IT
RW -> QR
VQ -> RW
RH -> AU
GB -> FU
MG -> VQ
QR -> XV
FU -> RH
AU -> HL
RP -> MG

Start at RH and follow the mapping 2 times. What code do you land on?",3777683299
serial,default,2,immediate,11,FB,FB,1,2,0,0,stop,2,0,gemma-3-27b-it, FB,"Mapping table:
AQ -> OA
IG -> KR
CU -> IG
KR -> ZL
VF -> AQ
YN -> PO
ZL -> VF
OA -> YN
FB -> ZX
PO -> UW
ZX -> CU
UW -> FB

Start at PO and follow the mapping 2 times. What code do you land on?",2519592949
serial,default,2,immediate,12,ES,HZ,0,11,0,0,stop,2,0,gemma-3-27b-it,HZ,"Mapping table:
XA -> WY
AG -> ZI
PW -> CZ
HZ -> XA
ME -> ZE
VT -> PW
VV -> ME
ZE -> VT
WY -> ES
ES -> AG
ZI -> VV
CZ -> HZ

Start at XA and follow the mapping 2 times. What code do you land on?",254066255
serial,default,2,immediate,13,IH,PE,0,1,0,0,stop,2,0,gemma-3-27b-it, PE,"Mapping table:
PE -> IH
RA -> BL
BL -> MR
UK -> CE
IH -> RE
ED -> RA
WF -> PE
RE -> UK
MR -> NH
NH -> XG
CE -> ED
XG -> WF

Start at WF and follow the mapping 2 times. What code do you land on?",2015596249
serial,default,2,immediate,14,EV,EV,1,2,0,0,stop,2,0,gemma-3-27b-it,EV,"Mapping table:
JW -> OZ
OZ -> LZ
LT -> EV
EV -> CE
TP -> OE
LZ -> ID
PW -> TP
ID -> GA
OE -> JE
JE -> JW
CE -> PW
GA -> LT

Start at GA and follow the mapping 2 times. What code do you land on?",3863419770
serial,default,2,immediate,15,TT,GG,0,3,0,0,stop,4,0,gemma-3-27b-it,Answer: GG,"Mapping table:
XC -> AQ
TL -> BV
AQ -> TT
TT -> GG
BV -> XC
XA -> IL
QC -> BW
GG -> XA
IO -> MJ
IL -> IO
BW -> TL
MJ -> QC

Start at XC and follow the mapping 2 times. What code do you land on?",2436901868
serial,default,2,immediate,16,DP,DP,1,2,0,0,stop,2,0,gemma-3-27b-it,DP,"Mapping table:
KB -> NZ
KW -> TA
XK -> WQ
XJ -> JX
EC -> XK
NZ -> RD
TA -> XJ
JX -> DP
RD -> JI
JI -> KW
WQ -> KB
DP -> EC

Start at XJ and follow the mapping 2 times. What code do you land on?",139033174
serial,default,2,immediate,17,EF,EF,1,2,0,0,stop,2,0,gemma-3-27b-it,EF,"Mapping table:
VC -> OG
OG -> RK
RY -> RU
XS -> XO
QY -> UE
AA -> RY
RU -> VC
EF -> QY
UE -> XS
RK -> KE
XO -> AA
KE -> EF

Start at RK and follow the mapping 2 times. What code do you land on?",2135837376
serial,default,2,immediate,18,GX,ZR,0,0,0,0,stop,2,0,gemma-3-27b-it, ZR,"Mapping table:
GX -> MJ
JA -> WS
WS -> LZ
NN -> QA
YW -> GX
CW -> ZR
ZR -> YW
MJ -> SY
WQ -> JA
SY -> NN
QA -> WQ
LZ -> CW

Start at ZR and follow the mapping 2 times. What code do you land on?",4025571153
serial,default,2,immediate,19,OL,LQ,0,3,0,0,stop,2,0,gemma-3-27b-it, LQ,"Mapping table:
BK -> TA
RO -> ET
YA -> RO
OL -> LQ
LQ -> YR
TA -> IL
YR -> BK
ET -> OL
GE -> YA
OB -> DJ
DJ -> GE
IL -> OB

Start at RO and follow the mapping 2 times. What code do you land on?",2566285255
serial,default,2,immediate,20,EE,EE,1,2,0,0,stop,2,0,gemma-3-27b-it, EE,"Mapping table:
AJ -> WA
QN -> RQ
DA -> IB
WA -> FT
EE -> FV
FT -> QN
RQ -> ZP
DC -> AJ
RS -> EE
FV -> DC
ZP -> DA
IB -> RS

Start at IB and follow the mapping 2 times. What code do you land on?",3389492384
serial,default,2,immediate,21,YY,BG,0,10,0,0,stop,2,0,gemma-3-27b-it, BG,"Mapping table:
SX -> RF
XZ -> EP
QU -> UW
YY -> RX
EP -> XC
RX -> XZ
ZM -> YY
UW -> TA
RF -> ZM
XC -> QU
TA -> BG
BG -> SX

Start at RF and follow the mapping 2 times. What code do you land on?",3170942006
serial,default,2,immediate,22,OB,CV,0,8,0,0,stop,2,0,gemma-3-27b-it,CV,"Mapping table:
CV -> LU
UP -> ZK
YH -> GQ
BN -> GV
EM -> UP
GQ -> MG
OB -> BN
ZH -> EM
ZK -> OB
MG -> CV
LU -> ZH
GV -> YH

Start at UP and follow the mapping 2 times. What code do you land on?",604630412
serial,default,2,immediate,23,XD,HP,0,3,0,0,stop,2,0,gemma-3-27b-it, HP,"Mapping table:
PF -> GK
GK -> NR
FG -> PF
QO -> MD
NV -> QO
ZD -> NN
NN -> XD
TR -> FG
MD -> TR
HP -> NV
NR -> ZD
XD -> HP

Start at ZD and follow the mapping 2 times. What code do you land on?",1393483034
serial,default,2,immediate,24,VA,UC,0,1,0,0,stop,2,0,gemma-3-27b-it, UC,"Mapping table:
HC -> OW
WA -> UI
VR -> IB
YC -> VR
NW -> QC
OW -> NW
IB -> HC
UI -> YC
MN -> UC
VA -> WA
UC -> VA
QC -> MN

Start at MN and follow the mapping 2 times. What code do you land on?",3446294713
serial,default,2,immediate,25,GJ,CJ,0,7,0,0,stop,2,0,gemma-3-27b-it,CJ,"Mapping table:
GJ -> FL
CK -> HY
UP -> YU
OG -> CJ
YU -> OG
GI -> KR
JW -> GJ
CJ -> CK
KR -> KO
HY -> GI
KO -> JW
FL -> UP

Start at KO and follow the mapping 2 times. What code do you land on?",3127736367
serial,default,2,immediate,26,ID,ID,1,2,0,0,stop,2,0,gemma-3-27b-it, ID,"Mapping table:
AO -> AP
OS -> XN
FQ -> OS
BN -> RS
PN -> BN
EL -> ID
SR -> PN
RS -> ME
ID -> SR
AP -> FQ
XN -> EL
ME -> AO

Start at XN and follow the mapping 2 times. What code do you land on?",593766805
serial,default,2,immediate,27,QT,SN,0,3,0,0,stop,2,0,gemma-3-27b-it,SN,"Mapping table:
OY -> QT
UE -> OY
SW -> OM
OM -> PE
UT -> UE
QI -> UT
JU -> SW
PE -> JJ
JJ -> QI
DB -> JU
SN -> DB
QT -> SN

Start at UE and follow the mapping 2 times. What code do you land on?",1415780611
serial,default,2,immediate,28,EA,EA,1,2,0,0,stop,2,0,gemma-3-27b-it,EA,"Mapping table:
EA -> PS
VF -> IE
JC -> VF
QN -> GX
PS -> XE
CA -> KT
GX -> VD
VD -> OL
XE -> JC
OL -> CA
IE -> QN
KT -> EA

Start at CA and follow the mapping 2 times. What code do you land on?",3302753426
serial,default,2,immediate,29,DU,US,0,4,0,0,stop,2,0,gemma-3-27b-it, US,"Mapping table:
HD -> DU
ND -> US
EP -> HD
OJ -> LW
JM -> OJ
YT -> KQ
LW -> PY
SS -> EP
US -> YT
PY -> SS
KQ -> JM
DU -> ND

Start at EP and follow the mapping 2 times. What code do you land on?",3017487364
serial,default,2,immediate,30,NQ,NQ,1,2,0,0,stop,3,0,gemma-3-27b-it, NQ,"Mapping table:
NQ -> QR
YT -> TW
QR -> MA
WV -> TD
RF -> WV
TD -> DV
RE -> RF
BI -> RE
DV -> BK
MA -> YT
TW -> BI
BK -> NQ

Start at DV and follow the mapping 2 times. What code do you land on?",3541876193
serial,default,2,immediate,31,MZ,MZ,1,2,0,0,stop,4,0,gemma-3-27b-it,Answer: MZ,"Mapping table:
JI -> GS
WL -> MZ
MZ -> KZ
NA -> CE
ES -> JI
HT -> ES
GS -> UF
EE -> NA
CE -> WL
KZ -> HT
UF -> OA
OA -> EE

Start at CE and follow the mapping 2 times. What code do you land on?",2753269111
serial,default,2,immediate,32,HR,PQ,0,0,0,0,stop,2,0,gemma-3-27b-it, PQ,"Mapping table:
HR -> XA
DJ -> GK
BW -> GS
IJ -> TW
KY -> HR
PX -> YF
GS -> DJ
PQ -> KY
XA -> BW
YF -> PQ
TW -> PX
GK -> IJ

Start at PQ and follow the mapping 2 times. What code do you land on?",1024646349
serial,default,2,immediate,33,DF,ZG,0,0,0,0,stop,3,0,gemma-3-27b-it, ZG,"Mapping table:
HT -> RR
RR -> DI
UE -> DF
DM -> PG
ZG -> UE
WH -> ZK
DF -> QO
DI -> ZD
ZD -> DM
QO -> HT
PG -> WH
ZK -> ZG

Start at ZG and follow the mapping 2 times. What code do you land on?",1242950747
serial,default,2,immediate,34,BS,BS,1,2,0,0,stop,2,0,gemma-3-27b-it,BS,"Mapping table:
YM -> AC
TW -> KH
KH -> BS
BS -> OH
OZ -> TW
RC -> SB
PK -> SP
OH -> YM
AC -> RC
SB -> PK
ZI -> OZ
SP -> ZI

Start at TW and follow the mapping 2 times. What code do you land on?",3564206584
serial,default,2,immediate,35,QC,QC,1,2,0,0,stop,2,0,gemma-3-27b-it, QC,"Mapping table:
CE -> NK
NK -> QZ
AR -> RL
QC -> CE
HV -> ZX
PO -> QC
FB -> MO
RL -> SS
ZX -> AR
SS -> PO
MO -> HV
QZ -> FB

Start at SS and follow the mapping 2 times. What code do you land on?",2742438254
serial,default,2,immediate,36,ED,CH,0,3,0,0,stop,2,0,gemma-3-27b-it, CH,"Mapping table:
EP -> NM
LX -> EP
IN -> ED
CH -> FG
NM -> AM
AM -> IN
ED -> CH
WX -> QB
KZ -> WX
FG -> QR
QB -> LX
QR -> KZ

Start at AM and follow the mapping 2 times. What code do you land on?",981407956
serial,default,2,immediate,37,CF,CF,1,2,0,0,stop,2,0,gemma-3-27b-it, CF,"Mapping table:
RW -> RT
DI -> HT
WB -> IO
CF -> JS
HT -> DL
HX -> RW
JF -> HX
JS -> JF
IO -> CF
DL -> DU
DU -> WB
RT -> DI

Start at WB and follow the mapping 2 times. What code do you land on?",1299720258
serial,default,2,immediate,38,BZ,BZ,1,2,0,0,stop,3,0,gemma-3-27b-it, BZ,"Mapping table:
HQ -> CW
CW -> UP
MK -> IF
AW -> BD
IF -> ZD
UP -> QA
ZD -> ZL
BD -> TR
BZ -> MK
ZL -> AW
TR -> HQ
QA -> BZ

Start at UP and follow the mapping 2 times. What code do you land on?",3720820179
