task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
parallel,default,2,immediate,0,PL,PL,1,-1,0,0, PL
parallel,default,2,immediate,1,ZU,ZU,1,-1,0,0, ZU
parallel,default,2,immediate,2,VV,VV,1,-1,0,0, VV
parallel,default,2,immediate,3,AG,AG,1,-1,0,0, AG
parallel,default,2,immediate,4,PI,PI,1,-1,0,0, PI
parallel,default,2,immediate,5,ST,ST,1,-1,0,0, ST
parallel,default,2,immediate,6,IW,IW,1,-1,0,0, IW
parallel,default,2,immediate,7,UI,UI,1,-1,0,0, UI
parallel,default,2,immediate,8,HW,HW,1,-1,0,0, HW
parallel,default,2,immediate,9,FQ,FQ,1,-1,0,0, FQ
parallel,default,2,immediate,10,HD,HD,1,-1,0,0, HD
parallel,default,2,immediate,11,CO,CO,1,-1,0,0, CO
parallel,default,2,immediate,12,SH,SH,1,-1,0,0, SH
parallel,default,2,immediate,13,RF,RF,1,-1,0,0, RF
parallel,default,2,immediate,14,ZQ,ZQ,1,-1,0,0, ZQ
parallel,default,2,immediate,15,UC,UC,1,-1,0,0, UC
parallel,default,2,immediate,16,MK,MK,1,-1,0,0, MK
parallel,default,2,immediate,17,YN,YN,1,-1,0,0, YN
parallel,default,2,immediate,18,HZ,HZ,1,-1,0,0, HZ
parallel,default,2,immediate,19,ZA,ZA,1,-1,0,0, ZA
parallel,default,2,immediate,20,GN,GN,1,-1,0,0, GN
parallel,default,2,immediate,21,DD,DD,1,-1,0,0, DD
parallel,default,2,immediate,22,NC,NC,1,-1,0,0, NC
parallel,default,2,immediate,23,FZ,FZ,1,-1,0,0, FZ
parallel,default,2,immediate,24,WJ,WJ,1,-1,0,0, WJ
parallel,default,2,immediate,25,KU,KU,1,-1,0,0, KU
parallel,default,2,immediate,26,UA,UA,1,-1,0,0, UA
parallel,default,2,immediate,27,ZE,ZE,1,-1,0,0, ZE
parallel,default,2,immediate,28,XE,XE,1,-1,0,0, XE
parallel,default,2,immediate,29,LD,LD,1,-1,0,0, LD
parallel,default,2,immediate,30,BT,BT,1,-1,0,0, BT
parallel,default,2,immediate,31,OF,OF,1,-1,0,0, OF
parallel,default,2,immediate,32,UV,UV,1,-1,0,0, UV
parallel,default,2,immediate,33,RJ,RJ,1,-1,0,0, RJ
parallel,default,2,immediate,34,NU,NU,1,-1,0,0, NU
parallel,default,2,immediate,35,HE,HE,1,-1,0,0, HE
parallel,default,2,immediate,36,RE,RE,1,-1,0,0, RE
parallel,default,2,immediate,37,SI,SI,1,-1,0,0, SI
parallel,default,2,immediate,38,PJ,PJ,1,-1,0,0, PJ
parallel,default,2,immediate,39,VT,VT,1,-1,0,0, VT
parallel,default,4,immediate,0,CM,CM,1,-1,0,0, CM
parallel,default,4,immediate,1,SM,SM,1,-1,0,0, SM
parallel,default,4,immediate,2,PY,TX,0,-1,0,0, TX
parallel,default,4,immediate,3,QF,QF,1,-1,0,0, QF
parallel,default,4,immediate,4,VC,VC,1,-1,0,0, VC
parallel,default,4,immediate,5,TA,TA,1,-1,0,0, TA
parallel,default,4,immediate,6,XH,XH,1,-1,0,0, XH
parallel,default,4,immediate,7,OR,OR,1,-1,0,0, OR
