task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
serial,default,2,immediate,0,SK,SK,1,2,0,0, SK
serial,default,2,immediate,1,GM,GM,1,2,0,0, GM
serial,default,2,immediate,2,LX,HT,0,4,0,0, HT
serial,default,2,immediate,3,OI,NW,0,1,0,0, NW
serial,default,2,immediate,4,RF,RF,1,2,0,0, RF
serial,default,2,immediate,5,KW,KW,1,2,0,0, KW
serial,default,2,immediate,6,VU,WW,0,3,0,0,Answer: WW
serial,default,2,immediate,7,NL,WP,0,3,0,0, WP
serial,default,2,immediate,8,PN,BC,0,3,0,0, BC
serial,default,2,immediate,9,EB,EB,1,2,0,0, EB
serial,default,2,immediate,10,DY,SK,0,3,0,0, SK
serial,default,2,immediate,11,OF,NH,0,5,0,0, NH
serial,default,2,immediate,12,MQ,AQ,0,3,0,0, AQ
serial,default,2,immediate,13,VG,AR,0,3,0,0, AR
serial,default,2,immediate,14,OM,GK,0,3,0,0, GK
serial,default,2,immediate,15,BQ,VI,0,1,0,0, VI
serial,default,2,immediate,16,OQ,WH,0,3,0,0, WH
serial,default,2,immediate,17,SZ,LW,0,5,0,0, LW
serial,default,2,immediate,18,SW,FY,0,3,0,0, FY
serial,default,2,immediate,19,NB,VM,0,3,0,0, VM
serial,default,2,immediate,20,PI,HF,0,3,0,0, HF
serial,default,2,immediate,21,PB,YN,0,3,0,0, YN
serial,default,2,immediate,22,QE,QE,1,2,0,0, QE
serial,default,2,immediate,23,BG,KV,0,4,0,0, KV
serial,default,2,immediate,24,NJ,SH,0,3,0,0, SH
serial,default,2,immediate,25,UF,GL,0,3,0,0, GL
serial,default,2,immediate,26,NO,NO,1,2,0,0, NO
serial,default,2,immediate,27,CF,QX,0,3,0,0, QX
serial,default,2,immediate,28,HZ,YH,0,3,0,0, YH
serial,default,2,immediate,29,XB,XB,1,2,0,0, XB
serial,default,2,immediate,30,NK,HN,0,4,0,0, HN
serial,default,2,immediate,31,MX,XY,0,4,0,0, XY
serial,default,2,immediate,32,UG,TC,0,3,0,0, TC
serial,default,2,immediate,33,QC,ZL,0,26,0,0, ZL
serial,default,2,immediate,34,FD,FD,1,2,0,0, FD
serial,default,2,immediate,35,FS,CK,0,3,0,0, CK
serial,default,2,immediate,36,HC,HC,1,2,0,0, HC
serial,default,2,immediate,37,LX,LX,1,2,0,0, LX
serial,default,2,immediate,38,UE,CE,0,3,0,0, CE
serial,default,2,immediate,39,VG,TL,0,3,0,0, TL
serial,default,4,immediate,0,OO,TP,0,17,0,0, TP
serial,default,4,immediate,1,KQ,TK,0,23,0,0, TK
serial,default,4,immediate,2,LM,UB,0,25,0,0, UB
serial,default,4,immediate,3,WJ,WJ,1,4,0,0, WJ
serial,default,4,immediate,4,KR,TJ,0,3,0,0, TJ
serial,default,4,immediate,5,KV,KV,1,4,0,0, KV
serial,default,4,immediate,6,MY,TK,0,17,0,0, TK
serial,default,4,immediate,7,GF,JP,0,6,0,0, JP
serial,default,4,immediate,8,RC,JJ,0,5,0,0, JJ
serial,default,4,immediate,9,PS,JP,0,11,0,0, JP
serial,default,4,immediate,10,KA,KA,1,4,0,0, KA
serial,default,4,immediate,11,EJ,FF,0,27,0,0, FF
serial,default,4,immediate,12,QH,KR,0,2,0,0, KR
serial,default,4,immediate,13,GL,GL,1,4,0,0, GL
serial,default,4,immediate,14,IU,FN,0,24,0,0, FN
serial,default,4,immediate,15,SV,AG,0,24,0,0, AG
serial,default,4,immediate,16,VC,VC,1,4,0,0, VC
serial,default,4,immediate,17,RI,HY,0,3,0,0, HY
serial,default,4,immediate,18,GG,UE,0,14,0,0, UE
serial,default,4,immediate,19,XY,XG,0,14,0,0, XG
serial,default,4,immediate,20,SX,VT,0,16,0,0, VT
serial,default,4,immediate,21,CD,FD,0,9,0,0, FD
serial,default,4,immediate,22,GK,NC,0,5,0,0, NC
serial,default,4,immediate,23,LH,GK,0,22,0,0, GK
serial,default,4,immediate,24,RC,GN,0,26,0,0, GN
serial,default,4,immediate,25,XS,AX,0,6,0,0, AX
serial,default,4,immediate,26,SD,HV,0,7,0,0, HV
serial,default,4,immediate,27,AI,AI,1,4,0,0, AI
serial,default,4,immediate,28,JF,TB,0,9,0,0, TB
serial,default,4,immediate,29,DO,WI,0,9,0,0, WI
serial,default,4,immediate,30,OB,DP,0,26,0,0,Answer: DP
