k,condition,idx,gold,pred,correct,leak,eff_hops,chain,error,completion
1,immediate,0,LV,LV,1,0,1,AS LV,0,Answer: LV
1,immediate,1,GY,GY,1,0,1,WX GY,0,Answer: GY
1,immediate,2,CH,CH,1,0,1,CV CH,0,Answer: CH
1,immediate,3,BY,BY,1,0,1,NJ BY,0,Answer: BY
1,immediate,4,MK,MK,1,0,1,ZP MK,0,Answer: MK
1,immediate,5,YS,YS,1,0,1,FB YS,0,Answer: YS
1,immediate,6,UP,UP,1,0,1,YN UP,0,Answer: UP
1,immediate,7,JD,JD,1,0,1,NW JD,0,Answer: JD
1,immediate,8,YP,YP,1,0,1,LS YP,0,Answer: YP
1,immediate,9,VU,VU,1,0,1,RZ VU,0,Answer: VU
1,immediate,10,HR,HR,1,0,1,UF HR,0,Answer: HR
1,immediate,11,SO,SO,1,0,1,BK SO,0,Answer: SO
1,immediate,12,BH,BH,1,0,1,OC BH,0,Answer: BH
1,immediate,13,NS,NS,1,0,1,CK NS,0,Answer: NS
1,immediate,14,RS,RS,1,0,1,ZP RS,0,Answer: RS
1,immediate,15,WW,WW,1,0,1,JS WW,0,Answer: WW
1,immediate,16,DF,DF,1,0,1,BK DF,0,Answer: DF
1,immediate,17,EX,EX,1,0,1,ZV EX,0,Answer: EX
1,immediate,18,CV,CV,1,0,1,QY CV,0,Answer: CV
1,immediate,19,ES,ES,1,0,1,LD ES,0,Answer: ES
1,immediate,20,SR,SR,1,0,1,LZ SR,0,Answer: SR
1,immediate,21,BP,BP,1,0,1,DU BP,0,Answer: BP
1,immediate,22,FS,FS,1,0,1,BX FS,0,Answer: FS
1,immediate,23,OL,OL,1,0,1,CP OL,0,Answer: OL
1,immediate,24,BC,BC,1,0,1,TI BC,0,Answer: BC
1,immediate,25,CK,CK,1,0,1,HZ CK,0,Answer: CK
1,immediate,26,YM,YM,1,0,1,NC YM,0,Answer: YM
1,immediate,27,JQ,JQ,1,0,1,CL JQ,0,Answer: JQ
1,immediate,28,DI,DI,1,0,1,EF DI,0,Answer: DI
1,immediate,29,RB,RB,1,0,1,AM RB,0,Answer: RB
1,filler,0,LV,LV,1,0,1,AS LV,0,Answer: LV
1,filler,1,GY,GY,1,0,1,WX GY,0,Answer: GY
1,filler,2,CH,CH,1,0,1,CV CH,0,Answer: CH
1,filler,3,BY,BY,1,0,1,NJ BY,0,Answer: BY
1,filler,4,MK,MK,1,0,1,ZP MK,0,Answer: MK
1,filler,5,YS,YS,1,0,1,FB YS,0,Answer: YS
1,filler,6,UP,UP,1,0,1,YN UP,0,Answer: UP
1,filler,7,JD,JD,1,0,1,NW JD,0,Answer: JD
1,filler,8,YP,YP,1,0,1,LS YP,0,Answer: YP
1,filler,9,VU,VU,1,0,1,RZ VU,0,Answer: VU
1,filler,10,HR,HR,1,0,1,UF HR,0,Answer: HR
1,filler,11,SO,SO,1,0,1,BK SO,0,Answer: SO
1,filler,12,BH,BH,1,0,1,OC BH,0,Answer: BH
1,filler,13,NS,NS,1,0,1,CK NS,0,Answer: NS
