task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion
parallel_count,default,8,immediate,0,6,4,0,-1,0,0,stop,5,0,gemma-3-27b-it,Answer: 4
parallel_count,default,8,immediate,1,4,5,0,-1,0,0,stop,3,0,gemma-3-27b-it, 5
parallel_count,default,8,immediate,2,3,6,0,-1,0,0,stop,3,0,gemma-3-27b-it, 6
parallel_count,default,8,immediate,3,4,6,0,-1,0,0,stop,3,0,gemma-3-27b-it, 6
parallel_count,default,8,immediate,4,6,7,0,-1,0,0,stop,2,0,gemma-3-27b-it,7
parallel_count,default,8,immediate,5,4,3,0,-1,0,0,stop,3,0,gemma-3-27b-it, 3
parallel_count,default,8,immediate,6,3,5,0,-1,0,0,stop,3,0,gemma-3-27b-it, 5
parallel_count,default,8,immediate,7,3,3,1,-1,0,0,stop,3,0,gemma-3-27b-it, 3
parallel_count,default,8,immediate,8,2,4,0,-1,0,0,stop,3,0,gemma-3-27b-it, 4
parallel_count,default,8,immediate,9,3,6,0,-1,0,0,stop,3,0,gemma-3-27b-it, 6
parallel_count,default,8,immediate,10,3,4,0,-1,0,0,stop,3,0,gemma-3-27b-it, 4
parallel_count,default,8,immediate,11,3,5,0,-1,0,0,stop,2,0,gemma-3-27b-it,5
parallel_count,default,8,immediate,12,2,3,0,-1,0,0,stop,3,0,gemma-3-27b-it, 3
parallel_count,default,8,immediate,13,2,4,0,-1,0,0,stop,3,0,gemma-3-27b-it, 4
parallel_count,default,8,immediate,14,6,5,0,-1,0,0,stop,3,0,gemma-3-27b-it, 5
parallel_count,default,8,immediate,15,2,4,0,-1,0,0,stop,3,0,gemma-3-27b-it, 4
parallel_count,default,8,immediate,16,3,4,0,-1,0,0,stop,3,0,gemma-3-27b-it, 4
parallel_count,default,8,immediate,17,5,5,1,-1,0,0,stop,3,0,gemma-3-27b-it, 5
parallel_count,default,8,immediate,18,5,5,1,-1,0,0,stop,3,0,gemma-3-27b-it, 5
parallel_count,default,8,immediate,19,5,4,0,-1,0,0,stop,3,0,gemma-3-27b-it, 4
parallel_count,default,8,immediate,20,5,4,0,-1,0,0,stop,3,0,gemma-3-27b-it, 4
parallel_count,default,8,immediate,21,3,4,0,-1,0,0,stop,3,0,gemma-3-27b-it, 4
parallel_count,default,8,immediate,22,4,4,1,-1,0,0,stop,3,0,gemma-3-27b-it, 4
parallel_count,default,8,immediate,23,2,3,0,-1,0,0,stop,3,0,gemma-3-27b-it, 3
parallel_count,default,8,immediate,24,4,6,0,-1,0,0,stop,3,0,gemma-3-27b-it, 6
parallel_count,default,8,immediate,25,3,4,0,-1,0,0,stop,2,0,gemma-3-27b-it,4
parallel_count,default,8,immediate,26,4,4,1,-1,0,0,stop,2,0,gemma-3-27b-it,4
parallel_count,default,8,immediate,27,3,5,0,-1,0,0,stop,3,0,gemma-3-27b-it, 5
parallel_count,default,8,immediate,28,3,6,0,-1,0,0,stop,3,0,gemma-3-27b-it, 6
parallel_count,default,8,immediate,29,5,5,1,-1,0,0,stop,3,0,gemma-3-27b-it, 5
parallel_count,default,16,immediate,0,9,10,0,-1,0,0,stop,4,0,gemma-3-27b-it, 10
parallel_count,default,16,immediate,1,3,8,0,-1,0,0,stop,3,0,gemma-3-27b-it, 8
parallel_count,default,16,immediate,2,8,7,0,-1,0,0,stop,2,0,gemma-3-27b-it,7
parallel_count,default,16,immediate,3,8,11,0,-1,0,0,stop,4,0,gemma-3-27b-it, 11
parallel_count,default,16,immediate,4,11,8,0,-1,0,0,stop,3,0,gemma-3-27b-it, 8
parallel_count,default,16,immediate,5,10,8,0,-1,0,0,stop,3,0,gemma-3-27b-it, 8
parallel_count,default,16,immediate,6,12,10,0,-1,0,0,stop,4,0,gemma-3-27b-it, 10
parallel_count,default,16,immediate,7,7,10,0,-1,0,0,stop,4,0,gemma-3-27b-it, 10
parallel_count,default,16,immediate,8,5,10,0,-1,0,0,stop,4,0,gemma-3-27b-it, 10
parallel_count,default,16,immediate,9,7,8,0,-1,0,0,stop,3,0,gemma-3-27b-it, 8
parallel_count,default,16,immediate,10,8,10,0,-1,0,0,stop,4,0,gemma-3-27b-it, 10
parallel_count,default,16,immediate,11,10,10,1,-1,0,0,stop,4,0,gemma-3-27b-it, 10
parallel_count,default,16,immediate,12,8,11,0,-1,0,0,stop,4,0,gemma-3-27b-it, 11
parallel_count,default,16,immediate,13,11,11,1,-1,0,0,stop,4,0,gemma-3-27b-it, 11
parallel_count,default,16,immediate,14,7,8,0,-1,0,0,stop,3,0,gemma-3-27b-it, 8
parallel_count,default,16,immediate,15,9,10,0,-1,0,0,stop,4,0,gemma-3-27b-it, 10
parallel_count,default,16,immediate,16,10,12,0,-1,0,0,stop,3,0,gemma-3-27b-it,12
parallel_count,default,16,immediate,17,9,8,0,-1,0,0,stop,3,0,gemma-3-27b-it, 8
parallel_count,default,16,immediate,18,8,7,0,-1,0,0,stop,2,0,gemma-3-27b-it,7
parallel_count,default,16,immediate,19,6,8,0,-1,0,0,stop,3,0,gemma-3-27b-it, 8
parallel_count,default,16,immediate,20,10,8,0,-1,0,0,stop,3,0,gemma-3-27b-it, 8
parallel_count,default,16,immediate,21,6,8,0,-1,0,0,stop,3,0,gemma-3-27b-it, 8
parallel_count,default,16,immediate,22,6,11,0,-1,0,0,stop,4,0,gemma-3-27b-it, 11
parallel_count,default,16,immediate,23,9,13,0,-1,0,0,stop,4,0,gemma-3-27b-it, 13
parallel_count,default,16,immediate,24,9,8,0,-1,0,0,stop,3,0,gemma-3-27b-it, 8
parallel_count,default,16,immediate,25,7,11,0,-1,0,0,stop,3,0,gemma-3-27b-it,11
parallel_count,default,16,immediate,26,12,8,0,-1,0,0,stop,2,0,gemma-3-27b-it,8
parallel_count,default,16,immediate,27,6,10,0,-1,0,0,stop,4,0,gemma-3-27b-it, 10
parallel_count,default,16,immediate,28,7,10,0,-1,0,0,stop,4,0,gemma-3-27b-it, 10
parallel_count,default,16,immediate,29,8,11,0,-1,0,0,stop,4,0,gemma-3-27b-it, 11
parallel_count,default,24,immediate,0,12,14,0,-1,0,0,stop,4,0,gemma-3-27b-it, 14
parallel_count,default,24,immediate,1,12,11,0,-1,0,0,stop,3,0,gemma-3-27b-it,11
parallel_count,default,24,immediate,2,7,13,0,-1,0,0,stop,3,0,gemma-3-27b-it,13
parallel_count,default,24,immediate,3,12,13,0,-1,0,0,stop,4,0,gemma-3-27b-it, 13
