task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
serial,default,2,immediate,0,IO,IO,1,2,0,0, IO
serial,default,2,immediate,1,DL,DL,1,2,0,0, DL
serial,default,2,immediate,2,RM,RM,1,2,0,0, RM
serial,default,2,immediate,3,OQ,OQ,1,2,0,0, OQ
serial,default,2,immediate,4,DZ,MQ,0,3,0,0, MQ
serial,default,2,immediate,5,QX,QX,1,2,0,0, QX
serial,default,2,immediate,6,SW,SW,1,2,0,0, SW
serial,default,2,immediate,7,ID,ID,1,2,0,0, ID
serial,default,2,immediate,8,ZC,AH,0,3,0,0, AH
serial,default,2,immediate,9,YI,FP,0,3,0,0, FP
serial,default,2,immediate,10,MM,SN,0,3,0,0, SN
serial,default,2,immediate,11,BS,BS,1,2,0,0, BS
serial,default,2,immediate,12,QI,CP,0,3,0,0, CP
serial,default,2,immediate,13,CW,CB,0,3,0,0, CB
serial,default,2,immediate,14,AF,AK,0,3,0,0, AK
serial,default,2,immediate,15,IA,IA,1,2,0,0, IA
serial,default,2,immediate,16,RB,RB,1,2,0,0, RB
serial,default,2,immediate,17,YQ,ZB,0,3,0,0, ZB
serial,default,2,immediate,18,US,UD,0,3,0,0, UD
serial,default,2,immediate,19,EZ,GO,0,3,0,0, GO
serial,default,2,immediate,20,IE,IE,1,2,0,0, IE
serial,default,2,immediate,21,NX,NX,1,2,0,0, NX
serial,default,2,immediate,22,GJ,GJ,1,2,0,0, GJ
serial,default,2,immediate,23,XE,XE,1,2,0,0, XE
serial,default,2,immediate,24,MH,MH,1,2,0,0, MH
serial,default,2,immediate,25,LQ,LQ,1,2,0,0, LQ
serial,default,2,immediate,26,JL,JL,1,2,0,0, JL
serial,default,2,immediate,27,AQ,AQ,1,2,0,0, AQ
serial,default,2,immediate,28,EZ,TG,0,3,0,0, TG
serial,default,2,immediate,29,VJ,VJ,1,2,0,0, VJ
serial,default,2,immediate,30,DL,DL,1,2,0,0, DL
serial,default,2,immediate,31,MD,MD,1,2,0,0, MD
serial,default,2,immediate,32,JV,JV,1,2,0,0, JV
serial,default,2,immediate,33,RP,RP,1,2,0,0, RP
serial,default,2,immediate,34,RU,BO,0,3,0,0, BO
serial,default,2,immediate,35,AF,NW,0,3,0,0, NW
serial,default,2,immediate,36,FI,FI,1,2,0,0, FI
serial,default,2,immediate,37,QW,QW,1,2,0,0, QW
serial,default,2,immediate,38,ZP,PV,0,3,0,0, PV
serial,default,2,immediate,39,ZO,ZO,1,2,0,0, ZO
serial,default,2,filler,0,IO,RM,0,3,0,0, RM
serial,default,2,filler,1,DL,DL,1,2,0,0, DL
serial,default,2,filler,2,RM,RM,1,2,0,0, RM
serial,default,2,filler,3,OQ,OQ,1,2,0,0, OQ
serial,default,2,filler,4,DZ,DZ,1,2,0,0, DZ
serial,default,2,filler,5,QX,QX,1,2,0,0, QX
serial,default,2,filler,6,SW,SW,1,2,0,0, SW
serial,default,2,filler,7,ID,ID,1,2,0,0, ID
serial,default,2,filler,8,ZC,ZC,1,2,0,0, ZC
serial,default,2,filler,9,YI,YI,1,2,0,0, YI
serial,default,2,filler,10,MM,SN,0,3,0,0, SN
serial,default,2,filler,11,BS,WC,0,3,0,0, WC
serial,default,2,filler,12,QI,CP,0,3,0,0, CP
serial,default,2,filler,13,CW,CB,0,3,0,0, CB
serial,default,2,filler,14,AF,AK,0,3,0,0, AK
serial,default,2,filler,15,IA,JJ,0,3,0,0, JJ
serial,default,2,filler,16,RB,RB,1,2,0,0, RB
serial,default,2,filler,17,YQ,ZB,0,3,0,0, ZB
serial,default,2,filler,18,US,UD,0,3,0,0, UD
serial,default,2,filler,19,EZ,GO,0,3,0,0, GO
serial,default,2,filler,20,IE,IE,1,2,0,0, IE
serial,default,2,filler,21,NX,WI,0,3,0,0, WI
serial,default,2,filler,22,GJ,GJ,1,2,0,0, GJ
serial,default,2,filler,23,XE,XE,1,2,0,0, XE
serial,default,2,filler,24,MH,MH,1,2,0,0, MH
serial,default,2,filler,25,LQ,LQ,1,2,0,0, LQ
serial,default,2,filler,26,JL,JL,1,2,0,0, JL
serial,default,2,filler,27,AQ,AQ,1,2,0,0, AQ
serial,default,2,filler,28,EZ,EZ,1,2,0,0, EZ
serial,default,2,filler,29,VJ,VJ,1,2,0,0, VJ
serial,default,2,filler,30,DL,DL,1,2,0,0, DL
serial,default,2,filler,31,MD,MD,1,2,0,0, MD
serial,default,2,filler,32,JV,JV,1,2,0,0, JV
serial,default,2,filler,33,RP,RP,1,2,0,0, RP
serial,default,2,filler,34,RU,RU,1,2,0,0, RU
serial,default,2,filler,35,AF,AF,1,2,0,0, AF
serial,default,2,filler,36,FI,RT,0,3,0,0, RT
serial,default,2,filler,37,QW,QW,1,2,0,0, QW
serial,default,2,filler,38,ZP,ZP,1,2,0,0, ZP
serial,default,2,filler,39,ZO,ZO,1,2,0,0, ZO
serial,default,3,immediate,0,GT,GT,1,3,0,0, GT
serial,default,3,immediate,1,HC,ET,0,4,0,0, ET
serial,default,3,immediate,2,VM,VM,1,3,0,0, VM
serial,default,3,immediate,3,RB,NO,0,4,0,0, NO
serial,default,3,immediate,4,CM,CM,1,3,0,0, CM
serial,default,3,immediate,5,PK,WK,0,4,0,0, WK
serial,default,3,immediate,6,SY,SY,1,3,0,0, SY
serial,default,3,immediate,7,SQ,SQ,1,3,0,0, SQ
serial,default,3,immediate,8,RF,RF,1,3,0,0, RF
serial,default,3,immediate,9,TP,DE,0,2,0,0, DE
serial,default,3,immediate,10,HM,HX,0,4,0,0, HX
serial,default,3,immediate,11,NP,NP,1,3,0,0, NP
serial,default,3,immediate,12,WB,WB,1,3,0,0, WB
serial,default,3,immediate,13,MM,LO,0,2,0,0, LO
serial,default,3,immediate,14,AG,SA,0,4,0,0, SA
serial,default,3,immediate,15,GV,IM,0,5,0,0, IM
serial,default,3,immediate,16,EN,EN,1,3,0,0, EN
serial,default,3,immediate,17,UB,DF,0,9,0,0, DF
serial,default,3,immediate,18,TC,CO,0,4,0,0, CO
serial,default,3,immediate,19,OA,OA,1,3,0,0, OA
serial,default,3,immediate,20,SC,HP,0,5,0,0, HP
serial,default,3,immediate,21,SV,SV,1,3,0,0, SV
serial,default,3,immediate,22,PU,PU,1,3,0,0, PU
serial,default,3,immediate,23,PU,PU,1,3,0,0, PU
serial,default,3,immediate,24,YW,XT,0,2,0,0, XT
serial,default,3,immediate,25,YK,UJ,0,6,0,0, UJ
serial,default,3,immediate,26,NX,NX,1,3,0,0, NX
serial,default,3,immediate,27,ZR,KL,0,7,0,0, KL
serial,default,3,immediate,28,YQ,YQ,1,3,0,0, YQ
serial,default,3,immediate,29,KC,KC,1,3,0,0, KC
serial,default,3,immediate,30,MK,QW,0,5,0,0, QW
serial,default,3,immediate,31,FD,TW,0,4,0,0, TW
serial,default,3,immediate,32,RE,BK,0,5,0,0, BK
serial,default,3,immediate,33,GD,DN,0,4,0,0, DN
serial,default,3,immediate,34,SW,OO,0,11,0,0, OO
serial,default,3,immediate,35,YS,MF,0,4,0,0, MF
serial,default,3,immediate,36,TD,LO,0,6,0,0, LO
serial,default,3,immediate,37,LO,LO,1,3,0,0, LO
serial,default,3,immediate,38,CI,CI,1,3,0,0, CI
serial,default,3,immediate,39,FW,BC,0,4,0,0, BC
serial,default,3,filler,0,GT,YZ,0,2,0,0, YZ
serial,default,3,filler,1,HC,ET,0,4,0,0, ET
serial,default,3,filler,2,VM,VM,1,3,0,0, VM
serial,default,3,filler,3,RB,NO,0,4,0,0, NO
serial,default,3,filler,4,CM,CM,1,3,0,0, CM
serial,default,3,filler,5,PK,TH,0,9,0,0, TH
serial,default,3,filler,6,SY,SU,0,4,0,0, SU
serial,default,3,filler,7,SQ,SQ,1,3,0,0, SQ
serial,default,3,filler,8,RF,RF,1,3,0,0, RF
serial,default,3,filler,9,TP,TP,1,3,0,0, TP
serial,default,3,filler,10,HM,HM,1,3,0,0, HM
serial,default,3,filler,11,NP,VH,0,9,0,0, VH
serial,default,3,filler,12,WB,BX,0,4,0,0, BX
serial,default,3,filler,13,MM,JV,0,4,0,0, JV
serial,default,3,filler,14,AG,SA,0,4,0,0, SA
serial,default,3,filler,15,GV,QS,0,6,0,0, QS
serial,default,3,filler,16,EN,EN,1,3,0,0, EN
serial,default,3,filler,17,UB,DR,0,2,0,0, DR
serial,default,3,filler,18,TC,CO,0,4,0,0, CO
serial,default,3,filler,19,OA,OA,1,3,0,0, OA
serial,default,3,filler,20,SC,WD,0,4,0,0, WD
serial,default,3,filler,21,SV,SV,1,3,0,0, SV
