task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,finish,out_tokens,reasoning_tokens,model,completion
serial,default,2,filler,0,QH,HW,0,3,0,0,stop,2,0,gemma-3-27b-it, HW
serial,default,2,filler,1,TF,TF,1,2,0,0,stop,2,0,gemma-3-27b-it, TF
serial,default,2,filler,2,IC,IC,1,2,0,0,stop,2,0,gemma-3-27b-it, IC
serial,default,2,filler,3,HI,HI,1,2,0,0,stop,2,0,gemma-3-27b-it, HI
serial,default,2,filler,4,FU,WZ,0,3,0,0,stop,3,0,gemma-3-27b-it, WZ
serial,default,2,filler,5,JV,YD,0,9,0,0,stop,3,0,gemma-3-27b-it, YD
serial,default,2,filler,6,IF,MI,0,3,0,0,stop,2,0,gemma-3-27b-it, MI
serial,default,2,filler,7,WQ,WQ,1,2,0,0,stop,3,0,gemma-3-27b-it, WQ
serial,default,2,filler,8,JM,JM,1,2,0,0,stop,2,0,gemma-3-27b-it, JM
serial,default,2,filler,9,ZT,ZT,1,2,0,0,stop,3,0,gemma-3-27b-it, ZT
serial,default,2,filler,10,MS,ER,0,1,0,0,stop,2,0,gemma-3-27b-it, ER
serial,default,2,filler,11,HW,HW,1,2,0,0,stop,2,0,gemma-3-27b-it, HW
serial,default,2,filler,12,GG,XS,0,3,0,0,stop,2,0,gemma-3-27b-it, XS
serial,default,2,filler,13,AB,QD,0,7,0,0,stop,2,0,gemma-3-27b-it, QD
serial,default,2,filler,14,CW,CW,1,2,0,0,stop,2,0,gemma-3-27b-it, CW
serial,default,2,filler,15,ZS,FU,0,1,0,0,stop,2,0,gemma-3-27b-it, FU
serial,default,2,filler,16,MZ,RD,0,8,0,0,stop,2,0,gemma-3-27b-it, RD
serial,default,2,filler,17,YM,HU,0,3,0,0,stop,2,0,gemma-3-27b-it, HU
serial,default,2,filler,18,EP,FF,0,3,0,0,stop,2,0,gemma-3-27b-it, FF
serial,default,2,filler,19,QQ,RG,0,3,0,0,stop,2,0,gemma-3-27b-it, RG
serial,default,2,filler,20,GB,EO,0,7,0,0,stop,2,0,gemma-3-27b-it, EO
serial,default,2,filler,21,GG,TS,0,3,0,0,stop,2,0,gemma-3-27b-it, TS
serial,default,2,filler,22,DS,DS,1,2,0,0,stop,2,0,gemma-3-27b-it, DS
serial,default,2,filler,23,NE,BS,0,4,0,0,stop,2,0,gemma-3-27b-it, BS
serial,default,2,filler,24,EL,CO,0,3,0,0,stop,2,0,gemma-3-27b-it, CO
serial,default,2,filler,25,MX,PG,0,3,0,0,stop,2,0,gemma-3-27b-it, PG
serial,default,2,filler,26,HP,MJ,0,6,0,0,stop,2,0,gemma-3-27b-it, MJ
serial,default,2,filler,27,ET,ET,1,2,0,0,stop,2,0,gemma-3-27b-it,ET
serial,default,2,filler,28,RF,EO,0,1,0,0,stop,2,0,gemma-3-27b-it, EO
serial,default,2,filler,29,OL,QQ,0,3,0,0,stop,2,0,gemma-3-27b-it, QQ
serial,default,2,filler,30,MS,MS,1,2,0,0,stop,2,0,gemma-3-27b-it, MS
serial,default,2,filler,31,KN,BE,0,0,0,0,stop,2,0,gemma-3-27b-it,BE
serial,default,2,filler,32,KN,KN,1,2,0,0,stop,2,0,gemma-3-27b-it, KN
serial,default,2,filler,33,BX,BX,1,2,0,0,stop,2,0,gemma-3-27b-it, BX
serial,default,2,filler,34,HH,HH,1,2,0,0,stop,2,0,gemma-3-27b-it, HH
serial,default,2,filler,35,XO,IO,0,7,0,0,stop,2,0,gemma-3-27b-it, IO
serial,default,2,filler,36,PW,PW,1,2,0,0,stop,2,0,gemma-3-27b-it, PW
serial,default,2,filler,37,TL,TL,1,2,0,0,stop,2,0,gemma-3-27b-it, TL
serial,default,2,filler,38,AC,YB,0,1,0,0,stop,3,0,gemma-3-27b-it, YB
serial,default,2,filler,39,GZ,HC,0,1,0,0,stop,2,0,gemma-3-27b-it, HC
serial,default,2,filler,40,FS,GG,0,0,0,0,stop,2,0,gemma-3-27b-it, GG
serial,default,2,filler,41,JR,RW,0,1,0,0,stop,2,0,gemma-3-27b-it, RW
