task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
serial,explicit,1,immediate,0,SI,SI,1,1,0,0, SI
serial,explicit,1,immediate,1,IK,IK,1,1,0,0, IK
serial,explicit,1,immediate,2,VB,VB,1,1,0,0, VB
serial,explicit,1,immediate,3,VV,VV,1,1,0,0, VV
serial,explicit,1,immediate,4,XO,XO,1,1,0,0, XO
serial,explicit,1,immediate,5,HU,HU,1,1,0,0, HU
serial,explicit,1,immediate,6,BV,BV,1,1,0,0, BV
serial,explicit,1,immediate,7,RB,RB,1,1,0,0, RB
serial,explicit,1,immediate,8,NR,NR,1,1,0,0, NR
serial,explicit,1,immediate,9,RX,RX,1,1,0,0, RX
serial,explicit,1,immediate,10,TO,TO,1,1,0,0, TO
serial,explicit,1,immediate,11,QK,QK,1,1,0,0, QK
serial,explicit,1,immediate,12,RN,RN,1,1,0,0, RN
serial,explicit,1,immediate,13,BK,BK,1,1,0,0, BK
serial,explicit,1,immediate,14,RD,RD,1,1,0,0, RD
serial,explicit,1,immediate,15,ZF,ZF,1,1,0,0, ZF
serial,explicit,1,immediate,16,JB,JB,1,1,0,0, JB
serial,explicit,1,immediate,17,QV,QV,1,1,0,0, QV
serial,explicit,1,immediate,18,RV,RV,1,1,0,0, RV
serial,explicit,1,immediate,19,VQ,VQ,1,1,0,0, VQ
serial,explicit,1,immediate,20,UF,UF,1,1,0,0, UF
serial,explicit,1,immediate,21,BB,BB,1,1,0,0, BB
serial,explicit,1,immediate,22,WQ,WQ,1,1,0,0, WQ
serial,explicit,1,immediate,23,PL,PL,1,1,0,0, PL
serial,explicit,1,immediate,24,VG,VG,1,1,0,0, VG
serial,explicit,1,immediate,25,MJ,MJ,1,1,0,0, MJ
serial,explicit,1,immediate,26,RZ,RZ,1,1,0,0, RZ
serial,explicit,1,immediate,27,TK,TK,1,1,0,0, TK
serial,explicit,1,immediate,28,AC,AC,1,1,0,0, AC
serial,explicit,1,immediate,29,HR,HR,1,1,0,0, HR
serial,explicit,1,immediate,30,GC,GC,1,1,0,0, GC
serial,explicit,1,immediate,31,BO,BO,1,1,0,0, BO
serial,explicit,1,immediate,32,IV,IV,1,1,0,0, IV
serial,explicit,1,immediate,33,SY,SY,1,1,0,0, SY
serial,explicit,1,immediate,34,DO,DO,1,1,0,0, DO
serial,explicit,1,immediate,35,YH,YH,1,1,0,0, YH
serial,explicit,1,immediate,36,AV,AV,1,1,0,0, AV
serial,explicit,1,immediate,37,HQ,HQ,1,1,0,0, HQ
serial,explicit,1,immediate,38,GS,GS,1,1,0,0, GS
serial,explicit,1,immediate,39,HH,HH,1,1,0,0, HH
serial,explicit,2,immediate,0,BD,BD,1,2,0,0, BD
serial,explicit,2,immediate,1,OB,TO,0,4,0,0, TO
serial,explicit,2,immediate,2,LS,LS,1,2,0,0, LS
serial,explicit,2,immediate,3,FT,FT,1,2,0,0, FT
serial,explicit,2,immediate,4,NU,KQ,0,3,0,0, KQ
serial,explicit,2,immediate,5,KC,KC,1,2,0,0, KC
serial,explicit,2,immediate,6,SM,SM,1,2,0,0, SM
serial,explicit,2,immediate,7,KQ,MH,0,3,0,0, MH
serial,explicit,2,immediate,8,IH,QB,0,3,0,0, QB
serial,explicit,2,immediate,9,DF,DF,1,2,0,0, DF
serial,explicit,2,immediate,10,HX,KN,0,3,0,0, KN
serial,explicit,2,immediate,11,EX,EX,1,2,0,0, EX
serial,explicit,2,immediate,12,YP,YP,1,2,0,0, YP
serial,explicit,2,immediate,13,ST,ST,1,2,0,0, ST
serial,explicit,2,immediate,14,XI,XI,1,2,0,0, XI
serial,explicit,2,immediate,15,TK,TK,1,2,0,0, TK
serial,explicit,2,immediate,16,IC,IC,1,2,0,0, IC
serial,explicit,2,immediate,17,IB,IB,1,2,0,0, IB
serial,explicit,2,immediate,18,OE,IW,0,3,0,0, IW
serial,explicit,2,immediate,19,XD,TM,0,3,0,0, TM
serial,explicit,2,immediate,20,YC,QJ,0,3,0,0, QJ
serial,explicit,2,immediate,21,SW,SW,1,2,0,0, SW
serial,explicit,2,immediate,22,JI,SE,0,4,0,0, SE
serial,explicit,2,immediate,23,XC,IU,0,3,0,0, IU
serial,explicit,2,immediate,24,GW,GW,1,2,0,0, GW
serial,explicit,2,immediate,25,LD,KW,0,4,0,0, KW
serial,explicit,2,immediate,26,LM,AM,0,3,0,0, AM
serial,explicit,2,immediate,27,BL,BL,1,2,0,0, BL
serial,explicit,2,immediate,28,IU,IU,1,2,0,0, IU
serial,explicit,2,immediate,29,FB,QJ,0,3,0,0, QJ
serial,explicit,2,immediate,30,US,AJ,0,3,0,0, AJ
serial,explicit,2,immediate,31,NT,NT,1,2,0,0, NT
serial,explicit,2,immediate,32,ZZ,QY,0,3,0,0, QY
serial,explicit,2,immediate,33,VA,PY,0,3,0,0, PY
serial,explicit,2,immediate,34,LY,TP,0,3,0,0, TP
serial,explicit,2,immediate,35,AI,AI,1,2,0,0, AI
serial,explicit,2,immediate,36,GQ,MN,0,3,0,0, MN
serial,explicit,2,immediate,37,NJ,PF,0,3,0,0, PF
serial,explicit,2,immediate,38,QC,QC,1,2,0,0, QC
serial,explicit,2,immediate,39,PG,UT,0,3,0,0, UT
serial,explicit,3,immediate,0,OD,OD,1,3,0,0, OD
serial,explicit,3,immediate,1,ZR,MG,0,2,0,0, MG
serial,explicit,3,immediate,2,ML,ML,1,3,0,0, ML
serial,explicit,3,immediate,3,GD,VL,0,4,0,0, VL
serial,explicit,3,immediate,4,OQ,OQ,1,3,0,0, OQ
serial,explicit,3,immediate,5,JX,DQ,0,11,0,0, DQ
serial,explicit,3,immediate,6,AD,AD,1,3,0,0, AD
serial,explicit,3,immediate,7,YB,YB,1,3,0,0, YB
serial,explicit,3,immediate,8,YN,YN,1,3,0,0, YN
serial,explicit,3,immediate,9,KK,KK,1,3,0,0, KK
serial,explicit,3,immediate,10,MV,XH,0,4,0,0, XH
serial,explicit,3,immediate,11,DS,DJ,0,4,0,0, DJ
serial,explicit,3,immediate,12,SP,IP,0,8,0,0, IP
serial,explicit,3,immediate,13,GQ,GQ,1,3,0,0, GQ
serial,explicit,3,immediate,14,AV,FW,0,5,0,0, FW
serial,explicit,3,immediate,15,OA,OA,1,3,0,0, OA
serial,explicit,3,immediate,16,CO,CO,1,3,0,0, CO
serial,explicit,3,immediate,17,PO,OH,0,4,0,0, OH
serial,explicit,3,immediate,18,IA,IR,0,4,0,0, IR
serial,explicit,3,immediate,19,ER,ER,1,3,0,0, ER
serial,explicit,3,immediate,20,UV,UV,1,3,0,0, UV
serial,explicit,3,immediate,21,GG,GG,1,3,0,0, GG
serial,explicit,3,immediate,22,VU,VU,1,3,0,0, VU
serial,explicit,3,immediate,23,VN,VN,1,3,0,0, VN
serial,explicit,3,immediate,24,XO,XO,1,3,0,0, XO
serial,explicit,3,immediate,25,DO,DO,1,3,0,0, DO
serial,explicit,3,immediate,26,KT,KT,1,3,0,0, KT
serial,explicit,3,immediate,27,IH,ZR,0,4,0,0, ZR
serial,explicit,3,immediate,28,CF,TF,0,5,0,0, TF
serial,explicit,3,immediate,29,RZ,RZ,1,3,0,0, RZ
serial,explicit,3,immediate,30,PJ,HZ,0,4,0,0, HZ
serial,explicit,3,immediate,31,MX,MX,1,3,0,0, MX
serial,explicit,3,immediate,32,TD,TD,1,3,0,0, TD
serial,explicit,3,immediate,33,GC,GC,1,3,0,0, GC
serial,explicit,3,immediate,34,GL,GL,1,3,0,0, GL
serial,explicit,3,immediate,35,UK,UK,1,3,0,0, UK
serial,explicit,3,immediate,36,ED,ED,1,3,0,0, ED
serial,explicit,3,immediate,37,FA,FA,1,3,0,0, FA
serial,explicit,3,immediate,38,FZ,TB,0,2,0,0, TB
serial,explicit,3,immediate,39,IO,IO,1,3,0,0, IO
serial,explicit,4,immediate,0,ZT,ZT,1,4,0,0, ZT
serial,explicit,4,immediate,1,LF,LF,1,4,0,0, LF
serial,explicit,4,immediate,2,JA,JL,0,5,0,0, JL
serial,explicit,4,immediate,3,RF,RF,1,4,0,0, RF
serial,explicit,4,immediate,4,VI,QW,0,8,0,0, QW
serial,explicit,4,immediate,5,YY,YX,0,7,0,0, YX
serial,explicit,4,immediate,6,YR,ES,0,6,0,0, ES
serial,explicit,4,immediate,7,WK,WK,1,4,0,0, WK
serial,explicit,4,immediate,8,TM,AE,0,3,0,0, AE
serial,explicit,4,immediate,9,XC,QJ,0,5,0,0, QJ
serial,explicit,4,immediate,10,XL,NH,0,5,0,0, NH
serial,explicit,4,immediate,11,NF,BN,0,5,0,0, BN
serial,explicit,4,immediate,12,RU,OH,0,3,0,0, OH
serial,explicit,4,immediate,13,RT,XI,0,3,0,0, XI
serial,explicit,4,immediate,14,QQ,XM,0,3,0,0, XM
serial,explicit,4,immediate,15,OX,TJ,0,3,0,0, TJ
serial,explicit,4,immediate,16,YK,XZ,0,7,0,0, XZ
serial,explicit,4,immediate,17,BD,BQ,0,6,0,0, BQ
serial,explicit,4,immediate,18,VO,MU,0,6,0,0, MU
serial,explicit,4,immediate,19,VI,VI,1,4,0,0, VI
serial,explicit,4,immediate,20,WZ,WZ,1,4,0,0, WZ
serial,explicit,4,immediate,21,HV,PR,0,6,0,0, PR
serial,explicit,4,immediate,22,RV,RV,1,4,0,0, RV
serial,explicit,4,immediate,23,IZ,SO,0,3,0,0, SO
serial,explicit,4,immediate,24,UQ,UQ,1,4,0,0, UQ
serial,explicit,4,immediate,25,UM,MI,0,6,0,0, MI
serial,explicit,4,immediate,26,UA,UA,1,4,0,0, UA
serial,explicit,4,immediate,27,DX,DX,1,4,0,0, DX
serial,explicit,4,immediate,28,XY,HT,0,3,0,0, HT
serial,explicit,4,immediate,29,ZC,ZC,1,4,0,0, ZC
serial,explicit,4,immediate,30,RI,ZI,0,6,0,0, ZI
serial,explicit,4,immediate,31,GC,LR,0,9,0,0, LR
serial,explicit,4,immediate,32,FQ,JB,0,6,0,0, JB
serial,explicit,4,immediate,33,ND,WV,0,3,0,0, WV
serial,explicit,4,immediate,34,LO,YV,0,6,0,0, YV
serial,explicit,4,immediate,35,JH,UQ,0,5,0,0, UQ
serial,explicit,4,immediate,36,SR,QW,0,3,0,0, QW
serial,explicit,4,immediate,37,CU,MM,0,5,0,0, MM
serial,explicit,4,immediate,38,BT,ZE,0,3,0,0, ZE
serial,explicit,4,immediate,39,EA,NF,0,5,0,0, NF
serial,explicit,6,immediate,0,GN,XZ,0,9,0,0, XZ
serial,explicit,6,immediate,1,OJ,IK,0,11,0,0, IK
serial,explicit,6,immediate,2,JK,JK,1,6,0,0, JK
serial,explicit,6,immediate,3,HE,HE,1,6,0,0, HE
serial,explicit,6,immediate,4,MZ,KF,0,2,0,0, KF
serial,explicit,6,immediate,5,BC,DQ,0,2,0,0, DQ
serial,explicit,6,immediate,6,QO,QO,1,6,0,0, QO
serial,explicit,6,immediate,7,RT,VI,0,7,0,0, VI
serial,explicit,6,immediate,8,NP,NP,1,6,0,0, NP
serial,explicit,6,immediate,9,PR,YJ,0,10,0,0, YJ
serial,explicit,6,immediate,10,VO,YQ,0,5,0,0, YQ
serial,explicit,6,immediate,11,KU,LY,0,4,0,0, LY
serial,explicit,6,immediate,12,ZV,XU,0,8,0,0, XU
serial,explicit,6,immediate,13,DU,JJ,0,4,0,0, JJ
serial,explicit,6,immediate,14,II,XZ,0,9,0,0, XZ
serial,explicit,6,immediate,15,GG,GT,0,7,0,0, GT
serial,explicit,6,immediate,16,DD,DU,0,4,0,0, DU
serial,explicit,6,immediate,17,RI,NQ,0,10,0,0, NQ
serial,explicit,6,immediate,18,DX,DX,1,6,0,0, DX
serial,explicit,6,immediate,19,HC,JP,0,8,0,0, JP
serial,explicit,6,immediate,20,YH,KI,0,3,0,0, KI
serial,explicit,6,immediate,21,RC,PZ,0,4,0,0, PZ
serial,explicit,6,immediate,22,GE,GE,1,6,0,0, GE
serial,explicit,6,immediate,23,CU,AT,0,9,0,0, AT
serial,explicit,6,immediate,24,KC,FU,0,9,0,0, FU
serial,explicit,6,immediate,25,QM,QM,1,6,0,0, QM
serial,explicit,6,immediate,26,HD,RW,0,10,0,0, RW
serial,explicit,6,immediate,27,SW,XW,0,4,0,0, XW
serial,explicit,6,immediate,28,SE,AA,0,5,0,0, AA
serial,explicit,6,immediate,29,LZ,IQ,0,0,0,0, IQ
serial,explicit,6,immediate,30,ZF,TJ,0,3,0,0, TJ
serial,explicit,6,immediate,31,UX,YQ,0,11,0,0, YQ
serial,explicit,6,immediate,32,ZO,WM,0,8,0,0, WM
serial,explicit,6,immediate,33,QZ,KT,0,9,0,0, KT
serial,explicit,6,immediate,34,MX,TP,0,4,0,0, TP
serial,explicit,6,immediate,35,FS,IP,0,8,0,0, IP
serial,explicit,6,immediate,36,HQ,FM,0,5,0,0, FM
serial,explicit,6,immediate,37,PK,WG,0,7,0,0, WG
serial,explicit,6,immediate,38,VJ,ZT,0,4,0,0, ZT
serial,explicit,6,immediate,39,WQ,WQ,1,6,0,0, WQ
serial,explicit,8,immediate,0,XE,PA,0,4,0,0, PA
serial,explicit,8,immediate,1,HB,HS,0,10,0,0, HS
serial,explicit,8,immediate,2,PA,XW,0,11,0,0, XW
serial,explicit,8,immediate,3,PL,TL,0,10,0,0, TL
serial,explicit,8,immediate,4,IQ,RC,0,4,0,0, RC
serial,explicit,8,immediate,5,YL,QL,0,11,0,0, QL
serial,explicit,8,immediate,6,UJ,UJ,1,8,0,0, UJ
serial,explicit,8,immediate,7,RO,YP,0,6,0,0, YP
serial,explicit,8,immediate,8,CD,XB,0,6,0,0, XB
serial,explicit,8,immediate,9,AV,QX,0,5,0,0, QX
serial,explicit,8,immediate,10,WL,YW,0,9,0,0, YW
serial,explicit,8,immediate,11,CO,KR,0,5,0,0, KR
serial,explicit,8,immediate,12,IZ,TH,0,10,0,0, TH
serial,explicit,8,immediate,13,RE,PK,0,9,0,0, PK
serial,explicit,8,immediate,14,NN,GW,0,3,0,0, GW
serial,explicit,8,immediate,15,NH,JQ,0,7,0,0, JQ
serial,explicit,8,immediate,16,RN,DP,0,9,0,0, DP
serial,explicit,8,immediate,17,NR,NR,1,8,0,0, NR
