k,condition,idx,gold,pred,correct,leak,eff_hops,chain,error,completion
1,immediate,0,BK,BK,1,0,1,YQ BK,0,BK
1,immediate,1,XF,XF,1,0,1,KD XF,0,Answer: XF
1,immediate,2,FD,FD,1,0,1,OO FD,0,FD
1,immediate,3,NJ,NJ,1,0,1,FS NJ,0,NJ
1,immediate,4,IL,IL,1,0,1,ZP IL,0,IL
1,immediate,5,KF,KF,1,0,1,EC KF,0,Answer: KF
1,immediate,6,IH,IH,1,0,1,ZR IH,0,IH
1,immediate,7,NW,NW,1,0,1,BG NW,0,NW
1,immediate,8,OO,OO,1,0,1,HK OO,0,Answer: OO
1,immediate,9,PY,PY,1,0,1,YC PY,0,PY
1,immediate,10,VB,VB,1,0,1,KT VB,0,VB
1,immediate,11,FO,FO,1,0,1,BK FO,0,FO
1,immediate,12,BH,BH,1,0,1,NJ BH,0,BH
1,immediate,13,QM,QM,1,0,1,CK QM,0,QM
1,immediate,14,WR,WR,1,0,1,WV WR,0,WR
1,immediate,15,CY,CY,1,0,1,WW CY,0,CY
1,immediate,16,ES,ES,1,0,1,BK ES,0,ES
1,immediate,17,JO,JO,1,0,1,EV JO,0,JO
1,immediate,18,CV,CV,1,0,1,QY CV,0,CV
1,immediate,19,KF,KF,1,0,1,MS KF,0,KF
1,immediate,20,SR,SR,1,0,1,RU SR,0,SR
1,immediate,21,ZT,ZT,1,0,1,EC ZT,0,ZT
1,immediate,22,QI,QI,1,0,1,ZQ QI,0,QI
1,immediate,23,HW,HW,1,0,1,HC HW,0,HW
1,immediate,24,YS,YS,1,0,1,PN YS,0,YS
1,immediate,25,CK,CK,1,0,1,OE CK,0,CK
1,immediate,26,IS,IS,1,0,1,AS IS,0,IS
1,immediate,27,WN,WN,1,0,1,HR WN,0,WN
1,immediate,28,DP,DP,1,0,1,LT DP,0,DP
1,immediate,29,FK,FK,1,0,1,AM FK,0,FK
1,filler,0,BK,BK,1,0,1,YQ BK,0,BK
1,filler,1,XF,XF,1,0,1,KD XF,0,XF
1,filler,2,FD,FD,1,0,1,OO FD,0,FD
1,filler,3,NJ,NJ,1,0,1,FS NJ,0,NJ
1,filler,4,IL,IL,1,0,1,ZP IL,0,IL
1,filler,5,KF,KF,1,0,1,EC KF,0,KF
1,filler,6,IH,IH,1,0,1,ZR IH,0,IH
1,filler,7,NW,NW,1,0,1,BG NW,0,NW
1,filler,8,OO,OO,1,0,1,HK OO,0,OO
1,filler,9,PY,PY,1,0,1,YC PY,0,PY
1,filler,10,VB,VB,1,0,1,KT VB,0,VB
1,filler,11,FO,FO,1,0,1,BK FO,0,FO
1,filler,12,BH,BH,1,0,1,NJ BH,0,BH
1,filler,13,QM,QM,1,0,1,CK QM,0,QM
1,filler,14,WR,WR,1,0,1,WV WR,0,WR
1,filler,15,CY,CY,1,0,1,WW CY,0,CY
1,filler,16,ES,ES,1,0,1,BK ES,0,ES
1,filler,17,JO,JO,1,0,1,EV JO,0,JO
1,filler,18,CV,CV,1,0,1,QY CV,0,CV
1,filler,19,KF,KF,1,0,1,MS KF,0,KF
1,filler,20,SR,SR,1,0,1,RU SR,0,SR
1,filler,21,ZT,ZT,1,0,1,EC ZT,0,ZT
1,filler,22,QI,QI,1,0,1,ZQ QI,0,Answer: QI
1,filler,23,HW,HW,1,0,1,HC HW,0,HW
1,filler,24,YS,YS,1,0,1,PN YS,0,YS
1,filler,25,CK,CK,1,0,1,OE CK,0,CK
1,filler,26,IS,IS,1,0,1,AS IS,0,IS
1,filler,27,WN,WN,1,0,1,HR WN,0,WN
1,filler,28,DP,DP,1,0,1,LT DP,0,Answer: DP
1,filler,29,FK,FK,1,0,1,AM FK,0,FK
1,cot,0,BK,BK,1,0,1,YQ BK,0,"Following the chain: YQ -> BK.
Answer: BK"
1,cot,1,XF,XF,1,0,1,KD XF,0,"Following the chain: KD -> XF.
Answer: XF"
1,cot,2,FD,FD,1,0,1,OO FD,0,"Following the chain: OO -> FD.
Answer: FD"
1,cot,3,NJ,NJ,1,0,1,FS NJ,0,"Following the chain: FS -> NJ.
Answer: NJ"
1,cot,4,IL,IL,1,0,1,ZP IL,0,"Following the chain: ZP -> IL.
Answer: IL"
1,cot,5,KF,KF,1,0,1,EC KF,0,"Following the chain: EC -> KF.
Answer: KF"
1,cot,6,IH,IH,1,0,1,ZR IH,0,"Following the chain: ZR -> IH.
Answer: IH"
1,cot,7,NW,NW,1,0,1,BG NW,0,"Following the chain: BG -> NW.
Answer: NW"
1,cot,8,OO,OO,1,0,1,HK OO,0,"Following the chain: HK -> OO.
Answer: OO"
1,cot,9,PY,PY,1,0,1,YC PY,0,"Following the chain: YC -> PY.
Answer: PY"
1,cot,10,VB,VB,1,0,1,KT VB,0,"Following the chain: KT -> VB.
Answer: VB"
1,cot,11,FO,FO,1,0,1,BK FO,0,"Following the chain: BK -> FO.
Answer: FO"
1,cot,12,BH,BH,1,0,1,NJ BH,0,"Following the chain: NJ -> BH.
Answer: BH"
1,cot,13,QM,QM,1,0,1,CK QM,0,"Following the chain: CK -> QM.
Answer: QM"
1,cot,14,WR,WR,1,0,1,WV WR,0,"Following the chain: WV -> WR.
Answer: WR"
1,cot,15,CY,CY,1,0,1,WW CY,0,"Following the chain: WW -> CY.
Answer: CY"
1,cot,16,ES,ES,1,0,1,BK ES,0,"Following the chain: BK -> ES.
Answer: ES"
1,cot,17,JO,JO,1,0,1,EV JO,0,"Following the chain: EV -> JO.
Answer: JO"
1,cot,18,CV,CV,1,0,1,QY CV,0,"Following the chain: QY -> CV.
Answer: CV"
1,cot,19,KF,KF,1,0,1,MS KF,0,"Following the chain: MS -> KF.
Answer: KF"
1,cot,20,SR,SR,1,0,1,RU SR,0,"Following the chain: RU -> SR.
Answer: SR"
1,cot,21,ZT,ZT,1,0,1,EC ZT,0,"Following the chain: EC -> ZT.
Answer: ZT"
