task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
serial,default,2,immediate,0,VM,VM,1,2,0,0,Answer: VM
serial,default,2,immediate,1,IG,GR,0,3,0,0,Answer: GR
serial,default,2,immediate,2,DF,DC,0,10,0,0,Answer: DC
serial,default,2,immediate,3,DK,DK,1,2,0,0,Answer: DK
serial,default,2,immediate,4,UH,YW,0,3,0,0,Answer: YW
serial,default,2,immediate,5,OZ,NJ,0,3,0,0,Answer: NJ
serial,default,2,immediate,6,SR,HM,0,3,0,0, HM
serial,default,2,immediate,7,ZX,LE,0,3,0,0,Answer: LE
serial,default,2,immediate,8,DK,SP,0,10,0,0,Answer: SP
serial,default,2,immediate,9,TF,LF,0,9,0,0,Answer: LF
serial,default,2,immediate,10,ID,KZ,0,3,0,0,Answer: KZ
serial,default,2,immediate,11,OM,FT,0,3,0,0,Answer: FT
serial,default,2,immediate,12,IR,IR,1,2,0,0,Answer: IR
serial,default,2,immediate,13,ZZ,OT,0,4,0,0,Answer: OT
serial,default,2,immediate,14,IC,IC,1,2,0,0,Answer: IC
serial,default,2,immediate,15,VI,VY,0,5,0,0,Answer: VY
serial,default,2,immediate,16,DX,DK,0,3,0,0,DK
serial,default,2,immediate,17,OJ,OJ,1,2,0,0,Answer: OJ
serial,default,2,immediate,18,YW,PL,0,4,0,0, PL
serial,default,2,immediate,19,RP,IQ,0,3,0,0,Answer: IQ
serial,default,2,immediate,20,JW,EW,0,4,0,0,Answer: EW
serial,default,2,immediate,21,PW,YT,0,3,0,0,Answer: YT
serial,default,2,immediate,22,RW,EX,0,3,0,0,Answer: EX
serial,default,2,immediate,23,JZ,IV,0,3,0,0,Answer: IV
serial,default,2,immediate,24,FS,VT,0,4,0,0,Answer: VT
serial,default,2,immediate,25,NR,NR,1,2,0,0,Answer: NR
serial,default,2,immediate,26,BF,BF,1,2,0,0,BF
serial,default,2,immediate,27,NF,EK,0,4,0,0,Answer: EK
serial,default,2,immediate,28,VZ,ZU,0,3,0,0,Answer: ZU
serial,default,2,immediate,29,CG,TH,0,4,0,0,Answer: TH
serial,default,2,immediate,30,JW,IH,0,4,0,0,Answer: IH
serial,default,2,immediate,31,TV,TV,1,2,0,0,Answer: TV
serial,default,2,immediate,32,LW,BY,0,3,0,0,Answer: BY
serial,default,2,immediate,33,SG,AD,0,3,0,0,Answer: AD
serial,default,2,immediate,34,ZS,ZS,1,2,0,0,ZS
serial,default,2,immediate,35,BY,BL,0,10,0,0,Answer: BL
serial,default,2,immediate,36,QE,GV,0,4,0,0,Answer: GV
serial,default,2,immediate,37,SE,YE,0,3,0,0,Answer: YE
serial,default,2,immediate,38,EY,NP,0,3,0,0,Answer: NP
serial,default,2,immediate,39,DT,IR,0,3,0,0,Answer: IR
serial,default,2,filler,0,VM,AU,0,3,0,0,Answer: AU
serial,default,2,filler,1,IG,IG,1,2,0,0,Answer: IG
serial,default,2,filler,2,DF,JQ,0,3,0,0,Answer: JQ
serial,default,2,filler,3,DK,DK,1,2,0,0,Answer: DK
serial,default,2,filler,4,UH,PS,0,4,0,0, PS
serial,default,2,filler,5,OZ,OZ,1,2,0,0,Answer: OZ
serial,default,2,filler,6,SR,HM,0,3,0,0,Answer: HM
serial,default,2,filler,7,ZX,ZX,1,2,0,0,Answer: ZX
serial,default,2,filler,8,DK,DK,1,2,0,0,Answer: DK
serial,default,2,filler,9,TF,TA,0,3,0,0,Answer: TA
serial,default,2,filler,10,ID,KZ,0,3,0,0,Answer: KZ
serial,default,2,filler,11,OM,FT,0,3,0,0,Answer: FT
serial,default,2,filler,12,IR,IR,1,2,0,0,Answer: IR
serial,default,2,filler,13,ZZ,VE,0,3,0,0,Answer: VE
serial,default,2,filler,14,IC,SE,0,4,0,0,Answer: SE
serial,default,2,filler,15,VI,VI,1,2,0,0,Answer: VI
serial,default,2,filler,16,DX,DX,1,2,0,0,Answer: DX
serial,default,2,filler,17,OJ,OJ,1,2,0,0, OJ
serial,default,2,filler,18,YW,BD,0,3,0,0, BD
serial,default,2,filler,19,RP,HC,0,7,0,0, HC
serial,default,2,filler,20,JW,EW,0,4,0,0,Answer: EW
serial,default,2,filler,21,PW,YT,0,3,0,0,Answer: YT
serial,default,2,filler,22,RW,RW,1,2,0,0,Answer: RW
serial,default,2,filler,23,JZ,JZ,1,2,0,0,Answer: JZ
serial,default,2,filler,24,FS,QJ,0,3,0,0,Answer: QJ
serial,default,2,filler,25,NR,NR,1,2,0,0,NR
serial,default,2,filler,26,BF,BF,1,2,0,0,Answer: BF
serial,default,2,filler,27,NF,NF,1,2,0,0, NF
serial,default,2,filler,28,VZ,VZ,1,2,0,0,Answer: VZ
serial,default,2,filler,29,CG,TH,0,4,0,0,Answer: TH
serial,default,2,filler,30,JW,IH,0,4,0,0,Answer: IH
serial,default,2,filler,31,TV,TV,1,2,0,0,Answer: TV
serial,default,2,filler,32,LW,BY,0,3,0,0,Answer: BY
serial,default,2,filler,33,SG,AD,0,3,0,0,Answer: AD
serial,default,2,filler,34,ZS,KV,0,3,0,0,Answer: KV
serial,default,2,filler,35,BY,BY,1,2,0,0,Answer: BY
serial,default,2,filler,36,QE,QE,1,2,0,0,QE
serial,default,2,filler,37,SE,SE,1,2,0,0, SE
serial,default,2,filler,38,EY,NP,0,3,0,0,Answer: NP
serial,default,2,filler,39,DT,IR,0,3,0,0,Answer: IR
serial,default,3,immediate,0,XR,YR,0,4,0,0,Answer: YR
serial,default,3,immediate,1,SA,QT,0,4,0,0, QT
serial,default,3,immediate,2,AN,AN,1,3,0,0,Answer: AN
serial,default,3,immediate,3,JY,JY,1,3,0,0,Answer: JY
serial,default,3,immediate,4,QT,RK,0,6,0,0,Answer: RK
serial,default,3,immediate,5,DH,MP,0,11,0,0,Answer: MP
serial,default,3,immediate,6,KM,JU,0,4,0,0,Answer: JU
serial,default,3,immediate,7,CA,KW,0,5,0,0,Answer: KW
serial,default,3,immediate,8,NJ,WH,0,5,0,0,Answer: WH
serial,default,3,immediate,9,KU,XQ,0,4,0,0,Answer: XQ
serial,default,3,immediate,10,ZC,ZC,1,3,0,0, ZC
serial,default,3,immediate,11,DU,YD,0,5,0,0,Answer: YD
serial,default,3,immediate,12,BV,VB,0,8,0,0,Answer: VB
serial,default,3,immediate,13,PJ,PJ,1,3,0,0,Answer: PJ
serial,default,3,immediate,14,XX,ZZ,0,10,0,0,ZZ
serial,default,3,immediate,15,EN,EN,1,3,0,0,Answer: EN
serial,default,3,immediate,16,RF,RF,1,3,0,0, RF
serial,default,3,immediate,17,FC,FC,1,3,0,0, FC
serial,default,3,immediate,18,NZ,DG,0,5,0,0, DG
serial,default,3,immediate,19,TS,KS,0,5,0,0, KS
serial,default,3,immediate,20,BK,BK,1,3,0,0, BK
serial,default,3,immediate,21,XB,KI,0,9,0,0, KI
serial,default,3,immediate,22,RX,BB,0,5,0,0, BB
serial,default,3,immediate,23,AZ,HV,0,7,0,0, HV
serial,default,3,immediate,24,CX,CX,1,3,0,0, CX
serial,default,3,immediate,25,QL,HB,0,8,0,0, HB
serial,default,3,immediate,26,EA,XT,0,4,0,0, XT
serial,default,3,immediate,27,DC,ZJ,0,8,0,0, ZJ
serial,default,3,immediate,28,CZ,CZ,1,3,0,0, CZ
