task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
serial,default,2,immediate,0,YN,YN,1,2,0,0, YN
serial,default,2,immediate,1,MP,SZ,0,3,0,0, SZ
serial,default,2,immediate,2,YR,KN,0,3,0,0, KN
serial,default,2,immediate,3,WM,WM,1,2,0,0, WM
serial,default,2,immediate,4,QD,OR,0,3,0,0, OR
serial,default,2,immediate,5,YO,QY,0,3,0,0, QY
serial,default,2,immediate,6,SD,CT,0,3,0,0, CT
serial,default,2,immediate,7,UN,UN,1,2,0,0, UN
serial,default,2,immediate,8,MZ,VY,0,3,0,0, VY
serial,default,2,immediate,9,LG,LG,1,2,0,0, LG
serial,default,2,immediate,10,QK,JP,0,3,0,0, JP
serial,default,2,immediate,11,DW,DW,1,2,0,0, DW
serial,default,2,immediate,12,RV,GC,0,3,0,0, GC
serial,default,2,immediate,13,VM,VM,1,2,0,0, VM
serial,default,2,immediate,14,HC,UP,0,3,0,0, UP
serial,default,2,immediate,15,GZ,JP,0,3,0,0, JP
serial,default,2,immediate,16,IH,IH,1,2,0,0, IH
serial,default,2,immediate,17,VR,ZJ,0,3,0,0, ZJ
serial,default,2,immediate,18,XK,UL,0,3,0,0, UL
serial,default,2,immediate,19,GQ,KE,0,3,0,0, KE
serial,default,2,immediate,20,LA,LA,1,2,0,0, LA
serial,default,2,immediate,21,ZG,ZE,0,3,0,0, ZE
serial,default,2,immediate,22,WK,MG,0,3,0,0, MG
serial,default,2,immediate,23,NU,NU,1,2,0,0, NU
serial,default,2,immediate,24,HN,HN,1,2,0,0, HN
serial,default,2,immediate,25,JD,JD,1,2,0,0, JD
serial,default,2,immediate,26,LV,LV,1,2,0,0, LV
serial,default,2,immediate,27,EI,LU,0,3,0,0, LU
serial,default,2,immediate,28,RM,KC,0,3,0,0, KC
serial,default,2,immediate,29,JV,JV,1,2,0,0, JV
serial,default,2,immediate,30,BI,HS,0,3,0,0, HS
serial,default,2,immediate,31,IP,IP,1,2,0,0, IP
