k,condition,idx,gold,pred,correct,leak,eff_hops,chain,error,completion
1,immediate,0,DO,DO,1,0,1,NN DO,0, DO
1,immediate,1,CD,CD,1,0,1,VF CD,0, CD
1,immediate,2,YO,YO,1,0,1,MW YO,0, YO
1,immediate,3,IS,IS,1,0,1,BY IS,0, IS
1,immediate,4,QU,QU,1,0,1,ZP QU,0, QU
1,immediate,5,TP,TP,1,0,1,EC TP,0, TP
1,immediate,6,YN,YN,1,0,1,JI YN,0, YN
1,immediate,7,JD,JD,1,0,1,EM JD,0, JD
1,immediate,8,RL,RL,1,0,1,LS RL,0, RL
1,immediate,9,FS,FS,1,0,1,RZ FS,0, FS
1,immediate,10,VB,VB,1,0,1,HR VB,0, VB
1,immediate,11,BK,BK,1,0,1,FN BK,0, BK
1,immediate,12,SX,SX,1,0,1,AO SX,0, SX
1,immediate,13,OL,OL,1,0,1,NS OL,0, OL
1,immediate,14,RS,RS,1,0,1,VP RS,0, RS
1,immediate,15,AO,AO,1,0,1,VN AO,0, AO
1,immediate,16,EA,EA,1,0,1,GJ EA,0, EA
1,immediate,17,WV,WV,1,0,1,CE WV,0, WV
1,immediate,18,WF,WF,1,0,1,GN WF,0, WF
1,immediate,19,VX,VX,1,0,1,ES VX,0, VX
1,immediate,20,MS,MS,1,0,1,UH MS,0, MS
1,immediate,21,EC,EC,1,0,1,BY EC,0, EC
1,immediate,22,QI,QI,1,0,1,LB QI,0, QI
1,immediate,23,HC,HC,1,0,1,HW HC,0, HC
1,immediate,24,VD,VD,1,0,1,YS VD,0, VD
1,immediate,25,GE,GE,1,0,1,CK GE,0, GE
1,immediate,26,KU,KU,1,0,1,AS KU,0, KU
1,immediate,27,JO,JO,1,0,1,HR JO,0, JO
1,immediate,28,DI,DI,1,0,1,DP DI,0, DI
1,immediate,29,ZW,ZW,1,0,1,BO ZW,0, ZW
1,filler,0,DO,DO,1,0,1,NN DO,0, DO
1,filler,1,CD,CD,1,0,1,VF CD,0, CD
1,filler,2,YO,YO,1,0,1,MW YO,0, YO
1,filler,3,IS,IS,1,0,1,BY IS,0, IS
1,filler,4,QU,QU,1,0,1,ZP QU,0, QU
1,filler,5,TP,TP,1,0,1,EC TP,0, TP
1,filler,6,YN,YN,1,0,1,JI YN,0, YN
1,filler,7,JD,JD,1,0,1,EM JD,0, JD
1,filler,8,RL,RL,1,0,1,LS RL,0, RL
1,filler,9,FS,FS,1,0,1,RZ FS,0, FS
1,filler,10,VB,VB,1,0,1,HR VB,0, VB
1,filler,11,BK,BK,1,0,1,FN BK,0, BK
1,filler,12,SX,SX,1,0,1,AO SX,0, SX
1,filler,13,OL,OL,1,0,1,NS OL,0, OL
1,filler,14,RS,RS,1,0,1,VP RS,0, RS
1,filler,15,AO,AO,1,0,1,VN AO,0, AO
1,filler,16,EA,EA,1,0,1,GJ EA,0, EA
1,filler,17,WV,WV,1,0,1,CE WV,0, WV
1,filler,18,WF,WF,1,0,1,GN WF,0, WF
1,filler,19,VX,VX,1,0,1,ES VX,0, VX
1,filler,20,MS,MS,1,0,1,UH MS,0, MS
1,filler,21,EC,EC,1,0,1,BY EC,0, EC
1,filler,22,QI,QI,1,0,1,LB QI,0, QI
1,filler,23,HC,HC,1,0,1,HW HC,0, HC
1,filler,24,VD,VD,1,0,1,YS VD,0, VD
1,filler,25,GE,GE,1,0,1,CK GE,0, GE
1,filler,26,KU,KU,1,0,1,AS KU,0, KU
1,filler,27,JO,JO,1,0,1,HR JO,0, JO
1,filler,28,DI,DI,1,0,1,DP DI,0, DI
1,filler,29,ZW,ZW,1,0,1,BO ZW,0, ZW
1,cot,0,DO,DO,1,0,1,NN DO,0,"Following the chain: NN -> DO.
Answer: DO"
1,cot,1,CD,CD,1,0,1,VF CD,0,"Following the chain: VF -> CD.
Answer: CD"
1,cot,2,YO,YO,1,0,1,MW YO,0,"Following the chain: MW -> YO.
Answer: YO"
1,cot,3,IS,IS,1,0,1,BY IS,0,"Following the chain: BY -> IS.
Answer: IS"
1,cot,4,QU,QU,1,0,1,ZP QU,0,"Following the chain: ZP -> QU.
Answer: QU"
1,cot,5,TP,TP,1,0,1,EC TP,0,"Following the chain: EC -> TP.
Answer: TP"
1,cot,6,YN,YN,1,0,1,JI YN,0,"Following the chain: JI -> YN.
Answer: YN"
1,cot,7,JD,JD,1,0,1,EM JD,0,"Following the chain: EM -> JD.
Answer: JD"
1,cot,8,RL,RL,1,0,1,LS RL,0,"Following the chain: LS -> RL.
Answer: RL"
