task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
parallel_count,default,2,immediate,0,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,1,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,2,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,3,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,immediate,4,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,5,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,6,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,7,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,8,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,9,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,10,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,11,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,12,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,13,1,0,0,-1,0,0,Answer: 0
parallel_count,default,2,immediate,14,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,15,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,16,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,17,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,immediate,18,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,19,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,20,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,immediate,21,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,22,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,23,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,24,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,25,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,26,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,27,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,28,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,29,1,1,1,-1,0,0, 1
parallel_count,default,2,immediate,30,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,immediate,31,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,32,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,33,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,34,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,35,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,immediate,36,1,0,0,-1,0,0, 0
parallel_count,default,2,immediate,37,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,38,1,1,1,-1,0,0,1
parallel_count,default,2,immediate,39,1,1,1,-1,0,0,1
parallel_count,default,2,filler,0,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,1,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,2,1,1,1,-1,0,0, 1
parallel_count,default,2,filler,3,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,4,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,5,1,1,1,-1,0,0,1
parallel_count,default,2,filler,6,1,1,1,-1,0,0,1
parallel_count,default,2,filler,7,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,8,1,1,1,-1,0,0,1
parallel_count,default,2,filler,9,1,1,1,-1,0,0, 1
parallel_count,default,2,filler,10,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,11,1,1,1,-1,0,0,1
parallel_count,default,2,filler,12,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,13,1,1,1,-1,0,0, 1
parallel_count,default,2,filler,14,1,1,1,-1,0,0,1
parallel_count,default,2,filler,15,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,16,1,1,1,-1,0,0,1
parallel_count,default,2,filler,17,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,18,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,19,1,1,1,-1,0,0,1
parallel_count,default,2,filler,20,1,1,1,-1,0,0,1
parallel_count,default,2,filler,21,1,1,1,-1,0,0,1
parallel_count,default,2,filler,22,1,1,1,-1,0,0,1
parallel_count,default,2,filler,23,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,24,1,1,1,-1,0,0, 1
parallel_count,default,2,filler,25,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,26,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,27,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,28,1,1,1,-1,0,0,1
parallel_count,default,2,filler,29,1,1,1,-1,0,0,1
parallel_count,default,2,filler,30,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,31,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,32,1,1,1,-1,0,0,1
parallel_count,default,2,filler,33,1,1,1,-1,0,0,1
parallel_count,default,2,filler,34,1,1,1,-1,0,0, 1
parallel_count,default,2,filler,35,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,36,1,1,1,-1,0,0,1
parallel_count,default,2,filler,37,1,1,1,-1,0,0,Answer: 1
parallel_count,default,2,filler,38,1,1,1,-1,0,0,1
parallel_count,default,2,filler,39,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,0,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,1,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,2,1,1,1,-1,0,0, 1
parallel_count,default,3,immediate,3,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,4,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,5,1,1,1,-1,0,0,Answer: 1
parallel_count,default,3,immediate,6,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,7,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,8,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,9,2,1,0,-1,0,0,1
parallel_count,default,3,immediate,10,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,11,2,1,0,-1,0,0, 1
parallel_count,default,3,immediate,12,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,13,2,1,0,-1,0,0,Answer: 1
parallel_count,default,3,immediate,14,2,2,1,-1,0,0,2
parallel_count,default,3,immediate,15,2,1,0,-1,0,0,1
parallel_count,default,3,immediate,16,2,1,0,-1,0,0,1
parallel_count,default,3,immediate,17,2,1,0,-1,0,0,Answer: 1
parallel_count,default,3,immediate,18,2,1,0,-1,0,0,Answer: 1
parallel_count,default,3,immediate,19,1,2,0,-1,0,0,Answer: 2
parallel_count,default,3,immediate,20,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,21,1,1,1,-1,0,0,Answer: 1
parallel_count,default,3,immediate,22,2,1,0,-1,0,0,1
parallel_count,default,3,immediate,23,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,24,2,1,0,-1,0,0,1
parallel_count,default,3,immediate,25,1,1,1,-1,0,0,Answer: 1
parallel_count,default,3,immediate,26,2,2,1,-1,0,0,2
parallel_count,default,3,immediate,27,1,2,0,-1,0,0,Answer: 2
parallel_count,default,3,immediate,28,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,29,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,30,1,1,1,-1,0,0,Answer: 1
parallel_count,default,3,immediate,31,2,1,0,-1,0,0,1
parallel_count,default,3,immediate,32,1,1,1,-1,0,0, 1
parallel_count,default,3,immediate,33,2,1,0,-1,0,0,1
parallel_count,default,3,immediate,34,2,1,0,-1,0,0, 1
parallel_count,default,3,immediate,35,1,1,1,-1,0,0, 1
parallel_count,default,3,immediate,36,2,1,0,-1,0,0, 1
parallel_count,default,3,immediate,37,1,1,1,-1,0,0,1
parallel_count,default,3,immediate,38,2,1,0,-1,0,0,Answer: 1
parallel_count,default,3,immediate,39,1,1,1,-1,0,0,1
parallel_count,default,3,filler,0,1,1,1,-1,0,0,1
