k,condition,idx,gold,pred,correct,leak,eff_hops,chain,error,completion
1,immediate,0,GV,GV,1,0,1,AS GV,0,GV
1,immediate,1,GY,GY,1,0,1,PQ GY,0,GY
1,immediate,2,CV,CV,1,0,1,MG CV,0,CV
1,immediate,3,BY,BY,1,0,1,AK BY,0,BY
1,immediate,4,ZP,ZP,1,0,1,QU ZP,0,ZP
1,immediate,5,YS,YS,1,0,1,ZK YS,0,YS
1,immediate,6,ZR,ZR,1,0,1,EV ZR,0,ZR
1,immediate,7,JD,JD,1,0,1,YN JD,0,JD
1,immediate,8,EJ,EJ,1,0,1,YP EJ,0,EJ
1,immediate,9,PY,PY,1,0,1,GV PY,0,PY
1,immediate,10,UF,UF,1,0,1,VB UF,0,UF
1,immediate,11,MG,MG,1,0,1,SO MG,0,MG
1,immediate,12,ZL,ZL,1,0,1,EA ZL,0,ZL
1,immediate,13,OL,OL,1,0,1,MG OL,0,Answer: OL
1,immediate,14,EM,EM,1,0,1,JR EM,0,EM
1,immediate,15,LC,LC,1,0,1,IP LC,0,LC
1,immediate,16,BK,BK,1,0,1,ST BK,0,BK
1,immediate,17,JO,JO,1,0,1,ZV JO,0,JO
1,immediate,18,GN,GN,1,0,1,EL GN,0,GN
1,immediate,19,GH,GH,1,0,1,IN GH,0,GH
1,immediate,20,MS,MS,1,0,1,AO MS,0,MS
1,immediate,21,CI,CI,1,0,1,EC CI,0,CI
1,immediate,22,XT,XT,1,0,1,UK XT,0,XT
1,immediate,23,LU,LU,1,0,1,TD LU,0,LU
1,immediate,24,UF,UF,1,0,1,JX UF,0,UF
1,immediate,25,OE,OE,1,0,1,OD OE,0,Answer: OE
1,immediate,26,KU,KU,1,0,1,YM KU,0,KU
1,immediate,27,HR,HR,1,0,1,JO HR,0,HR
1,immediate,28,DP,DP,1,0,1,ZT DP,0,DP
1,immediate,29,DT,DT,1,0,1,WE DT,0,DT
1,filler,0,GV,,0,0,-1,AS GV,0,
1,filler,1,GY,GY,1,0,1,PQ GY,0,GY
1,filler,2,CV,CV,1,0,1,MG CV,0,CV
1,filler,3,BY,BY,1,0,1,AK BY,0,BY
1,filler,4,ZP,ZP,1,0,1,QU ZP,0,ZP
1,filler,5,YS,YS,1,0,1,ZK YS,0,YS
1,filler,6,ZR,ZR,1,0,1,EV ZR,0,ZR
1,filler,7,JD,JD,1,0,1,YN JD,0,JD
1,filler,8,EJ,EJ,1,0,1,YP EJ,0,EJ
1,filler,9,PY,PY,1,0,1,GV PY,0,PY
1,filler,10,UF,UF,1,0,1,VB UF,0,UF
1,filler,11,MG,MG,1,0,1,SO MG,0,MG
1,filler,12,ZL,ZL,1,0,1,EA ZL,0,ZL
1,filler,13,OL,OL,1,0,1,MG OL,0,OL
1,filler,14,EM,EM,1,0,1,JR EM,0,EM
1,filler,15,LC,LC,1,0,1,IP LC,0,LC
1,filler,16,BK,BK,1,0,1,ST BK,0,BK
1,filler,17,JO,JO,1,0,1,ZV JO,0,JO
1,filler,18,GN,GN,1,0,1,EL GN,0,GN
1,filler,19,GH,GH,1,0,1,IN GH,0,GH
1,filler,20,MS,MS,1,0,1,AO MS,0,MS
1,filler,21,CI,CI,1,0,1,EC CI,0,CI
1,filler,22,XT,XT,1,0,1,UK XT,0,XT
1,filler,23,LU,LU,1,0,1,TD LU,0,LU
1,filler,24,UF,UF,1,0,1,JX UF,0,UF
1,filler,25,OE,OE,1,0,1,OD OE,0,OE
1,filler,26,KU,KU,1,0,1,YM KU,0,KU
1,filler,27,HR,HR,1,0,1,JO HR,0,HR
1,filler,28,DP,DP,1,0,1,ZT DP,0,DP
1,filler,29,DT,,0,0,-1,WE DT,0,
1,cot,0,GV,GV,1,0,1,AS GV,0,"Following the chain: AS -> GV.
Answer: GV"
1,cot,1,GY,GY,1,0,1,PQ GY,0,"Following the chain: PQ -> GY.
Answer: GY"
1,cot,2,CV,CV,1,0,1,MG CV,0,"Following the chain: MG -> CV.
Answer: CV"
1,cot,3,BY,BY,1,0,1,AK BY,0,"Following the chain: AK -> BY.
Answer: BY"
1,cot,4,ZP,ZP,1,0,1,QU ZP,0,"Following the chain: QU -> ZP.
Answer: ZP"
1,cot,5,YS,YS,1,0,1,ZK YS,0,"Following the chain: ZK -> YS.
Answer: YS"
1,cot,6,ZR,ZR,1,0,1,EV ZR,0,"Following the chain: EV -> ZR.
Answer: ZR"
1,cot,7,JD,JD,1,0,1,YN JD,0,"Following the chain: YN -> JD.
Answer: JD"
1,cot,8,EJ,EJ,1,0,1,YP EJ,0,"Following the chain: YP -> EJ.
Answer: EJ"
1,cot,9,PY,PY,1,0,1,GV PY,0,"Following the chain: GV -> PY.
Answer: PY"
1,cot,10,UF,UF,1,0,1,VB UF,0,"Following the chain: VB -> UF.
Answer: UF"
1,cot,11,MG,MG,1,0,1,SO MG,0,"Following the chain: SO -> MG.
Answer: MG"
1,cot,12,ZL,ZL,1,0,1,EA ZL,0,"Following the chain: EA -> ZL.
Answer: ZL"
1,cot,13,OL,OL,1,0,1,MG OL,0,"Following the chain: MG -> OL.
Answer: OL"
1,cot,14,EM,EM,1,0,1,JR EM,0,"Following the chain: JR -> EM.
Answer: EM"
1,cot,15,LC,LC,1,0,1,IP LC,0,"Following the chain: IP -> LC.
Answer: LC"
1,cot,16,BK,BK,1,0,1,ST BK,0,"Following the chain: ST -> BK.
Answer: BK"
1,cot,17,JO,JO,1,0,1,ZV JO,0,"Following the chain: ZV -> JO.
Answer: JO"
1,cot,18,GN,GN,1,0,1,EL GN,0,"Following the chain: EL -> GN.
Answer: GN"
1,cot,19,GH,GH,1,0,1,IN GH,0,"Following the chain: IN -> GH.
Answer: GH"
1,cot,20,MS,MS,1,0,1,AO MS,0,"Following the chain: AO -> MS.
Answer: MS"
1,cot,21,CI,CI,1,0,1,EC CI,0,"Following the chain: EC -> CI.
Answer: CI"
1,cot,22,XT,XT,1,0,1,UK XT,0,"Following the chain: UK -> XT.
Answer: XT"
1,cot,23,LU,LU,1,0,1,TD LU,0,"Following the chain: TD -> LU.
Answer: LU"
1,cot,24,UF,UF,1,0,1,JX UF,0,"Following the chain: JX -> UF.
Answer: UF"
1,cot,25,OE,OE,1,0,1,OD OE,0,"Following the chain: OD -> OE.
Answer: OE"
1,cot,26,KU,KU,1,0,1,YM KU,0,"Following the chain: YM -> KU.
Answer: KU"
