k,condition,idx,gold,pred,correct,leak,eff_hops,chain,error,completion
1,immediate,0,GC,GC,1,0,1,BK GC,0, GC
1,immediate,1,FD,FD,1,0,1,ON FD,0, FD
1,immediate,2,FD,FD,1,0,1,MW FD,0, FD
1,immediate,3,ZY,ZY,1,0,1,WZ ZY,0, ZY
1,immediate,4,DX,DX,1,0,1,UL DX,0, DX
1,immediate,5,VL,VL,1,0,1,ZK VL,0, VL
1,immediate,6,XN,XN,1,0,1,UP XN,0, XN
1,immediate,7,OF,OF,1,0,1,NW OF,0, OF
1,immediate,8,DS,DS,1,0,1,YP DS,0, DS
1,immediate,9,YA,YA,1,0,1,EQ YA,0, YA
1,immediate,10,VH,VH,1,0,1,UF VH,0, VH
1,immediate,11,WC,WC,1,0,1,FN WC,0, WC
1,immediate,12,EA,EA,1,0,1,NJ EA,0, EA
1,immediate,13,CK,CK,1,0,1,YP CK,0, CK
1,immediate,14,WV,WV,1,0,1,UU WV,0, WV
1,immediate,15,CY,CY,1,0,1,WW CY,0, CY
1,immediate,16,BK,BK,1,0,1,ES BK,0, BK
1,immediate,17,HI,HI,1,0,1,EV HI,0, HI
1,immediate,18,EL,EL,1,0,1,QY EL,0, EL
1,immediate,19,ES,ES,1,0,1,BR ES,0, ES
1,immediate,20,BB,BB,1,0,1,TE BB,0, BB
1,immediate,21,NY,NY,1,0,1,AH NY,0, NY
1,immediate,22,XT,XT,1,0,1,GD XT,0, XT
1,immediate,23,HC,HC,1,0,1,ZO HC,0, HC
1,immediate,24,HD,HD,1,0,1,YS HD,0, HD
1,immediate,25,BS,BS,1,0,1,OI BS,0, BS
1,immediate,26,IS,IS,1,0,1,JH IS,0, IS
1,immediate,27,JG,JG,1,0,1,KO JG,0, JG
1,immediate,28,UB,UB,1,0,1,EO UB,0, UB
1,immediate,29,LN,LN,1,0,1,WE LN,0, LN
1,filler,0,GC,GC,1,0,1,BK GC,0, GC
1,filler,1,FD,FD,1,0,1,ON FD,0, FD
1,filler,2,FD,FD,1,0,1,MW FD,0, FD
1,filler,3,ZY,ZY,1,0,1,WZ ZY,0, ZY
1,filler,4,DX,DX,1,0,1,UL DX,0, DX
1,filler,5,VL,VL,1,0,1,ZK VL,0, VL
1,filler,6,XN,XN,1,0,1,UP XN,0, XN
1,filler,7,OF,OF,1,0,1,NW OF,0, OF
1,filler,8,DS,DS,1,0,1,YP DS,0, DS
1,filler,9,YA,YA,1,0,1,EQ YA,0, YA
1,filler,10,VH,VH,1,0,1,UF VH,0, VH
1,filler,11,WC,WC,1,0,1,FN WC,0, WC
1,filler,12,EA,EA,1,0,1,NJ EA,0, EA
1,filler,13,CK,CK,1,0,1,YP CK,0, CK
1,filler,14,WV,WV,1,0,1,UU WV,0, WV
1,filler,15,CY,CY,1,0,1,WW CY,0, CY
1,filler,16,BK,BK,1,0,1,ES BK,0, BK
